building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/data__	
3k_city	3k_dlc05_bandit
3k_district_artisan_labour	3k_dlc05_bandit
3k_district_artisan_private_workshops	3k_dlc05_bandit
3k_district_government_administration_palace	3k_dlc05_bandit
3k_district_government_zheng_jiang	3k_dlc05_bandit
3k_district_market_harbour	3k_dlc05_bandit
3k_district_market_inn	3k_dlc05_bandit
3k_district_market_trade	3k_dlc05_bandit
3k_district_market_trade_port	3k_dlc05_bandit
3k_district_military_equipment	3k_dlc05_bandit
3k_district_residential_bandits	3k_dlc05_bandit
3k_district_residential_logistics	3k_dlc05_bandit
3k_district_residential_markets	3k_dlc05_bandit
3k_dlc06_city	3k_dlc05_bandit
3k_dlc06_gate_pass	3k_dlc05_bandit
3k_minor_port_placeholder_chain	3k_dlc05_bandit
3k_resource_bandit_black_market	3k_dlc05_bandit
3k_resource_bandit_charity	3k_dlc05_bandit
3k_resource_bandit_espionage	3k_dlc05_bandit
3k_resource_bandit_gang_recruitment	3k_dlc05_bandit
3k_resource_earth_temple_bandit	3k_dlc05_bandit
3k_resource_fire_iron_bandit	3k_dlc05_bandit
3k_resource_fire_northern_horses_bandit	3k_dlc05_bandit
3k_resource_metal_copper_bandit	3k_dlc05_bandit
3k_resource_metal_craftsmen_animal_bandit	3k_dlc05_bandit
3k_resource_metal_craftsmen_armour_bandit	3k_dlc05_bandit
3k_resource_metal_craftsmen_weapon_bandit	3k_dlc05_bandit
3k_resource_metal_jade_bandit	3k_dlc05_bandit
3k_resource_metal_tools_bandit	3k_dlc05_bandit
3k_resource_water_salt_bandit	3k_dlc05_bandit
3k_resource_water_silk_bandit	3k_dlc05_bandit
3k_resource_water_spice_bandit	3k_dlc05_bandit
3k_resource_water_trading_port_bandit	3k_dlc05_bandit
3k_resource_wood_farms_grain_bandit	3k_dlc05_bandit
3k_resource_wood_farms_rice_bandit	3k_dlc05_bandit
3k_resource_wood_fish_bandit	3k_dlc05_bandit
3k_resource_wood_livestock_bandit	3k_dlc05_bandit
3k_resource_wood_lumber_bamboo_bandit	3k_dlc05_bandit
3k_resource_wood_lumber_pine_bandit	3k_dlc05_bandit
3k_resource_wood_tea_bandit	3k_dlc05_bandit
3k_resource_bandit_black_market	3k_dlc05_bandit_white_tiger_yan
3k_resource_bandit_charity	3k_dlc05_bandit_white_tiger_yan
3k_resource_bandit_espionage	3k_dlc05_bandit_white_tiger_yan
3k_resource_bandit_gang_recruitment	3k_dlc05_bandit_white_tiger_yan
3k_resource_bandit_white_tiger_yan_shanyue	3k_dlc05_bandit_white_tiger_yan
3k_city	3k_dlc06_nanman
3k_district_market_harbour	3k_dlc06_nanman
3k_dlc06_city	3k_dlc06_nanman
3k_dlc06_district_artisan_private_workshops	3k_dlc06_nanman
3k_dlc06_district_artisan_state_workshops	3k_dlc06_nanman
3k_dlc06_district_government_administration_palace	3k_dlc06_nanman
3k_dlc06_district_government_religion	3k_dlc06_nanman
3k_dlc06_district_market_inn	3k_dlc06_nanman
3k_dlc06_district_market_trade	3k_dlc06_nanman
3k_dlc06_district_military_conscription_basic	3k_dlc06_nanman
3k_dlc06_district_military_security	3k_dlc06_nanman
3k_dlc06_district_residential_logistics	3k_dlc06_nanman
3k_dlc06_district_residential_markets	3k_dlc06_nanman
3k_dlc06_gate_pass	3k_dlc06_nanman
3k_minor_port_placeholder_chain	3k_dlc06_nanman
3k_resource_earth_temple	3k_dlc06_nanman
3k_resource_fire_iron	3k_dlc06_nanman
3k_resource_fire_northern_horses	3k_dlc06_nanman
3k_resource_metal_copper	3k_dlc06_nanman
3k_resource_metal_craftsmen_animal	3k_dlc06_nanman
3k_resource_metal_craftsmen_armour	3k_dlc06_nanman
3k_resource_metal_craftsmen_weapon	3k_dlc06_nanman
3k_resource_metal_jade	3k_dlc06_nanman
3k_resource_metal_tools	3k_dlc06_nanman
3k_resource_water_salt	3k_dlc06_nanman
3k_resource_water_silk	3k_dlc06_nanman
3k_resource_water_spice	3k_dlc06_nanman
3k_resource_water_trading_port	3k_dlc06_nanman
3k_resource_wood_farms_grain	3k_dlc06_nanman
3k_resource_wood_farms_rice	3k_dlc06_nanman
3k_resource_wood_fish	3k_dlc06_nanman
3k_resource_wood_livestock	3k_dlc06_nanman
3k_resource_wood_lumber_bamboo	3k_dlc06_nanman
3k_resource_wood_lumber_pine	3k_dlc06_nanman
3k_resource_wood_tea	3k_dlc06_nanman
3k_city	3k_main
3k_district_market_harbour	3k_main
3k_dlc06_city	3k_main
3k_dlc06_gate_pass	3k_main
3k_minor_port_placeholder_chain	3k_main
3k_resource_fire_iron	3k_main
3k_resource_fire_northern_horses	3k_main
3k_resource_metal_copper	3k_main
3k_resource_metal_craftsmen_animal	3k_main
3k_resource_metal_craftsmen_armour	3k_main
3k_resource_metal_craftsmen_weapon	3k_main
3k_resource_metal_jade	3k_main
3k_resource_metal_tools	3k_main
3k_resource_water_salt	3k_main
3k_resource_water_silk	3k_main
3k_resource_water_spice	3k_main
3k_resource_water_trading_port	3k_main
3k_resource_wood_farms_grain	3k_main
3k_resource_wood_farms_rice	3k_main
3k_resource_wood_fish	3k_main
3k_resource_wood_livestock	3k_main
3k_resource_wood_lumber_bamboo	3k_main
3k_resource_wood_lumber_pine	3k_main
3k_resource_wood_tea	3k_main
3k_district_artisan_private_workshops	3k_main_buddhist_default
3k_district_artisan_state_workshops	3k_main_buddhist_default
3k_district_government_administration_palace	3k_main_buddhist_default
3k_district_government_religion	3k_main_buddhist_default
3k_district_government_rural_administration	3k_main_buddhist_default
3k_district_market_inn	3k_main_buddhist_default
3k_district_market_school	3k_main_buddhist_default
3k_district_market_trade	3k_main_buddhist_default
3k_district_market_trade_port	3k_main_buddhist_default
3k_district_military_conscription_basic	3k_main_buddhist_default
3k_district_military_equipment	3k_main_buddhist_default
3k_district_military_security	3k_main_buddhist_default
3k_district_residential_logistics	3k_main_buddhist_default
3k_resource_earth_temple	3k_main_buddhist_default
3k_district_artisan_private_workshops	3k_main_cao_wei
3k_district_artisan_state_workshops	3k_main_cao_wei
3k_district_government_administration_palace	3k_main_cao_wei
3k_district_government_religion	3k_main_cao_wei
3k_district_government_rural_administration	3k_main_cao_wei
3k_district_market_inn	3k_main_cao_wei
3k_district_market_school	3k_main_cao_wei
3k_district_market_trade	3k_main_cao_wei
3k_district_market_trade_port	3k_main_cao_wei
3k_district_military_conscription_cao_cao	3k_main_cao_wei
3k_district_military_equipment	3k_main_cao_wei
3k_district_military_security	3k_main_cao_wei
3k_district_residential_logistics	3k_main_cao_wei
3k_resource_earth_temple	3k_main_cao_wei
3k_resource_wood_farms_grain_agricultural_garrison	3k_main_cao_wei
3k_resource_wood_farms_rice_agricultural_garrison	3k_main_cao_wei
3k_district_artisan_labour	3k_main_default
3k_district_artisan_private_workshops	3k_main_default
3k_district_artisan_state_workshops	3k_main_default
3k_district_government_administration_palace	3k_main_default
3k_district_government_religion	3k_main_default
3k_district_government_rural_administration	3k_main_default
3k_district_market_inn	3k_main_default
3k_district_market_school	3k_main_default
3k_district_market_trade	3k_main_default
3k_district_market_trade_port	3k_main_default
3k_district_military_conscription_basic	3k_main_default
3k_district_military_equipment	3k_main_default
3k_district_military_security	3k_main_default
3k_district_residential_housing	3k_main_default
3k_district_residential_logistics	3k_main_default
3k_district_residential_markets	3k_main_default
3k_resource_earth_temple	3k_main_default
3k_district_artisan_private_workshops	3k_main_dong_zhuo
3k_district_artisan_state_workshops	3k_main_dong_zhuo
3k_district_government_administration_palace	3k_main_dong_zhuo
3k_district_government_religion	3k_main_dong_zhuo
3k_district_government_rural_administration	3k_main_dong_zhuo
3k_district_market_inn	3k_main_dong_zhuo
3k_district_market_school	3k_main_dong_zhuo
3k_district_market_trade	3k_main_dong_zhuo
3k_district_market_trade_port	3k_main_dong_zhuo
3k_district_military_conscription_dong_zhuo	3k_main_dong_zhuo
3k_district_military_equipment	3k_main_dong_zhuo
3k_district_military_security	3k_main_dong_zhuo
3k_district_residential_logistics	3k_main_dong_zhuo
3k_resource_earth_temple	3k_main_dong_zhuo
3k_district_artisan_private_workshops	3k_main_gongsun_zan
3k_district_artisan_state_workshops	3k_main_gongsun_zan
3k_district_government_gongsun_zan	3k_main_gongsun_zan
3k_district_government_religion	3k_main_gongsun_zan
3k_district_government_rural_administration	3k_main_gongsun_zan
3k_district_market_inn	3k_main_gongsun_zan
3k_district_market_school	3k_main_gongsun_zan
3k_district_market_trade	3k_main_gongsun_zan
3k_district_market_trade_port	3k_main_gongsun_zan
3k_district_military_conscription_basic	3k_main_gongsun_zan
3k_district_military_equipment	3k_main_gongsun_zan
3k_district_military_security	3k_main_gongsun_zan
3k_district_residential_logistics	3k_main_gongsun_zan
3k_resource_earth_temple	3k_main_gongsun_zan
3k_district_artisan_labour	3k_main_han_chinese_shared
3k_district_residential_housing	3k_main_han_chinese_shared
3k_district_residential_markets	3k_main_han_chinese_shared
3k_district_artisan_private_workshops	3k_main_kong_rong
3k_district_artisan_state_workshops	3k_main_kong_rong
3k_district_government_administration_palace	3k_main_kong_rong
3k_district_government_religion	3k_main_kong_rong
3k_district_government_rural_administration	3k_main_kong_rong
3k_district_market_inn	3k_main_kong_rong
3k_district_market_school_kong_rong	3k_main_kong_rong
3k_district_market_trade	3k_main_kong_rong
3k_district_market_trade_port	3k_main_kong_rong
3k_district_military_conscription_basic	3k_main_kong_rong
3k_district_military_equipment	3k_main_kong_rong
3k_district_military_security	3k_main_kong_rong
3k_district_residential_logistics	3k_main_kong_rong
3k_resource_earth_temple	3k_main_kong_rong
3k_district_artisan_private_workshops	3k_main_liu_biao
3k_district_artisan_state_workshops	3k_main_liu_biao
3k_district_government_administration_palace	3k_main_liu_biao
3k_district_government_religion	3k_main_liu_biao
3k_district_government_rural_administration	3k_main_liu_biao
3k_district_market_inn_liu_biao	3k_main_liu_biao
3k_district_market_school	3k_main_liu_biao
3k_district_market_trade	3k_main_liu_biao
3k_district_market_trade_port	3k_main_liu_biao
3k_district_military_conscription_basic	3k_main_liu_biao
3k_district_military_equipment	3k_main_liu_biao
3k_district_military_security	3k_main_liu_biao
3k_district_residential_logistics	3k_main_liu_biao
3k_resource_earth_temple	3k_main_liu_biao
3k_district_artisan_private_workshops	3k_main_ma_teng
3k_district_artisan_state_workshops	3k_main_ma_teng
3k_district_government_administration_palace	3k_main_ma_teng
3k_district_government_religion	3k_main_ma_teng
3k_district_government_rural_administration	3k_main_ma_teng
3k_district_market_inn	3k_main_ma_teng
3k_district_market_school	3k_main_ma_teng
3k_district_market_trade	3k_main_ma_teng
3k_district_market_trade_port	3k_main_ma_teng
3k_district_military_conscription_basic	3k_main_ma_teng
3k_district_military_equipment	3k_main_ma_teng
3k_district_military_security_ma_teng	3k_main_ma_teng
3k_district_residential_logistics	3k_main_ma_teng
3k_resource_earth_temple	3k_main_ma_teng
3k_district_artisan_private_workshops	3k_main_shu_han
3k_district_artisan_state_workshops	3k_main_shu_han
3k_district_government_administration_palace	3k_main_shu_han
3k_district_government_religion	3k_main_shu_han
3k_district_government_rural_administration_han	3k_main_shu_han
3k_district_market_inn	3k_main_shu_han
3k_district_market_school	3k_main_shu_han
3k_district_market_trade	3k_main_shu_han
3k_district_market_trade_port	3k_main_shu_han
3k_district_military_conscription_basic	3k_main_shu_han
3k_district_military_equipment	3k_main_shu_han
3k_district_military_security	3k_main_shu_han
3k_district_residential_logistics	3k_main_shu_han
3k_resource_earth_temple	3k_main_shu_han
3k_district_artisan_private_workshops	3k_main_sun_wu
3k_district_artisan_state_workshops	3k_main_sun_wu
3k_district_artisan_sun_jian_fealty	3k_main_sun_wu
3k_district_government_administration_palace	3k_main_sun_wu
3k_district_government_religion	3k_main_sun_wu
3k_district_government_rural_administration	3k_main_sun_wu
3k_district_market_inn	3k_main_sun_wu
3k_district_market_school	3k_main_sun_wu
3k_district_market_trade	3k_main_sun_wu
3k_district_market_trade_port	3k_main_sun_wu
3k_district_military_conscription_basic	3k_main_sun_wu
3k_district_military_equipment	3k_main_sun_wu
3k_district_military_security	3k_main_sun_wu
3k_district_residential_logistics	3k_main_sun_wu
3k_resource_earth_temple	3k_main_sun_wu
3k_district_artisan_private_workshops	3k_main_yuan_shao
3k_district_artisan_state_workshops	3k_main_yuan_shao
3k_district_government_administration_yuan	3k_main_yuan_shao
3k_district_government_religion	3k_main_yuan_shao
3k_district_government_rural_administration	3k_main_yuan_shao
3k_district_market_inn	3k_main_yuan_shao
3k_district_market_school	3k_main_yuan_shao
3k_district_market_trade	3k_main_yuan_shao
3k_district_market_trade_port	3k_main_yuan_shao
3k_district_military_conscription_basic	3k_main_yuan_shao
3k_district_military_equipment	3k_main_yuan_shao
3k_district_military_security	3k_main_yuan_shao
3k_district_residential_logistics	3k_main_yuan_shao
3k_resource_earth_temple	3k_main_yuan_shao
3k_district_artisan_private_workshops	3k_main_yuan_shu
3k_district_artisan_state_workshops	3k_main_yuan_shu
3k_district_government_administration_decadence	3k_main_yuan_shu
3k_district_government_religion	3k_main_yuan_shu
3k_district_government_rural_administration	3k_main_yuan_shu
3k_district_market_inn	3k_main_yuan_shu
3k_district_market_school	3k_main_yuan_shu
3k_district_market_trade	3k_main_yuan_shu
3k_district_market_trade_port	3k_main_yuan_shu
3k_district_military_conscription_basic	3k_main_yuan_shu
3k_district_military_equipment	3k_main_yuan_shu
3k_district_military_security	3k_main_yuan_shu
3k_district_residential_logistics	3k_main_yuan_shu
3k_resource_earth_temple	3k_main_yuan_shu
3k_district_artisan_private_workshops	3k_main_zhang_lu
3k_district_artisan_state_workshops	3k_main_zhang_lu
3k_district_government_administration_palace	3k_main_zhang_lu
3k_district_government_rural_administration	3k_main_zhang_lu
3k_district_market_inn	3k_main_zhang_lu
3k_district_market_school	3k_main_zhang_lu
3k_district_market_trade	3k_main_zhang_lu
3k_district_market_trade_port	3k_main_zhang_lu
3k_district_military_conscription_basic	3k_main_zhang_lu
3k_district_military_equipment	3k_main_zhang_lu
3k_district_military_security	3k_main_zhang_lu
3k_district_residential_logistics	3k_main_zhang_lu
3k_district_government_black_mountain	3k_main_zhang_yan
3k_district_market_school	3k_ytr_gong_du
3k_district_residential_logistics	3k_ytr_gong_du
3k_ytr_district_artisan_artisan_workshops_yellow_turban	3k_ytr_gong_du
3k_ytr_district_artisan_manufacturing_workshops_yellow_turban	3k_ytr_gong_du
3k_ytr_district_government_organisation_yellow_turban	3k_ytr_gong_du
3k_ytr_district_government_religion_yellow_turban	3k_ytr_gong_du
3k_ytr_district_government_scholars_yellow_turban	3k_ytr_gong_du
3k_ytr_district_labour_housing_yellow_turban	3k_ytr_gong_du
3k_ytr_district_market_inn_yellow_turban	3k_ytr_gong_du
3k_ytr_district_market_trade_port_yellow_turban	3k_ytr_gong_du
3k_ytr_district_market_trade_yellow_turban	3k_ytr_gong_du
3k_ytr_district_military_conscription_yellow_turban	3k_ytr_gong_du
3k_ytr_district_military_equipment_yellow_turban	3k_ytr_gong_du
3k_ytr_district_military_security_yellow_turban	3k_ytr_gong_du
3k_ytr_district_military_yellow_turban_caches	3k_ytr_gong_du
3k_ytr_district_residential_farming_yellow_turban	3k_ytr_gong_du
3k_ytr_district_residential_housing_yellow_turban	3k_ytr_gong_du
3k_ytr_resource_earth_temple_yellow_turban	3k_ytr_gong_du
3k_district_market_school	3k_ytr_he_yi
3k_district_residential_logistics	3k_ytr_he_yi
3k_ytr_district_artisan_artisan_workshops_yellow_turban	3k_ytr_he_yi
3k_ytr_district_artisan_manufacturing_workshops_yellow_turban	3k_ytr_he_yi
3k_ytr_district_government_organisation_yellow_turban	3k_ytr_he_yi
3k_ytr_district_government_religion_yellow_turban	3k_ytr_he_yi
3k_ytr_district_government_rural_healing_yellow_turban	3k_ytr_he_yi
3k_ytr_district_government_scholars_yellow_turban	3k_ytr_he_yi
3k_ytr_district_labour_housing_yellow_turban	3k_ytr_he_yi
3k_ytr_district_market_inn_yellow_turban	3k_ytr_he_yi
3k_ytr_district_market_trade_port_yellow_turban	3k_ytr_he_yi
3k_ytr_district_market_trade_yellow_turban	3k_ytr_he_yi
3k_ytr_district_military_conscription_yellow_turban	3k_ytr_he_yi
3k_ytr_district_military_equipment_yellow_turban	3k_ytr_he_yi
3k_ytr_district_military_security_yellow_turban	3k_ytr_he_yi
3k_ytr_district_residential_farming_yellow_turban	3k_ytr_he_yi
3k_ytr_district_residential_housing_yellow_turban	3k_ytr_he_yi
3k_ytr_resource_earth_temple_yellow_turban	3k_ytr_he_yi
3k_district_market_school	3k_ytr_huang_shao
3k_district_residential_logistics	3k_ytr_huang_shao
3k_ytr_district_artisan_artisan_workshops_yellow_turban	3k_ytr_huang_shao
