building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/nomadic_buildings	
3k_city	ironic_nomad_tribes
3k_dlc06_city	ironic_nomad_tribes
3k_dlc06_gate_pass	ironic_nomad_tribes
3k_minor_port_placeholder_chain	ironic_nomad_tribes
3k_resource_bandit_black_market	ironic_nomad_tribes
3k_resource_bandit_charity	ironic_nomad_tribes
3k_resource_bandit_espionage	ironic_nomad_tribes
3k_resource_bandit_gang_recruitment	ironic_nomad_tribes
3k_resource_earth_temple_bandit	ironic_nomad_tribes
3k_resource_fire_iron_bandit	ironic_nomad_tribes
3k_resource_fire_northern_horses_bandit	ironic_nomad_tribes
3k_resource_metal_copper_bandit	ironic_nomad_tribes
3k_resource_metal_craftsmen_animal_bandit	ironic_nomad_tribes
3k_resource_metal_craftsmen_armour_bandit	ironic_nomad_tribes
3k_resource_metal_craftsmen_weapon_bandit	ironic_nomad_tribes
3k_resource_metal_jade_bandit	ironic_nomad_tribes
3k_resource_metal_tools_bandit	ironic_nomad_tribes
3k_resource_water_salt_bandit	ironic_nomad_tribes
3k_resource_water_silk_bandit	ironic_nomad_tribes
3k_resource_water_spice_bandit	ironic_nomad_tribes
3k_resource_water_trading_port_bandit	ironic_nomad_tribes
3k_resource_wood_farms_grain_bandit	ironic_nomad_tribes
3k_resource_wood_farms_rice_bandit	ironic_nomad_tribes
3k_resource_wood_fish_bandit	ironic_nomad_tribes
3k_resource_wood_livestock_bandit	ironic_nomad_tribes
3k_resource_wood_lumber_bamboo_bandit	ironic_nomad_tribes
3k_resource_wood_lumber_pine_bandit	ironic_nomad_tribes
3k_resource_wood_tea_bandit	ironic_nomad_tribes
3k_district_market_trade_port	ironic_nomad_tribes
3k_district_market_harbour	ironic_nomad_tribes
