key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order
#building_chains_tables;6;db/building_chains_tables/data__							
3k_city			money	true	3k_city		0
3k_district_artisan_labour			money	true	3k_district_artisan_labourers		1
3k_district_artisan_private_workshops			money	true	3k_district_artisan_private_workshops		2
3k_district_artisan_state_workshops			money	true	3k_district_artisan_state_workshops		1
3k_district_artisan_sun_jian_fealty			money	true	3k_district_artisan_sun_jian_fealty		0
3k_district_government_administration_decadence			money	true	3k_district_government_law		0
3k_district_government_administration_palace			money	true	3k_district_government_law		0
3k_district_government_administration_yuan			money	true	3k_district_government_law		0
3k_district_government_black_mountain			money	true	3k_district_government_black_mountain		0
3k_district_government_gongsun_zan			money	true	3k_district_government_law		0
3k_district_government_religion			money	true	3k_district_government_temples		4
3k_district_government_religion_taoist			money	true	3k_district_government_temples		5
3k_district_government_rural_administration			money	true	3k_district_government_rural		6
3k_district_government_rural_administration_han			money	true	3k_district_government_rural		7
3k_district_government_zheng_jiang			money	true	3k_district_government_tribute_hall		0
3k_district_market_harbour			money	true	3k_province_capital_port		8
3k_district_market_inn			money	true	3k_district_market_inn		9
3k_district_market_inn_liu_biao			money	true	3k_district_market_inn		9
3k_district_market_school			money	true	3k_district_market_schools		10
3k_district_market_school_kong_rong			money	false	3k_district_market_schools		10
3k_district_market_trade			money	true	3k_district_market_land_city		11
3k_district_market_trade_port			money	true	3k_district_market_port_city		12
3k_district_military_conscription_basic			military	true	3k_district_military_conscription		13
3k_district_military_conscription_cao_cao			money	false	3k_district_military_conscription		0
3k_district_military_conscription_dong_zhuo			money	false	3k_district_military_conscription		0
3k_district_military_equipment			military	true	3k_district_military_equipment		14
3k_district_military_security			military	true	3k_district_military_security		15
3k_district_military_security_ma_teng			military	true	3k_district_military_security		15
3k_district_residential_bandits			money	true	3k_district_residential_bandits		0
3k_district_residential_housing			money	true	3k_district_residential_housing		16
3k_district_residential_logistics			money	true	3k_district_residential_granaries		18
3k_district_residential_markets			money	true	3k_district_residential_markets		17
3k_dlc06_city			money	true	3k_dlc06_city		0
3k_dlc06_district_artisan_private_workshops			money	true	3k_district_artisan_private_workshops		2
3k_dlc06_district_artisan_state_workshops			money	true	3k_district_artisan_state_workshops		1
3k_dlc06_district_government_administration_palace			money	true	3k_district_government_law		0
3k_dlc06_district_government_religion			money	true	3k_district_government_temples		4
3k_dlc06_district_market_inn			money	true	3k_district_market_inn		9
3k_dlc06_district_market_trade			money	true	3k_district_market_land_city		11
3k_dlc06_district_military_conscription_basic			military	true	3k_district_military_conscription		13
3k_dlc06_district_military_security			military	true	3k_district_military_security		15
3k_dlc06_district_residential_logistics			money	true	3k_district_residential_granaries		18
3k_dlc06_district_residential_markets			money	true	3k_district_residential_markets		17
3k_dlc06_gate_pass			military	true	3k_dlc06_gate_pass		0
3k_minor_port_placeholder_chain				false	3k_minor_port		0
3k_resource_bandit_black_market			money	true	3k_resource_bandit_buildings		0
3k_resource_bandit_charity			money	false	3k_resource_bandit_buildings		0
3k_resource_bandit_espionage			money	false	3k_resource_bandit_buildings		0
3k_resource_bandit_gang_recruitment			military	false	3k_resource_bandit_buildings		0
3k_resource_bandit_white_tiger_yan_shanyue			military	false	3k_resource_bandit_buildings		0
3k_resource_earth_temple			money	true	3k_resource_earth_temple		0
3k_resource_earth_temple_bandit			money	false	3k_resource_earth_temple		0
3k_resource_earth_temple_taoist			money	true	3k_resource_earth_temple		0
3k_resource_fire_iron			money	true	3k_resource_fire_iron		0
3k_resource_fire_iron_bandit			money	false	3k_resource_fire_iron		0
3k_resource_fire_northern_horses			money	true	3k_resource_fire_northern_horses		0
3k_resource_fire_northern_horses_bandit			money	false	3k_resource_fire_northern_horses		0
3k_resource_metal_copper			money	true	3k_resource_metal_copper		0
3k_resource_metal_copper_bandit			money	false	3k_resource_metal_copper		0
3k_resource_metal_craftsmen_animal			money	true	3k_resource_metal_craftsmen_animal		0
3k_resource_metal_craftsmen_animal_bandit			money	false	3k_resource_metal_craftsmen_animal		0
3k_resource_metal_craftsmen_armour			money	true	3k_resource_metal_craftsmen_armour		0
3k_resource_metal_craftsmen_armour_bandit			money	false	3k_resource_metal_craftsmen_armour		0
3k_resource_metal_craftsmen_weapon			money	true	3k_resource_metal_craftsmen_weapon		0
3k_resource_metal_craftsmen_weapon_bandit			money	false	3k_resource_metal_craftsmen_weapon		0
3k_resource_metal_jade			money	true	3k_resource_metal_jade		0
3k_resource_metal_jade_bandit			money	false	3k_resource_metal_jade		0
3k_resource_metal_tools			money	true	3k_resource_metal_tools		0
3k_resource_metal_tools_bandit			money	false	3k_resource_metal_tools		0
3k_resource_water_salt			money	true	3k_resource_water_salt		0
3k_resource_water_salt_bandit			money	false	3k_resource_water_salt		0
3k_resource_water_silk			money	true	3k_resource_water_silk		0
3k_resource_water_silk_bandit			money	false	3k_resource_water_silk		0
3k_resource_water_spice			money	true	3k_resource_water_spice		0
3k_resource_water_spice_bandit			money	false	3k_resource_water_spice		0
3k_resource_water_trading_port			money	true	3k_resource_water_trading_port		0
3k_resource_water_trading_port_bandit			money	false	3k_resource_water_trading_port		0
3k_resource_wood_farms_grain			money	true	3k_resource_wood_farms_grain		0
3k_resource_wood_farms_grain_agricultural_garrison			money	true	3k_resource_wood_farms_grain		0
3k_resource_wood_farms_grain_bandit			money	false	3k_resource_wood_farms_grain		0
3k_resource_wood_farms_rice			money	true	3k_resource_wood_farms_rice		0
3k_resource_wood_farms_rice_agricultural_garrison			money	true	3k_resource_wood_farms_rice		0
3k_resource_wood_farms_rice_bandit			money	false	3k_resource_wood_farms_rice		0
3k_resource_wood_fish			money	true	3k_resource_wood_fish		0
3k_resource_wood_fish_bandit			money	false	3k_resource_wood_fish		0
3k_resource_wood_livestock			money	true	3k_resource_wood_livestock		0
3k_resource_wood_livestock_bandit			money	false	3k_resource_wood_livestock		0
3k_resource_wood_lumber_bamboo			money	true	3k_resource_wood_lumber_bamboo		0
3k_resource_wood_lumber_bamboo_bandit			money	false	3k_resource_wood_lumber_bamboo		0
3k_resource_wood_lumber_pine			money	true	3k_resource_wood_lumber_pine		0
3k_resource_wood_lumber_pine_bandit			money	false	3k_resource_wood_lumber_pine		0
3k_resource_wood_tea			money	true	3k_resource_wood_tea		0
3k_resource_wood_tea_bandit			money	false	3k_resource_wood_tea		0
3k_ytr_district_artisan_artisan_workshops_yellow_turban			money	true	3k_district_artisan_private_workshops		2
3k_ytr_district_artisan_manufacturing_workshops_yellow_turban			money	true	3k_district_artisan_state_workshops		1
3k_ytr_district_government_organisation_yellow_turban			money	false	3k_district_government_law		0
3k_ytr_district_government_religion_yellow_turban			money	true	3k_district_government_temples		0
3k_ytr_district_government_rural_healing_yellow_turban			money	true	3k_ytr_district_artisan_yellow_turban_healing		0
3k_ytr_district_government_scholars_yellow_turban			money	true	3k_district_government_rural		6
3k_ytr_district_government_yellow_turban_gardens				false	3k_ytr_district_artisan_yellow_turban_garden		0
3k_ytr_district_labour_housing_yellow_turban			money	true	3k_district_artisan_labourers		1
3k_ytr_district_market_inn_yellow_turban			money	true	3k_district_market_inn		9
3k_ytr_district_market_trade_port_yellow_turban			money	true	3k_district_market_port_city		12
3k_ytr_district_market_trade_yellow_turban			money	true	3k_district_market_land_city		11
3k_ytr_district_military_conscription_yellow_turban			military	true	3k_district_military_conscription		13
3k_ytr_district_military_equipment_yellow_turban			military	true	3k_district_military_equipment		14
3k_ytr_district_military_security_yellow_turban			military	true	3k_district_military_security		15
3k_ytr_district_military_yellow_turban_caches				false	3k_ytr_district_artisan_yellow_turban_caches		0
3k_ytr_district_residential_farming_yellow_turban			money	true	3k_district_residential_markets		17
3k_ytr_district_residential_housing_yellow_turban			money	true	3k_district_residential_housing		16
3k_ytr_resource_earth_temple_yellow_turban			money	true	3k_resource_earth_temple		0
ep_district_government_inspectors_office			money	true	3k_district_government_rural		6
ep_district_government_judiciary			money	true	3k_district_government_law		0
