key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order
#building_chains_tables;6;db/building_chains_tables/ironic_building_chains							
ironic_gate_food_deposits			military	false	ironic_gate_buildings		0
ironic_gate_security_checks			military	false	ironic_gate_buildings		1
ironic_gate_inn			military	false	ironic_gate_buildings		2
ironic_gate_government_post			military	false	ironic_gate_buildings		3
ironic_supply_chain			military	false	ironic_side_buildings		0
ironic_garrison_improvement			military	false	ironic_side_buildings		0
ironic_recruitment_hub			military	false	ironic_side_buildings		1
ironic_trading_hubs			military	false	ironic_side_buildings		2
ironic_qiang_building_sui			military	false	3k_resource_bandit_buildings		0
ironic_qiang_building_jian			military	false	3k_resource_bandit_buildings		0
ironic_qiang_building_chao			military	false	3k_resource_bandit_buildings		0
ironic_qiang_building			military	false	ironic_qiang_building		0
ironic_xiongnu_tribe			military	false	ironic_xiongnu_building		5
ironic_xiliang_build			military	false	ironic_xiliang_building		5
ironic_yue_build			military	false	ironic_yue_building		5
ironic_xianbei_build			military	false	ironic_xianbei_building		5
ironic_wuhuan_build			military	false	ironic_wuhuan_building		5
ironic_chu_build			military	false	ironic_chu_building		5
ironic_qi_build			military	false	ironic_qi_building		5
ironic_xiongnu_holdings			military	false	3k_resource_bandit_buildings		0
ironic_gao_gan_unique_military_conscription			military	false	3k_district_military_conscription		1
ironic_liu_yu_labour_artisan			money	false	3k_district_artisan_labourers		2
ironic_jia_long_country_estates			money	false	3k_district_government_temples		2
3k_district_market_school_kong_zhou			money	false	3k_district_market_schools		10
3k_district_market_inn_chen_wen			money	false	3k_district_market_inn		9
3k_district_residential_logistics_liu_dai			money	false	3k_district_residential_granaries		18
3k_district_market_school_zhang_chao			money	false	3k_district_market_schools		10
ironic_trading_hubs_ze_rong			military	false	3k_resource_bandit_buildings		0
3k_district_government_administration_palace_gongsun_du			money	false	3k_district_government_law		0
3k_district_market_school_wang_lang			money	false	3k_district_market_schools		10
3k_district_military_conscription_wu_jing			money	false	3k_district_military_conscription		0
ironic_liu_yao_labour_artisan			money	false	3k_district_artisan_labourers		2
3k_district_government_administration_hua			money	false	3k_district_government_law		0
3k_resource_banditry_xiongnu_encampment			military	false	3k_resource_bandit_buildings		0
3k_district_military_equipment_zhang_yang			military	false	3k_district_military_equipment		14
3k_district_market_school_zhuge_xuan			money	false	3k_district_market_schools		10
3k_district_market_inn_sheng_xian			money	false	3k_district_market_inn		9
