key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order
#building_chains_tables;6;db/building_chains_tables/provincial_side_buildings							
ironic_province_you_standard			military	false	ironic_province_you_standard		5
ironic_province_you_wuhuan			military	false	ironic_province_you_wuhuan		5
ironic_province_you_xianbei			military	false	ironic_province_you_xianbei		5
ironic_province_bing_standard			military	false	ironic_province_bing_standard		5
ironic_province_bing_xiongnu			military	false	ironic_province_bing_xiongnu		5
ironic_province_bing_xiliang			military	false	ironic_province_bing_xiliang		5
ironic_province_liang_standard			military	false	ironic_province_liang_standard		5
ironic_province_liang_xiliang			military	false	ironic_province_liang_xiliang		5
ironic_province_liang_qiang			military	false	ironic_province_liang_qiang		5
ironic_province_qing_standard			military	false	ironic_province_qing_standard		5
ironic_province_yan_standard			military	false	ironic_province_yan_standard		5
ironic_province_xu_standard			military	false	ironic_province_xu_standard		5
ironic_province_yu_standard			military	false	ironic_province_yu_standard		5
ironic_province_yang_standard			military	false	ironic_province_yang_standard		5
ironic_province_yang_yue			military	false	ironic_province_yang_yue		5
ironic_province_jing_standard			military	false	ironic_province_jing_standard		5
ironic_province_jing_chu			military	false	ironic_province_jing_chu		5
ironic_province_yi_standard			military	false	ironic_province_yi_standard		5
ironic_province_yi_di			military	false	ironic_province_yi_di		5
ironic_province_yi_nanman			military	false	ironic_province_yi_nanman		5
ironic_province_jiao_standard			military	false	ironic_province_jiao_standard		5
ironic_province_jiao_vietnam			military	false	ironic_province_jiao_vietnam		5
ironic_province_korea_standard			military	false	ironic_province_korea_standard		5
ironic_province_korea_xianbei			military	false	ironic_province_korea_xianbei		5
ironic_province_korea_han			military	false	ironic_province_korea_han		5
ironic_province_sili_standard			military	false	ironic_province_sili_standard		5
ironic_province_sili_chu			military	false	ironic_province_sili_chu		5
ironic_province_yong_standard			military	false	ironic_province_yong_standard		5
ironic_province_yong_xiongnu			military	false	ironic_province_yong_xiongnu		5
ironic_province_yong_xiliang			military	false	ironic_province_yong_xiliang		5
ironic_province_yong_qiang			military	false	ironic_province_yong_qiang		5
ironic_province_ji_standard			military	false	ironic_province_ji_standard		5
