level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	settlement_secondary_slot_unlock_points	settlement_ui_display	cost_to_construct_instantly
#building_levels_tables;18;db/building_levels_tables/data__																											
3k_city_0	3k_city	0	1	0	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	false	0	3k_cam_settlement_land_layout_deserted	false	0	3k_main_settlement_panel_display_city_0	0
3k_city_1	3k_city	1	4	1000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	0	3k_cam_settlement_land_layout_village	true	2	3k_main_settlement_panel_display_city_1	1000
3k_city_10	3k_city	10	10	12000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	9	3k_cam_settlement_land_layout_metropolis	true	12	3k_main_settlement_panel_display_city_10	12000
3k_city_2	3k_city	2	4	1500	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	1	3k_cam_settlement_land_layout_village	true	4	3k_main_settlement_panel_display_city_2	1500
3k_city_3	3k_city	3	4	2000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	2	3k_cam_settlement_land_layout_village	true	4	3k_main_settlement_panel_display_city_3	2000
3k_city_4	3k_city	4	6	3000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	3	3k_cam_settlement_land_layout_town	true	6	3k_main_settlement_panel_display_city_4	3000
3k_city_5	3k_city	5	6	4000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	4	3k_cam_settlement_land_layout_town	true	8	3k_main_settlement_panel_display_city_5	4000
3k_city_6	3k_city	6	6	5000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	5	3k_cam_settlement_land_layout_town	true	8	3k_main_settlement_panel_display_city_6	5000
3k_city_7	3k_city	7	8	6500	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	6	3k_cam_settlement_land_layout_city	true	10	3k_main_settlement_panel_display_city_7	6500
3k_city_8	3k_city	8	8	8000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	7	3k_cam_settlement_land_layout_city	true	12	3k_main_settlement_panel_display_city_8	8000
