level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	settlement_secondary_slot_unlock_points	settlement_ui_display	cost_to_construct_instantly
#building_levels_tables;18;db/building_levels_tables/ironic_nomad_buildings																											
ironic_nomad_camp_0	ironic_nomad_camp	0	1	0	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	false	0	3k_cam_settlement_land_layout_deserted	false	0	3k_dlc06_settlement_panel_display_city_district_0	0
ironic_nomad_camp_1	ironic_nomad_camp	1	4	1000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	0	3k_cam_settlement_land_layout_village	true	2	3k_dlc06_settlement_panel_display_city_district_1	1000
ironic_nomad_camp_2	ironic_nomad_camp	2	4	1500	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	1	3k_cam_settlement_land_layout_village	true	4	3k_dlc06_settlement_panel_display_city_district_2	1500
ironic_nomad_camp_3	ironic_nomad_camp	3	4	2000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	2	3k_cam_settlement_land_layout_village	true	4	3k_dlc06_settlement_panel_display_city_district_3	2000
ironic_nomad_camp_4	ironic_nomad_camp	4	6	3000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	3	3k_cam_settlement_land_layout_village	true	6	3k_dlc06_settlement_panel_display_city_district_4	3000
ironic_nomad_camp_5	ironic_nomad_camp	5	6	4000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	4	3k_cam_settlement_land_layout_village	true	8	3k_dlc06_settlement_panel_display_city_district_5	4000
ironic_nomad_camp_6	ironic_nomad_camp	6	6	5000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	5	3k_cam_settlement_land_layout_town	true	8	3k_dlc06_settlement_panel_display_city_district_6	5000
ironic_nomad_camp_7	ironic_nomad_camp	7	8	6500	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	6	3k_cam_settlement_land_layout_town	true	10	3k_dlc06_settlement_panel_display_city_district_7	6500
ironic_nomad_camp_8	ironic_nomad_camp	8	8	8000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	7	3k_cam_settlement_land_layout_town	true	12	3k_dlc06_settlement_panel_display_city_district_8	8000
ironic_nomad_camp_9	ironic_nomad_camp	9	8	10000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	8	3k_cam_settlement_land_layout_town	true	12	3k_dlc06_settlement_panel_display_city_district_9	10000
ironic_nomad_camp_10	ironic_nomad_camp	10	10	12000	0		false	0	0	0	0	false				true	3k_city	true	0.0000	0	true	9	3k_cam_settlement_land_layout_town	true	12	3k_dlc06_settlement_panel_display_city_district_10	12000
ironic_nomad_yurt_maker_1	ironic_nomad_yurt_maker	0	1	700	0		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	1	3k_cam_settlement_district_workshop_metal	true	0		700
ironic_nomad_yurt_maker_2	ironic_nomad_yurt_maker	1	2	1150	0		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	3	3k_cam_settlement_district_workshop_metal	true	0		1150
ironic_nomad_yurt_maker_3	ironic_nomad_yurt_maker	2	2	1800	0		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		1800
ironic_nomad_yurt_maker_4	ironic_nomad_yurt_maker	3	3	3050	0		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		3050
ironic_nomad_yurt_maker_5	ironic_nomad_yurt_maker	4	3	5400	0		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	7	3k_cam_settlement_district_workshop_metal	true	0		5400
ironic_nomad_cart_wheeler_1	ironic_nomad_cart_wheeler	0	1	700	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	1	3k_cam_settlement_district_workshop_metal	true	0		700
ironic_nomad_cart_wheeler_2	ironic_nomad_cart_wheeler	1	2	1150	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	3	3k_cam_settlement_district_workshop_metal	true	0		1150
ironic_nomad_cart_wheeler_3	ironic_nomad_cart_wheeler	2	2	1800	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		1800
ironic_nomad_cart_wheeler_4	ironic_nomad_cart_wheeler	3	3	3050	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		3050
ironic_nomad_cart_wheeler_5	ironic_nomad_cart_wheeler	4	3	5400	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	7	3k_cam_settlement_district_workshop_metal	true	0		5400
ironic_nomad_cart_wheeler_war_4	ironic_nomad_cart_wheeler	3	3	3050	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		3050
ironic_nomad_cart_wheeler_war_5	ironic_nomad_cart_wheeler	4	3	5400	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_private	true	0.0000	0	true	7	3k_cam_settlement_district_workshop_metal	true	0		5400
ironic_nomad_spinner_1	ironic_nomad_spinner	0	1	700	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_state	true	0.0000	0	true	1	3k_cam_settlement_district_workshop_metal	true	0		700
ironic_nomad_spinner_2	ironic_nomad_spinner	1	2	1150	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_state	true	0.0000	0	true	3	3k_cam_settlement_district_workshop_metal	true	0		1150
ironic_nomad_spinner_3	ironic_nomad_spinner	2	2	1800	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_state	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		1800
ironic_nomad_spinner_4	ironic_nomad_spinner	3	3	3050	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_state	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		3050
ironic_nomad_spinner_5	ironic_nomad_spinner	4	3	5400	0		false	0	0	0	0	false				true	3k_district_artisan_workshops_state	true	0.0000	0	true	7	3k_cam_settlement_district_workshop_metal	true	0		5400
ironic_nomad_goat_herders_1	ironic_nomad_goat_herders	0	1	600	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	1	3k_cam_settlement_district_administration	true	0		600
ironic_nomad_goat_herders_2	ironic_nomad_goat_herders	1	2	1200	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	3	3k_cam_settlement_district_administration	true	0		1200
ironic_nomad_goat_herders_3	ironic_nomad_goat_herders	2	2	1800	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	4	3k_cam_settlement_district_administration	true	0		1800
