level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	settlement_secondary_slot_unlock_points	settlement_ui_display	cost_to_construct_instantly
#building_levels_tables;18;db/building_levels_tables/unique_buildings																											
3k_district_military_conscription_gao_gan_1	ironic_gao_gan_unique_military_conscription	0	1	1000	0		false	0	0	0	0	false				true	3k_district_military_conscription	true	0.0000	0	true	1	3k_cam_settlement_district_army	true	0		1000
3k_district_military_conscription_gao_gan_2	ironic_gao_gan_unique_military_conscription	1	2	2000	0		false	0	0	0	0	false				true	3k_district_military_conscription	true	0.0000	0	true	1	3k_cam_settlement_district_army	true	0		2000
3k_district_military_conscription_gao_gan_3	ironic_gao_gan_unique_military_conscription	2	2	3000	0		false	0	0	0	0	false				true	3k_district_military_conscription	true	0.0000	0	true	1	3k_cam_settlement_district_army	true	0		3000
3k_district_artisan_labour_liu_yu_1	ironic_liu_yu_labour_artisan	0	1	700	0		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	1	3k_cam_settlement_district_workshop_metal	true	0		700
3k_district_artisan_labour_liu_yu_2	ironic_liu_yu_labour_artisan	1	2	1150	10		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	3	3k_cam_settlement_district_workshop_metal	true	0		1150
3k_district_artisan_labour_liu_yu_3	ironic_liu_yu_labour_artisan	2	2	1800	30		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		1800
3k_district_artisan_labour_liu_yu_4	ironic_liu_yu_labour_artisan	3	3	3050	60		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	4	3k_cam_settlement_district_workshop_metal	true	0		3050
3k_district_artisan_labour_liu_yu_5	ironic_liu_yu_labour_artisan	4	3	5400	110		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	7	3k_cam_settlement_district_workshop_metal	true	0		5400
3k_district_artisan_mines_liu_yu_4	ironic_liu_yu_labour_artisan	3	4	2800	40		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	4	3k_cam_resource_mine	true	0		1950
3k_district_artisan_mines_liu_yu_5	ironic_liu_yu_labour_artisan	4	4	3800	80		false	0	0	0	0	false				true	3k_district_artisan_labour_basic	true	0.0000	0	true	7	3k_cam_resource_mine	true	0		3200
3k_district_government_country_estate_jia_1	ironic_jia_long_country_estates	0	1	1000	10		false	0	0	0	0	false				true	3k_district_government_temple	true	0.0000	0	true	1	3k_cam_settlement_district_administration	true	0		1000
3k_district_government_country_estate_jia_2	ironic_jia_long_country_estates	1	2	2000	20		false	0	0	0	0	false				true	3k_district_government_temple	true	0.0000	0	true	3	3k_cam_settlement_district_administration	true	0		2000
3k_district_government_country_estate_jia_3	ironic_jia_long_country_estates	2	2	3000	30		false	0	0	0	0	false				true	3k_district_government_temple	true	0.0000	0	true	4	3k_cam_settlement_district_administration	true	0		3000
3k_district_government_country_estate_jia_4	ironic_jia_long_country_estates	3	3	4000	40		false	0	0	0	0	false				true	3k_district_government_temple	true	0.0000	0	true	6	3k_cam_settlement_district_administration	true	0		4000
3k_district_government_country_estate_jia_5	ironic_jia_long_country_estates	4	3	5000	50		false	0	0	0	0	false				true	3k_district_government_temple	true	0.0000	0	true	7	3k_cam_settlement_district_administration	true	0		5000
3k_district_market_school_kong_zhou_1	3k_district_market_school_kong_zhou	0	1	700	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	1	3k_cam_settlement_district_school	true	0		700
3k_district_market_school_kong_zhou_2	3k_district_market_school_kong_zhou	1	2	1150	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	1	3k_cam_settlement_district_school	true	0		1150
3k_district_market_school_kong_zhou_3	3k_district_market_school_kong_zhou	2	2	1800	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	4	3k_cam_settlement_district_school	true	0		1800
3k_district_market_school_kong_zhou_4	3k_district_market_school_kong_zhou	3	3	3350	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	4	3k_cam_settlement_district_school	true	0		3350
3k_district_market_school_kong_zhou_5	3k_district_market_school_kong_zhou	4	3	5950	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	7	3k_cam_settlement_district_school	true	0		5950
3k_district_market_inn_1_chen_wen	3k_district_market_inn_chen_wen	0	2	1550	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	1	3k_cam_settlement_district_tavern	true	0		1550
3k_district_market_inn_2_chen_wen	3k_district_market_inn_chen_wen	1	4	1900	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	1	3k_cam_settlement_district_tavern	true	0		1900
3k_district_market_inn_3_chen_wen	3k_district_market_inn_chen_wen	2	4	2350	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	4	3k_cam_settlement_district_tavern	true	0		2350
3k_district_market_inn_4_chen_wen	3k_district_market_inn_chen_wen	3	6	2750	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	4	3k_cam_settlement_district_tavern	true	0		2750
3k_district_market_inn_5_chen_wen	3k_district_market_inn_chen_wen	4	6	3350	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	7	3k_cam_settlement_district_tavern	true	0		3350
3k_district_market_tea_3_chen_wen	3k_district_market_inn_chen_wen	2	4	2500	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	4	3k_cam_settlement_district_trade	true	0		2500
3k_district_market_tea_4_chen_wen	3k_district_market_inn_chen_wen	3	6	3050	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	4	3k_cam_settlement_district_trade	true	0		3050
3k_district_market_tea_5_chen_wen	3k_district_market_inn_chen_wen	4	6	3650	0		false	0	0	0	0	false				true	3k_district_market_inn_basic	true	0.0000	0	true	7	3k_cam_settlement_district_trade	true	0		3650
3k_district_residential_logistics_1_liu_dai	3k_district_residential_logistics_liu_dai	0	1	600	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	4	3k_cam_settlement_district_administration	true	0		600
3k_district_residential_logistics_2_liu_dai	3k_district_residential_logistics_liu_dai	1	2	1200	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	4	3k_cam_settlement_district_administration	true	0		1200
3k_district_residential_logistics_3_liu_dai	3k_district_residential_logistics_liu_dai	2	2	1800	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	7	3k_cam_settlement_district_administration	true	0		1800
3k_district_residential_logistics_4_liu_dai	3k_district_residential_logistics_liu_dai	3	3	2400	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	7	3k_cam_settlement_district_administration	true	0		2400
3k_district_residential_logistics_5_liu_dai	3k_district_residential_logistics_liu_dai	4	3	3000	0		false	0	0	0	0	false				true	3k_district_residential_granary	true	0.0000	0	true	7	3k_cam_settlement_district_administration	true	0		3000
3k_district_market_school_1_zhang_chao	3k_district_market_school_zhang_chao	0	1	900	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	4	3k_cam_settlement_district_school	true	0		900
3k_district_market_school_2_zhang_chao	3k_district_market_school_zhang_chao	1	2	1400	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	4	3k_cam_settlement_district_school	true	0		1400
3k_district_market_school_3_zhang_chao	3k_district_market_school_zhang_chao	2	2	1900	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	7	3k_cam_settlement_district_school	true	0		1900
3k_district_market_school_4_zhang_chao	3k_district_market_school_zhang_chao	3	3	2400	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	7	3k_cam_settlement_district_school	true	0		2400
3k_district_market_school_5_zhang_chao	3k_district_market_school_zhang_chao	4	3	2900	0		false	0	0	0	0	false				true	3k_district_market_school	true	0.0000	0	true	7	3k_cam_settlement_district_school	true	0		2900
