art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/!!_zase_puzzle								
3k_main_art_set_historical_cai_he_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_cai_mao_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_cai_yong_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_cai_yuxiang_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_cai_zhong_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_cao_ang_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_chenggong_ying_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_chen_jiu_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_congqian_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_cui_jun_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_deng_sheng_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_deng_yuan_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_ding_yuan_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_dong_li_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_fan_min_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_du_ji_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_fu_gan_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_gao_gan_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_cao_song_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_gao_zhulan_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_gongsun_du_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_gongsun_gong_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_gongsun_kang_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_gongsun_tingping_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_gongsun_xu_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_guan_hai_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_guo_da_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_guo_si_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_han_dang_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_han_fu_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_han_hao_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_han_ruilan_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_han_xian_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_huang_anbao_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_huang_she_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_huang_yingxiu_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_huang_zu_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_huan_lin_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_huan_zhi_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_hua_xin_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_jia_long_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_jin_xuan_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_ju_shou_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_kong_yurui_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_kong_zhou_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_kuai_liang_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_kuai_yue_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_lady_cai_qinting_general	general	3k_main_chinese			true	false		1.0000
3k_main_art_set_historical_liang_mao_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_liao_hua_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_liu_cong_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_liu_dai_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_liu_he_general	general	3k_main_chinese			true	true		1.0000
3k_main_art_set_historical_liu_hong_general	general	3k_main_chinese			true	true		1.0000
