member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/doumaoresource		
ironic_dou_mao_trailblazing_level_0	owner	ironic_faction_di_tribes
ironic_dou_mao_trailblazing_level_1	owner	ironic_faction_di_tribes
ironic_dou_mao_trailblazing_level_2	owner	ironic_faction_di_tribes
ironic_dou_mao_trailblazing_level_3	owner	ironic_faction_di_tribes
ironic_dou_mao_trailblazing_level_4	owner	ironic_faction_di_tribes
ironic_dou_mao_trailblazing_resource_207	actor	ironic_faction_di_tribes
ironic_trailblazing_victory_casualities	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_city_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_city_low	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_city_medium	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_city_super_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_city_very_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_city_very_low	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_metropolis_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_metropolis_low	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_metropolis_medium	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_town_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_town_low	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_town_medium	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_town_super_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_town_very_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_town_very_low	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_village_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_village_low	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_village_medium	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_village_super_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_village_very_high	owner	ironic_faction_di_tribes
3k_main_campaign_group_population_di_tribes_village_very_low	owner	ironic_faction_di_tribes
ironic_trailblazing_crushing_defeat	actor	ironic_faction_di_tribes
ironic_trailblazing_valiant_defeat	actor	ironic_faction_di_tribes
ironic_trailblazing_close_defeat	actor	ironic_faction_di_tribes
ironic_trailblazing_decisive_defeat	actor	ironic_faction_di_tribes
ironic_trailblazing_victory_pyrrhic_victory	actor	ironic_faction_di_tribes
ironic_trailblazing_victory_heroic_victory	actor	ironic_faction_di_tribes
ironic_trailblazing_victory_close_victory	actor	ironic_faction_di_tribes
ironic_trailblazing_victory_decisive_victory	actor	ironic_faction_di_tribes
