member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/goguryeoresource		
ironic_goguryeo_military_conquest_level_0	owner	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_level_1	owner	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_level_2	owner	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_level_3	owner	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_level_4	owner	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_resource_207	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_crushing_defeat_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_valiant_defeat_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_close_defeat_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_decisive_defeat_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_pyrrhic_victory_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_heroic_victory_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_close_victory_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_decisive_victory_3k_dlc05_subculture_bandits	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_crushing_defeat_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_valiant_defeat_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_close_defeat_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_decisive_defeat_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_pyrrhic_victory_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_heroic_victory_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_close_victory_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_decisive_victory_3k_dlc06_subculture_nanman	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_crushing_defeat_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_valiant_defeat_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_close_defeat_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_decisive_defeat_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_pyrrhic_victory_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_heroic_victory_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_close_victory_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_decisive_victory_3k_main_subculture_yellow_turban	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_crushing_defeat_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_valiant_defeat_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_close_defeat_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_decisive_defeat_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_pyrrhic_victory_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_heroic_victory_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_close_victory_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_decisive_victory_3k_main_chinese	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_crushing_defeat_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_valiant_defeat_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_close_defeat_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_goguryeo_military_conquest_decisive_defeat_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_pyrrhic_victory_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_heroic_victory_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_close_victory_3k_ironic_korea	actor	ironic_faction_goguryeo
ironic_military_conquest_victory_decisive_victory_3k_ironic_korea	actor	ironic_faction_goguryeo
