member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/gongsunduhanrelation		
ironic_gongsun_du_liaodong_han_relations_level_0	owner	3k_main_faction_gongsun_du
ironic_gongsun_du_liaodong_han_relations_level_1	owner	3k_main_faction_gongsun_du
ironic_gongsun_du_liaodong_han_relations_level_2	owner	3k_main_faction_gongsun_du
ironic_gongsun_du_liaodong_han_relations_level_3	owner	3k_main_faction_gongsun_du
ironic_gongsun_du_liaodong_han_relations_level_4	owner	3k_main_faction_gongsun_du
ironic_gongsun_du_liaodong_han_relations_resource_207	actor	3k_main_faction_gongsun_du
ironic_gongsun_du_politics_improve	owner	3k_main_faction_gongsun_du
ironic_gongsun_du_politics_reduce	owner	3k_main_faction_gongsun_du
3k_district_government_administration_1_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_administration_2_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_administration_3_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_administration_4_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_administration_5_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_law_3_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_law_4_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_law_5_gongsun_du	owner	3k_main_faction_gongsun_du
3k_district_government_law_jade_5_gongsun_du	owner	3k_main_faction_gongsun_du
