member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/huangzu		
ironic_huang_zu_prime_ambush_level_0	owner	3k_main_faction_huang_zu
ironic_huang_zu_prime_ambush_level_1	owner	3k_main_faction_huang_zu
ironic_huang_zu_prime_ambush_level_2	owner	3k_main_faction_huang_zu
ironic_huang_zu_prime_ambush_level_3	owner	3k_main_faction_huang_zu
ironic_huang_zu_prime_ambush_level_4	owner	3k_main_faction_huang_zu
ironic_huang_zu_prime_ambush_level_5	owner	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_close_defeat_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_close_victory_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_crushing_defeat_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_decisive_defeat_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_decisive_victory_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_heroic_victory_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_pyrrhic_victory_huang_zu	actor	3k_main_faction_huang_zu
ironic_campaign_group_member_post_battle_effects_valiant_defeat_huang_zu	actor	3k_main_faction_huang_zu
3k_main_campaign_group_campaign_feature_ambush_in_default_huang_zu	owner	3k_main_faction_huang_zu
