member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ironic_added_factions_criteria		
ironic_campaign_group_member_governor_independence_trigger_zhuge_xuan	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_campaign_features_governors_enabled_zhuge_xuan	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_can_spy_factions_zhuge_xuan	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_campaign_feature_governor_enabled_zhuge_xuan	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_faction_zhuge_xuan_world_leaders_can_become_leader_by_capturing_seat	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_faction_zhuge_xuan_world_leaders_can_proclaim_seat	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_cosmetic_tag_faction_name_zhuge_xuan_world_leader	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_cosmetic_tag_faction_name_zhuge_xuan_3	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_cosmetic_tag_faction_name_zhuge_xuan_4	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_pooled_resource_imperial_favour_main_faction_zhuge_xuan	owner	ironic_faction_zhuge_xuan
ironic_campaign_group_member_governor_independence_trigger_zhuge_xuan_separatists	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_campaign_feature_governor_enabled_zhuge_xuan_separatists	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_cannot_spy_zhuge_xuan_separatists	owner	ironic_faction_zhuge_xuan_separatists
3k_main_campaign_group_member_faction_zhuge_xuan_separatists_world_leaders_can_become_leader_by_capturing_seat	owner	ironic_faction_zhuge_xuan_separatists
3k_main_campaign_group_member_faction_zhuge_xuan_separatists_world_leaders_can_proclaim_seat	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_cosmetic_tag_faction_name_zhuge_xuan_world_leader_separatists	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_cosmetic_tag_faction_name_zhuge_xuan_3_separatists	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_cosmetic_tag_faction_name_zhuge_xuan_4_separatists	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_pooled_resource_imperial_favour_main_faction_zhuge_xuan_separatists	owner	ironic_faction_zhuge_xuan_separatists
ironic_campaign_group_member_governor_independence_trigger_zhang_jin	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_governor_independence_trigger_zhang_jin_separatists	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_campaign_features_governors_enabled_zhang_jin	owner	ironic_faction_zhang_jin
ironic_campaign_group_can_spy_factions_zhang_jin	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_campaign_feature_governor_enabled_zhang_jin	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_campaign_feature_governor_enabled_zhang_jin_separatists	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_member_cannot_spy_zhang_jin_separatists	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_member_faction_zhang_jin_world_leaders_can_become_leader_by_capturing_seat	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_faction_zhang_jin_world_leaders_can_proclaim_seat	owner	ironic_faction_zhang_jin
3k_main_campaign_group_member_faction_zhang_jin_separatists_world_leaders_can_become_leader_by_capturing_seat	owner	ironic_faction_zhang_jin_separatists
3k_main_campaign_group_member_faction_zhang_jin_separatists_world_leaders_can_proclaim_seat	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_member_cosmetic_tag_faction_name_zhang_jin_world_leader	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_cosmetic_tag_faction_name_zhang_jin_3	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_cosmetic_tag_faction_name_zhang_jin_4	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_cosmetic_tag_faction_name_zhang_jin_world_leader_separatists	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_member_cosmetic_tag_faction_name_zhang_jin_3_separatists	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_member_cosmetic_tag_faction_name_zhang_jin_4_separatists	owner	ironic_faction_zhang_jin_separatists
ironic_campaign_group_member_pooled_resource_imperial_favour_main_faction_zhang_jin	owner	ironic_faction_zhang_jin
ironic_campaign_group_member_pooled_resource_imperial_favour_main_faction_zhang_jin_separatists	owner	ironic_faction_zhang_jin_separatists
