member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ironic_nomad_buildings		
ironic_group_member_nomad_occupied_xiongnu_tribes_1	owner	ironic_faction_xiongnu_tribes
ironic_group_member_nomad_occupied_xiongnu_tribes_separatists_1	owner	ironic_faction_xiongnu_tribes_separatists
ironic_group_member_nomad_occupied_wuhuan_tribes_1	owner	ironic_faction_wuhuan_tribes
ironic_group_member_nomad_occupied_wuhuan_tribes_separatists_1	owner	ironic_faction_wuhuan_tribes_separatists
ironic_group_member_nomad_occupied_xianbei_kuitou_1	owner	ironic_faction_xianbei_kuitou
ironic_group_member_nomad_occupied_xianbei_kuitou_separatists_1	owner	ironic_faction_xianbei_kuitou_separatists
ironic_group_member_nomad_occupied_xianbei_tuoba_1	owner	ironic_faction_xianbei_tuoba
ironic_group_member_nomad_occupied_xianbei_tuoba_separatists_1	owner	ironic_faction_xianbei_tuoba_separatists
ironic_group_member_nomad_occupied_di_tribes_1	owner	ironic_faction_di_tribes
ironic_group_member_nomad_occupied_di_tribes_separatists_1	owner	ironic_faction_di_tribes_separatists
ironic_group_member_nomad_occupied_xiongnu_tribes_2	owner	ironic_faction_xiongnu_tribes
ironic_group_member_nomad_occupied_xiongnu_tribes_separatists_2	owner	ironic_faction_xiongnu_tribes_separatists
ironic_group_member_nomad_occupied_wuhuan_tribes_2	owner	ironic_faction_wuhuan_tribes
ironic_group_member_nomad_occupied_wuhuan_tribes_separatists_2	owner	ironic_faction_wuhuan_tribes_separatists
ironic_group_member_nomad_occupied_xianbei_kuitou_2	owner	ironic_faction_xianbei_kuitou
ironic_group_member_nomad_occupied_xianbei_kuitou_separatists_2	owner	ironic_faction_xianbei_kuitou_separatists
ironic_group_member_nomad_occupied_xianbei_tuoba_2	owner	ironic_faction_xianbei_tuoba
ironic_group_member_nomad_occupied_xianbei_tuoba_separatists_2	owner	ironic_faction_xianbei_tuoba_separatists
ironic_group_member_nomad_occupied_di_tribes_2	owner	ironic_faction_di_tribes
ironic_group_member_nomad_occupied_di_tribes_separatists_2	owner	ironic_faction_di_tribes_separatists
ironic_group_member_nomad_occupied_xiongnu_tribes_3	owner	ironic_faction_xiongnu_tribes
ironic_group_member_nomad_occupied_xiongnu_tribes_separatists_3	owner	ironic_faction_xiongnu_tribes_separatists
ironic_group_member_nomad_occupied_wuhuan_tribes_3	owner	ironic_faction_wuhuan_tribes
ironic_group_member_nomad_occupied_wuhuan_tribes_separatists_3	owner	ironic_faction_wuhuan_tribes_separatists
ironic_group_member_nomad_occupied_xianbei_kuitou_3	owner	ironic_faction_xianbei_kuitou
ironic_group_member_nomad_occupied_xianbei_kuitou_separatists_3	owner	ironic_faction_xianbei_kuitou_separatists
ironic_group_member_nomad_occupied_xianbei_tuoba_3	owner	ironic_faction_xianbei_tuoba
ironic_group_member_nomad_occupied_xianbei_tuoba_separatists_3	owner	ironic_faction_xianbei_tuoba_separatists
ironic_group_member_nomad_occupied_di_tribes_3	owner	ironic_faction_di_tribes
ironic_group_member_nomad_occupied_di_tribes_separatists_3	owner	ironic_faction_di_tribes_separatists
ironic_group_member_nomad_occupied_xiongnu_tribes_4	owner	ironic_faction_xiongnu_tribes
ironic_group_member_nomad_occupied_xiongnu_tribes_separatists_4	owner	ironic_faction_xiongnu_tribes_separatists
ironic_group_member_nomad_occupied_wuhuan_tribes_4	owner	ironic_faction_wuhuan_tribes
ironic_group_member_nomad_occupied_wuhuan_tribes_separatists_4	owner	ironic_faction_wuhuan_tribes_separatists
ironic_group_member_nomad_occupied_xianbei_kuitou_4	owner	ironic_faction_xianbei_kuitou
ironic_group_member_nomad_occupied_xianbei_kuitou_separatists_4	owner	ironic_faction_xianbei_kuitou_separatists
ironic_group_member_nomad_occupied_xianbei_tuoba_4	owner	ironic_faction_xianbei_tuoba
ironic_group_member_nomad_occupied_xianbei_tuoba_separatists_4	owner	ironic_faction_xianbei_tuoba_separatists
ironic_group_member_nomad_occupied_di_tribes_4	owner	ironic_faction_di_tribes
ironic_group_member_nomad_occupied_di_tribes_separatists_4	owner	ironic_faction_di_tribes_separatists
