member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ironic_sun_ce_fix		
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_very_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_easy	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_hard	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_legndary	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_normal	owner	3k_dlc05_faction_sun_ce
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_very_hard	owner	3k_dlc05_faction_sun_ce
