member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/kuitoupathresource		
ironic_kuitou_path_ts_level_0	owner	ironic_faction_xianbei_kuitou
ironic_kuitou_path_ts_level_1	owner	ironic_faction_xianbei_kuitou
ironic_kuitou_path_ts_level_2	owner	ironic_faction_xianbei_kuitou
ironic_kuitou_path_ts_level_3	owner	ironic_faction_xianbei_kuitou
ironic_kuitou_path_ts_level_4	owner	ironic_faction_xianbei_kuitou
ironic_kuitou_path_ts_resource_207	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_crushing_defeat	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_valiant_defeat	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_close_defeat	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_decisive_defeat	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_close_victory	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_heroic_victory	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_pyrrhic_victory	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_decisive_victory	actor	ironic_faction_xianbei_kuitou
ironic_xianbei_kuitou_path_casualities	owner	ironic_faction_xianbei_kuitou
3k_main_campaign_group_character_spawning_agent_weighted_selection_set_xianbei_kuitou_default	owner	ironic_faction_xianbei_kuitou
3k_main_campaign_group_character_spawning_agent_weighted_selection_set_xianbei_kuitou_records	owner	ironic_faction_xianbei_kuitou
