member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/liu_yaobattles_all		
ironic_liu_yao_war_weariness_crushing_defeat	actor	3k_main_faction_liu_yao
ironic_liu_yao_war_weariness_valiant_defeat	actor	3k_main_faction_liu_yao
ironic_liu_yao_war_weariness_close_defeat	actor	3k_main_faction_liu_yao
ironic_liu_yao_war_weariness_decisive_defeat	actor	3k_main_faction_liu_yao
ironic_war_weariness_victory_pyrrhic_victory	actor	3k_main_faction_liu_yao
ironic_war_weariness_victory_heroic_victory	actor	3k_main_faction_liu_yao
ironic_war_weariness_victory_close_victory	actor	3k_main_faction_liu_yao
ironic_war_weariness_victory_decisive_victory	actor	3k_main_faction_liu_yao
ironic_war_weariness_casualities	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_labour_1	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_labour_2	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_labour_3	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_labour_4	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_labour_5	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_mines_4	owner	3k_main_faction_liu_yao
ironic_han_liu_yao_3k_district_artisan_mines_5	owner	3k_main_faction_liu_yao
