member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/liudairesource		
ironic_liu_dai_siege_warfare_level_0	owner	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_level_1	owner	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_level_2	owner	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_level_3	owner	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_level_4	owner	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_resource_207	actor	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_crushing_defeat	actor	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_valiant_defeat	actor	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_close_defeat	actor	3k_main_faction_liu_dai
ironic_liu_dai_siege_warfare_decisive_defeat	actor	3k_main_faction_liu_dai
ironic_siege_warfare_victory_pyrrhic_victory	actor	3k_main_faction_liu_dai
ironic_siege_warfare_victory_heroic_victory	actor	3k_main_faction_liu_dai
ironic_siege_warfare_victory_close_victory	actor	3k_main_faction_liu_dai
ironic_siege_warfare_victory_decisive_victory	actor	3k_main_faction_liu_dai
ironic_liu_dai_politics_improve	owner	3k_main_faction_liu_dai
ironic_liu_dai_politics_reduce	owner	3k_main_faction_liu_dai
3k_main_group_settlement_actions_default_major_liu_dai	actor	3k_main_faction_liu_dai
3k_main_group_settlement_actions_default_minor_liu_dai	actor	3k_main_faction_liu_dai
3k_district_residential_logistics_1_liu_dai	owner	3k_main_faction_liu_dai
3k_district_residential_logistics_2_liu_dai	owner	3k_main_faction_liu_dai
3k_district_residential_logistics_3_liu_dai	owner	3k_main_faction_liu_dai
3k_district_residential_logistics_4_liu_dai	owner	3k_main_faction_liu_dai
3k_district_residential_logistics_5_liu_dai	owner	3k_main_faction_liu_dai
