member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/liuyuresource		
ironic_liu_yu_peace_level_0	owner	3k_main_faction_liu_yu
ironic_liu_yu_peace_level_1	owner	3k_main_faction_liu_yu
ironic_liu_yu_peace_level_2	owner	3k_main_faction_liu_yu
ironic_liu_yu_peace_level_3	owner	3k_main_faction_liu_yu
ironic_liu_yu_peace_level_4	owner	3k_main_faction_liu_yu
ironic_liu_yu_peace_resource_207	actor	3k_main_faction_liu_yu
ironic_liu_yu_peace_crushing_defeat	actor	3k_main_faction_liu_yu
ironic_liu_yu_peace_valiant_defeat	actor	3k_main_faction_liu_yu
ironic_liu_yu_peace_close_defeat	actor	3k_main_faction_liu_yu
ironic_liu_yu_peace_decisive_defeat	actor	3k_main_faction_liu_yu
ironic_liu_yu_peace_han_post_battle	actor	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_labour_1	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_labour_2	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_labour_3	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_labour_4	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_labour_5	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_mines_4	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_3k_district_artisan_mines_5	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_peace_public_order_effects	owner	3k_main_faction_liu_yu
ironic_han_liu_yu_peace_capture_mechanics	victor	3k_main_faction_liu_yu
3k_main_group_settlement_actions_default_major_liu_yu	actor	3k_main_faction_liu_yu
3k_main_group_settlement_actions_default_minor_liu_yu	actor	3k_main_faction_liu_yu
