member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/maairesource		
ironic_ma_ai_mercantilism_level_0	owner	ironic_faction_ma_ai
ironic_ma_ai_mercantilism_level_1	owner	ironic_faction_ma_ai
ironic_ma_ai_mercantilism_level_2	owner	ironic_faction_ma_ai
ironic_ma_ai_mercantilism_level_3	owner	ironic_faction_ma_ai
ironic_ma_ai_mercantilism_level_4	owner	ironic_faction_ma_ai
ironic_ma_ai_mercantilism_resource_207	actor	ironic_faction_ma_ai
ironic_ma_ai_politics_improve	owner	ironic_faction_ma_ai
ironic_ma_ai_politics_reduce	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_allied_alliance_member_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_allied_coalition_member_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_empire_alliance_member_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_ma_ai_ai_group_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_ma_ai_ai_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_ma_ai_human_group_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_ma_ai_human_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_ma_ai_group_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_ma_ai_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_ma_ai_ai_group_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_ma_ai_ai_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_ma_ai_human_group_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_ma_ai_human_war	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_easy_ai_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_easy_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_normal_ai_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_normal_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_easy_ai_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_easy_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_normal_ai_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_normal_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_own_self_ma_ai	owner	ironic_faction_ma_ai
3k_main_campaign_group_member_military_force_effect_own_vassal_ma_ai	owner	ironic_faction_ma_ai
