member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/sheng_xianresource		
ironic_sheng_xian_inner_circle_level_0	owner	3k_dlc05_faction_sheng_xian
ironic_sheng_xian_inner_circle_level_1	owner	3k_dlc05_faction_sheng_xian
ironic_sheng_xian_inner_circle_resource_207	actor	3k_dlc05_faction_sheng_xian
ironic_sheng_xian_politics_improve	owner	3k_dlc05_faction_sheng_xian
ironic_inner_circle_recruitment	owner	3k_dlc05_faction_sheng_xian
3k_district_market_inn_1_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_inn_2_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_inn_3_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_inn_4_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_inn_5_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_tea_3_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_tea_4_sheng_xian	owner	3k_dlc05_faction_sheng_xian
3k_district_market_tea_5_sheng_xian	owner	3k_dlc05_faction_sheng_xian
