member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/shihuang		
ep_campaign_group_member_buildings_district_judiciary_1_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_buildings_district_judiciary_2_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_buildings_district_judiciary_3_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_buildings_district_judiciary_4_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_buildings_district_judiciary_5_seals_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_buildings_district_judiciary_5_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_character_recruitment_conversion_sima_jiong_human_easy	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_character_recruitment_conversion_sima_jiong_human_hard	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_character_recruitment_conversion_sima_jiong_human_legendary	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_character_recruitment_conversion_sima_jiong_human_normal	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_character_recruitment_conversion_sima_jiong_human_very_hard	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_cosmetics_prince_of_qi	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_cosmetics_prince_of_qin	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_pooled_resource_control	owner	3k_main_faction_yulin
ep_campaign_group_member_faction_prince_of_qi_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_mercenary_retinue_group_sima_jiong	owner	3k_main_faction_yulin
ep_campaign_group_member_political_action_banish_sima_jiong_remove_tier_1	actor	3k_main_faction_yulin
ep_campaign_group_member_political_action_banish_sima_jiong_remove_tier_2	actor	3k_main_faction_yulin
ep_campaign_group_member_political_action_banish_sima_jiong_remove_tier_3	actor	3k_main_faction_yulin
ep_campaign_group_member_political_action_banish_sima_jiong_remove_tier_4	actor	3k_main_faction_yulin
ep_campaign_group_member_politics_sima_jiong_faction_heir	owner	3k_main_faction_yulin
ep_campaign_group_member_politics_sima_jiong_faction_leader	owner	3k_main_faction_yulin
ep_campaign_group_member_politics_sima_jiong_prime_minister	owner	3k_main_faction_yulin
ep_campaign_group_member_pooled_resource_control_level_1	owner	3k_main_faction_yulin
ep_campaign_group_member_pooled_resource_control_level_2	owner	3k_main_faction_yulin
ep_campaign_group_member_pooled_resource_control_level_3	owner	3k_main_faction_yulin
ep_campaign_group_member_pooled_resource_control_level_4	owner	3k_main_faction_yulin
ep_campaign_group_member_pooled_resource_control_level_5	owner	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_defeat_sima_jiong_close	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_defeat_sima_jiong_crushing	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_defeat_sima_jiong_decisive	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_defeat_sima_jiong_valiant	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_victory_sima_jiong_close	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_victory_sima_jiong_decisive	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_victory_sima_jiong_heroic	actor	3k_main_faction_yulin
ep_campaign_group_member_post_battle_effects_victory_sima_jiong_pyrrhic	actor	3k_main_faction_yulin
