member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/wuhuanresource		
ironic_wuhuan_resource_level_0	owner	ironic_faction_wuhuan_tribes
ironic_wuhuan_resource_level_1	owner	ironic_faction_wuhuan_tribes
ironic_wuhuan_resource_level_2	owner	ironic_faction_wuhuan_tribes
ironic_wuhuan_resource_level_3	owner	ironic_faction_wuhuan_tribes
ironic_wuhuan_resource_level_4	owner	ironic_faction_wuhuan_tribes
ironic_wuhuan_resource_level_5	owner	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_close_defeat_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_close_victory_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_crushing_defeat_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_decisive_defeat_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_decisive_victory_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_heroic_victory_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_pyrrhic_victory_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_campaign_group_member_post_battle_effects_valiant_defeat_wuhuan	actor	ironic_faction_wuhuan_tribes
3k_main_group_casuality_taken_wuhuan	owner	ironic_faction_wuhuan_tribes
3k_main_group_settlement_actions_default_minor_wuhuan	actor	ironic_faction_wuhuan_tribes
3k_main_group_settlement_actions_default_major_wuhuan	actor	ironic_faction_wuhuan_tribes
3k_main_group_settlement_actions_gift_to_mercenary_master_major_wuhuan	actor	ironic_faction_wuhuan_tribes
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_wuhuan	actor	ironic_faction_wuhuan_tribes
ironic_chibi_campaign_group_member_wuhuan_enslave_reset	victor	ironic_faction_wuhuan_tribes
