member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/xiahouyuanresource		
ironic_xiahou_yuan_resource_level_0	owner	3k_main_faction_zhang_yang
ironic_xiahou_yuan_resource_level_1	owner	3k_main_faction_zhang_yang
ironic_xiahou_yuan_resource_level_2	owner	3k_main_faction_zhang_yang
ironic_xiahou_yuan_resource_level_3	owner	3k_main_faction_zhang_yang
ironic_xiahou_yuan_resource_level_4	owner	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_close_defeat_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_close_victory_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_crushing_defeat_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_decisive_defeat_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_decisive_victory_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_heroic_victory_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_pyrrhic_victory_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_campaign_group_member_post_battle_effects_valiant_defeat_xiahou_yuan	actor	3k_main_faction_zhang_yang
ironic_xiahou_yuan_campaign_group_casuality	owner	3k_main_faction_zhang_yang
3k_district_military_equipment_1_zhang_yang	owner	3k_main_faction_zhang_yang
3k_district_military_equipment_2_zhang_yang	owner	3k_main_faction_zhang_yang
3k_district_military_equipment_armour_3_zhang_yang	owner	3k_main_faction_zhang_yang
3k_district_military_equipment_ranged_3_zhang_yang	owner	3k_main_faction_zhang_yang
3k_district_military_equipment_weapons_3_zhang_yang	owner	3k_main_faction_zhang_yang
