member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/zhang_jinresource		
ironic_zhang_jin_qi_level_0	owner	ironic_faction_zhang_jin
ironic_zhang_jin_qi_level_1	owner	ironic_faction_zhang_jin
ironic_zhang_jin_qi_level_2	owner	ironic_faction_zhang_jin
ironic_zhang_jin_qi_level_3	owner	ironic_faction_zhang_jin
ironic_zhang_jin_qi_level_4	owner	ironic_faction_zhang_jin
ironic_zhang_jin_qi_resource_207	actor	ironic_faction_zhang_jin
ironic_zhang_jin_politics_improve	owner	ironic_faction_zhang_jin
ironic_zhang_jin_politics_reduce	owner	ironic_faction_zhang_jin
ironic_zhang_jin_captive_execute	victor	ironic_faction_zhang_jin
ironic_zhang_jin_captive_recruit	victor	ironic_faction_zhang_jin
ironic_zhang_jin_captive_release	victor	ironic_faction_zhang_jin
