member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/zhangchaoresource		
ironic_zhang_chao_Calligraphy_level_0	owner	3k_main_faction_zhang_chao
ironic_zhang_chao_Calligraphy_level_1	owner	3k_main_faction_zhang_chao
ironic_zhang_chao_Calligraphy_level_2	owner	3k_main_faction_zhang_chao
ironic_zhang_chao_Calligraphy_level_3	owner	3k_main_faction_zhang_chao
ironic_zhang_chao_Calligraphy_level_4	owner	3k_main_faction_zhang_chao
ironic_zhang_chao_Calligraphy_resource_207	actor	3k_main_faction_zhang_chao
ironic_zhang_chao_politics_improve	owner	3k_main_faction_zhang_chao
ironic_zhang_chao_politics_reduce	owner	3k_main_faction_zhang_chao
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_1	owner	3k_main_faction_zhang_chao
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_2	owner	3k_main_faction_zhang_chao
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_3	owner	3k_main_faction_zhang_chao
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_4	owner	3k_main_faction_zhang_chao
3k_district_market_school_1_zhang_chao	owner	3k_main_faction_zhang_chao
3k_district_market_school_2_zhang_chao	owner	3k_main_faction_zhang_chao
3k_district_market_school_3_zhang_chao	owner	3k_main_faction_zhang_chao
3k_district_market_school_4_zhang_chao	owner	3k_main_faction_zhang_chao
3k_district_market_school_5_zhang_chao	owner	3k_main_faction_zhang_chao
