member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/barbarianpeaceresource			
ironic_xiongnu_rage_level_0	9	0	value
ironic_xiongnu_rage_level_1	19	10	value
ironic_xiongnu_rage_level_2	29	20	value
ironic_xiongnu_rage_level_3	49	30	value
ironic_xiongnu_rage_level_4	69	50	value
ironic_xiongnu_rage_level_5	89	70	value
ironic_xiongnu_rage_level_6	100	90	value
ironic_wuhuan_rage_level_0	9	0	value
ironic_wuhuan_rage_level_1	19	10	value
ironic_wuhuan_rage_level_2	29	20	value
ironic_wuhuan_rage_level_3	49	30	value
ironic_wuhuan_rage_level_4	69	50	value
ironic_wuhuan_rage_level_5	89	70	value
ironic_wuhuan_rage_level_6	100	90	value
ironic_di_rage_level_0	9	0	value
ironic_di_rage_level_1	19	10	value
ironic_di_rage_level_2	29	20	value
ironic_di_rage_level_3	49	30	value
ironic_di_rage_level_4	69	50	value
ironic_di_rage_level_5	89	70	value
ironic_di_rage_level_6	100	90	value
ironic_xianbei_kuitou_rage_level_0	9	0	value
ironic_xianbei_kuitou_rage_level_1	19	10	value
ironic_xianbei_kuitou_rage_level_2	29	20	value
ironic_xianbei_kuitou_rage_level_3	49	30	value
ironic_xianbei_kuitou_rage_level_4	69	50	value
ironic_xianbei_kuitou_rage_level_5	89	70	value
ironic_xianbei_kuitou_rage_level_6	100	90	value
ironic_xianbei_tuoba_rage_level_0	9	0	value
ironic_xianbei_tuoba_rage_level_1	19	10	value
ironic_xianbei_tuoba_rage_level_2	29	20	value
ironic_xianbei_tuoba_rage_level_3	49	30	value
ironic_xianbei_tuoba_rage_level_4	69	50	value
ironic_xianbei_tuoba_rage_level_5	89	70	value
ironic_xianbei_tuoba_rage_level_6	100	90	value
