member	player_game_difficulty_type
#campaign_group_member_criteria_player_game_difficulty_types_tables;0;db/campaign_group_member_criteria_player_game_difficulty_types_tables/data__	
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_yellow_turban_ai_group_war	AI_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_yellow_turban_ai_war	AI_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_yellow_turban_human_group_war	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_yellow_turban_human_war	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_yellow_turban_ai_group_war	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_yellow_turban_ai_war	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_yellow_turban_human_group_war	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_yellow_turban_human_war	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_easy_ai_yellow_turban	AI_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_easy_yellow_turban	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_normal_ai_yellow_turban	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_normal_yellow_turban	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_easy_ai_yellow_turban	AI_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_easy_yellow_turban	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_normal_ai_yellow_turban	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_normal_yellow_turban	HUMAN_IN_NORMAL_GAME
