member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/data__	
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_0	3k_dlc04_pooled_resource_bureaucrats_influence
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_1	3k_dlc04_pooled_resource_bureaucrats_influence
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_2	3k_dlc04_pooled_resource_bureaucrats_influence
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_3	3k_dlc04_pooled_resource_bureaucrats_influence
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_4	3k_dlc04_pooled_resource_bureaucrats_influence
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_5	3k_dlc04_pooled_resource_bureaucrats_influence
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_0	3k_dlc04_pooled_resource_displaced_population
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_1	3k_dlc04_pooled_resource_displaced_population
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_2	3k_dlc04_pooled_resource_displaced_population
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_3	3k_dlc04_pooled_resource_displaced_population
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_4	3k_dlc04_pooled_resource_displaced_population
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_5	3k_dlc04_pooled_resource_displaced_population
3k_dlc04_campaign_group_member_pooled_resource_domain_level_1	3k_dlc04_pooled_resource_liu_biao_domain
3k_dlc04_campaign_group_member_pooled_resource_domain_level_2	3k_dlc04_pooled_resource_liu_biao_domain
3k_dlc04_campaign_group_member_pooled_resource_domain_level_3	3k_dlc04_pooled_resource_liu_biao_domain
3k_dlc04_campaign_group_member_pooled_resource_domain_level_4	3k_dlc04_pooled_resource_liu_biao_domain
3k_dlc04_campaign_group_member_pooled_resource_domain_level_5	3k_dlc04_pooled_resource_liu_biao_domain
3k_dlc04_campaign_group_member_pooled_resource_domain_level_6	3k_dlc04_pooled_resource_liu_biao_domain
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_0	3k_dlc04_pooled_resource_dynasty_influence
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_1	3k_dlc04_pooled_resource_dynasty_influence
