id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/bandit_barbarians		
3k_dlc05_campaign_group_member_faction_pooled_resource_mercenary_activity_battles_yang_feng	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_dlc05_campaign_group_member_faction_pooled_resource_mercenary_activity_battles_gan_ning	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_gan_ning	3k_main_group_settlement_actions_gift_to_mercenary_master_major	6.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_gan_ning	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	6.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_yang_feng	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_yang_feng	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_faction_bandit_public_order_effects_xianbei_kuitou	3k_dlc05_campaign_group_faction_bandit_public_order_effects	0.0000
3k_main_campaign_group_campaign_features_governors_enabled_xianbei_kuitou	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_can_spy_factions_xianbei_kuitou	3k_main_campaign_group_can_spy_factions	0.0000
3k_main_campaign_group_faction_bandits_xianbei_kuitou	3k_main_campaign_group_faction_bandits	0.0000
3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat_xianbei_kuitou	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	0.0000
3k_main_campaign_group_world_leaders_can_proclaim_seat_xianbei_kuitou	3k_main_campaign_group_world_leaders_can_proclaim_seat	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_xianbei_kuitou	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_xianbei_kuitou	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles_xianbei_kuitou	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_kuitou	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_kuitou_separatists	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_faction_bandit_public_order_effects_xianbei_tuoba	3k_dlc05_campaign_group_faction_bandit_public_order_effects	0.0000
3k_main_campaign_group_campaign_features_governors_enabled_xianbei_tuoba	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_can_spy_factions_xianbei_tuoba	3k_main_campaign_group_can_spy_factions	0.0000
3k_main_campaign_group_faction_bandits_xianbei_tuoba	3k_main_campaign_group_faction_bandits	0.0000
3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat_xianbei_tuoba	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	0.0000
3k_main_campaign_group_world_leaders_can_proclaim_seat_xianbei_tuoba	3k_main_campaign_group_world_leaders_can_proclaim_seat	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_xianbei_tuoba	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_xianbei_tuoba	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles_xianbei_tuoba	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_tuoba	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_tuoba_separatists	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_faction_bandit_public_order_effects_di_tribes	3k_dlc05_campaign_group_faction_bandit_public_order_effects	0.0000
3k_main_campaign_group_campaign_features_governors_enabled_di_tribes	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_can_spy_factions_di_tribes	3k_main_campaign_group_can_spy_factions	0.0000
3k_main_campaign_group_faction_bandits_di_tribes	3k_main_campaign_group_faction_bandits	0.0000
3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat_di_tribes	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	0.0000
3k_main_campaign_group_world_leaders_can_proclaim_seat_di_tribes	3k_main_campaign_group_world_leaders_can_proclaim_seat	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_di_tribes	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_di_tribes	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles_di_tribes	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_di_tribes	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_di_tribes_separatists	3k_main_campaign_group_governor_independence_trigger_default	0.0000
ironic_xiongnu_rage_level_0	ironic_barbarian_rage_level_0	0.0000
ironic_xiongnu_rage_level_1	ironic_barbarian_rage_level_1	1.0000
ironic_xiongnu_rage_level_2	ironic_barbarian_rage_level_2	2.0000
ironic_xiongnu_rage_level_3	ironic_barbarian_rage_level_3	3.0000
ironic_xiongnu_rage_level_4	ironic_barbarian_rage_level_4	4.0000
ironic_xiongnu_rage_level_5	ironic_barbarian_rage_level_5	5.0000
ironic_xiongnu_rage_level_6	ironic_barbarian_rage_level_6	6.0000
ironic_xiongnu_rage_resource_207	ironic_barbarian_rage_resource_207	0.0000
ironic_xiongnu_rage_crushing_defeat	ironic_barbarian_rage_defeat	0.0000
ironic_xiongnu_rage_valiant_defeat	ironic_barbarian_rage_defeat	0.0000
ironic_xiongnu_rage_close_defeat	ironic_barbarian_rage_defeat	0.0000
ironic_xiongnu_rage_decisive_defeat	ironic_barbarian_rage_defeat	0.0000
ironic_xiongnu_rage_barbarian_post_battle	ironic_barbarian_rage_barbarian_post_battle	1.0000
ironic_wuhuan_rage_level_0	ironic_barbarian_rage_level_0	0.0000
ironic_wuhuan_rage_level_1	ironic_barbarian_rage_level_1	1.0000
ironic_wuhuan_rage_level_2	ironic_barbarian_rage_level_2	2.0000
ironic_wuhuan_rage_level_3	ironic_barbarian_rage_level_3	3.0000
ironic_wuhuan_rage_level_4	ironic_barbarian_rage_level_4	4.0000
ironic_wuhuan_rage_level_5	ironic_barbarian_rage_level_5	5.0000
ironic_wuhuan_rage_level_6	ironic_barbarian_rage_level_6	6.0000
ironic_wuhuan_rage_resource_207	ironic_barbarian_rage_resource_207	0.0000
ironic_wuhuan_rage_crushing_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_wuhuan_rage_valiant_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_wuhuan_rage_close_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_wuhuan_rage_decisive_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xiongnu_rage_close_victory	ironic_barbarian_rage_victory	2.0000
ironic_xiongnu_rage_heroic_victory	ironic_barbarian_rage_victory	2.0000
ironic_xiongnu_rage_pyrrhic_victory	ironic_barbarian_rage_victory	2.0000
ironic_xiongnu_rage_decisive_victory	ironic_barbarian_rage_victory	2.0000
ironic_wuhuan_rage_close_victory	ironic_barbarian_rage_victory	2.0000
ironic_wuhuan_rage_heroic_victory	ironic_barbarian_rage_victory	2.0000
ironic_wuhuan_rage_pyrrhic_victory	ironic_barbarian_rage_victory	2.0000
ironic_wuhuan_rage_decisive_victory	ironic_barbarian_rage_victory	2.0000
ironic_di_rage_level_0	ironic_barbarian_rage_level_0	0.0000
ironic_di_rage_level_1	ironic_barbarian_rage_level_1	1.0000
ironic_di_rage_level_2	ironic_barbarian_rage_level_2	2.0000
ironic_di_rage_level_3	ironic_barbarian_rage_level_3	3.0000
ironic_di_rage_level_4	ironic_barbarian_rage_level_4	4.0000
ironic_di_rage_level_5	ironic_barbarian_rage_level_5	5.0000
ironic_di_rage_level_6	ironic_barbarian_rage_level_6	6.0000
ironic_di_rage_resource_207	ironic_barbarian_rage_resource_207	0.0000
ironic_di_rage_crushing_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_di_rage_valiant_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_di_rage_close_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_di_rage_decisive_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_di_rage_close_victory	ironic_barbarian_rage_victory	2.0000
ironic_di_rage_heroic_victory	ironic_barbarian_rage_victory	2.0000
ironic_di_rage_pyrrhic_victory	ironic_barbarian_rage_victory	2.0000
ironic_di_rage_decisive_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_kuitou_rage_level_0	ironic_barbarian_rage_level_0	0.0000
ironic_xianbei_kuitou_rage_level_1	ironic_barbarian_rage_level_1	1.0000
ironic_xianbei_kuitou_rage_level_2	ironic_barbarian_rage_level_2	2.0000
ironic_xianbei_kuitou_rage_level_3	ironic_barbarian_rage_level_3	3.0000
ironic_xianbei_kuitou_rage_level_4	ironic_barbarian_rage_level_4	4.0000
ironic_xianbei_kuitou_rage_level_5	ironic_barbarian_rage_level_5	5.0000
ironic_xianbei_kuitou_rage_level_6	ironic_barbarian_rage_level_6	6.0000
ironic_xianbei_kuitou_rage_resource_207	ironic_barbarian_rage_resource_207	0.0000
ironic_xianbei_kuitou_rage_crushing_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_kuitou_rage_valiant_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_kuitou_rage_close_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_kuitou_rage_decisive_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_kuitou_rage_close_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_kuitou_rage_heroic_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_kuitou_rage_pyrrhic_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_kuitou_rage_decisive_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_tuoba_rage_level_0	ironic_barbarian_rage_level_0	0.0000
ironic_xianbei_tuoba_rage_level_1	ironic_barbarian_rage_level_1	1.0000
ironic_xianbei_tuoba_rage_level_2	ironic_barbarian_rage_level_2	2.0000
ironic_xianbei_tuoba_rage_level_3	ironic_barbarian_rage_level_3	3.0000
ironic_xianbei_tuoba_rage_level_4	ironic_barbarian_rage_level_4	4.0000
ironic_xianbei_tuoba_rage_level_5	ironic_barbarian_rage_level_5	5.0000
ironic_xianbei_tuoba_rage_level_6	ironic_barbarian_rage_level_6	6.0000
ironic_xianbei_tuoba_rage_resource_207	ironic_barbarian_rage_resource_207	0.0000
ironic_xianbei_tuoba_rage_crushing_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_tuoba_rage_valiant_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_tuoba_rage_close_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_tuoba_rage_decisive_defeat	ironic_barbarian_rage_defeat	2.0000
ironic_xianbei_tuoba_rage_close_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_tuoba_rage_heroic_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_tuoba_rage_pyrrhic_victory	ironic_barbarian_rage_victory	2.0000
ironic_xianbei_tuoba_rage_decisive_victory	ironic_barbarian_rage_victory	2.0000
ironic_mercenary_retinue_tribal_units_di	ironic_mercenary_retinue_tribal_units	1.0000
ironic_mercenary_retinue_tribal_units_kuitou	ironic_mercenary_retinue_tribal_units	1.0000
ironic_mercenary_retinue_tribal_units_tuoba	ironic_mercenary_retinue_tribal_units	1.0000
ironic_mercenary_retinue_tribal_units_wuhuan	ironic_mercenary_retinue_tribal_units	1.0000
ironic_mercenary_retinue_tribal_units_xiongnu	ironic_mercenary_retinue_tribal_units	1.0000
3k_dlc05_campaign_group_member_faction_pooled_resource_mercenary_activity_battles_zu_lang	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_zu_lang	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_zu_lang	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_member_faction_pooled_resource_mercenary_activity_battles_you_tu	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_you_tu	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_you_tu	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_member_faction_pooled_resource_mercenary_activity_battles_pan_lin	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_pan_lin	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_pan_lin	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
3k_dlc05_campaign_group_member_faction_pooled_resource_mercenary_activity_battles_fei_zhan	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_fei_zhan	3k_main_group_settlement_actions_gift_to_mercenary_master_major	5.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_fei_zhan	3k_main_group_settlement_actions_gift_to_mercenary_master_minor	5.0000
