id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/data__		
3k_campaign_group_game_mode_historical	3k_campaign_group_game_mode_historical	0.0000
3k_campaign_group_post_battle_loot_chance_close_victory	3k_campaign_group_post_battle_loot_chance_close_victory	0.0000
3k_campaign_group_post_battle_loot_chance_decisive_victory	3k_campaign_group_post_battle_loot_chance_decisive_victory	0.0000
3k_campaign_group_post_battle_loot_chance_heroic_victory	3k_campaign_group_post_battle_loot_chance_heroic_victory	0.0000
3k_campaign_group_post_battle_loot_chance_pyrrhic_victory	3k_campaign_group_post_battle_loot_chance_pyrrhic_victory	0.0000
3k_campaign_group_post_battle_loot_chance_standard	3k_campaign_group_post_battle_loot_chance_standard	0.0000
3k_campaign_group_subtype_earth	3k_campaign_group_subtype_earth	0.0000
3k_campaign_group_subtype_fire	3k_campaign_group_subtype_fire	0.0000
3k_campaign_group_subtype_metal	3k_campaign_group_subtype_metal	0.0000
3k_campaign_group_subtype_metal_yellow_turban	3k_campaign_group_subtype_metal_yellow_turban	1.0000
3k_campaign_group_subtype_nanman	3k_campaign_group_subtype_nanman	0.0000
3k_campaign_group_subtype_water	3k_campaign_group_subtype_water	0.0000
3k_campaign_group_subtype_water_yellow_turban	3k_campaign_group_subtype_water_yellow_turban	1.0000
3k_campaign_group_subtype_wood	3k_campaign_group_subtype_wood	0.0000
3k_campaign_group_subtype_wood_yellow_turban	3k_campaign_group_subtype_wood_yellow_turban	1.0000
3k_captive_option_enslave_cult_chinese	3k_main_captive_option_enslave_cult_all	0.0000
3k_captive_option_kill_cult_chinese	3k_main_captive_option_kill_cult_all	0.0000
3k_captive_option_release_cult_chinese	3k_main_captive_option_release_cult_all	0.0000
3k_dlc04_campaign_group_can_recruit_while_regionless	3k_dlc04_campaign_group_can_recruit_while_regionless	0.0000
3k_dlc04_campaign_group_character_generation_children_cao_cao_mengde_earth	3k_dlc04_campaign_group_character_generation_children_cao_cao_mengde_earth	0.0000
3k_dlc04_campaign_group_character_generation_children_dong_he_youzai_water	3k_dlc04_campaign_group_character_generation_children_dong_he_youzai_water	0.0000
3k_dlc04_campaign_group_character_generation_children_jin_xuan_yuanji_water	3k_dlc04_campaign_group_character_generation_children_jin_xuan_yuanji_water	0.0000
3k_dlc04_campaign_group_character_generation_children_ju_jun_jicai_water	3k_dlc04_campaign_group_character_generation_children_ju_jun_jicai_water	0.0000
3k_dlc04_campaign_group_character_generation_children_liu_biao_jingsheng_water	3k_dlc04_campaign_group_character_generation_children_liu_biao_jingsheng_water	0.0000
3k_dlc04_campaign_group_character_generation_children_liu_chong_fire	3k_dlc04_campaign_group_character_generation_children_liu_chong_fire	0.0000
3k_dlc04_campaign_group_character_generation_children_lu_kang_jining_water	3k_dlc04_campaign_group_character_generation_children_lu_kang_jining_water	0.0000
3k_dlc04_campaign_group_character_generation_children_lu_zhi_zigan_water	3k_dlc04_campaign_group_character_generation_children_lu_zhi_zigan_water	0.0000
3k_dlc04_campaign_group_character_generation_children_luo_jun_xiaoyuan_fire	3k_dlc04_campaign_group_character_generation_children_luo_jun_xiaoyuan_fire	0.0000
3k_dlc04_campaign_group_character_generation_children_sun_jian_wentai_fire	3k_dlc04_campaign_group_character_generation_children_sun_jian_wentai_fire	0.0000
3k_dlc04_campaign_group_character_generation_children_ying_xun_jiyu_water	3k_dlc04_campaign_group_character_generation_children_ying_xun_jiyu_water	0.0000
3k_dlc04_campaign_group_character_generation_han_chinese_general_earth	3k_dlc04_campaign_group_character_generation_han_chinese_general_earth	0.0000
3k_dlc04_campaign_group_character_generation_han_chinese_general_fire	3k_dlc04_campaign_group_character_generation_han_chinese_general_fire	0.0000
3k_dlc04_campaign_group_character_generation_han_chinese_general_metal	3k_dlc04_campaign_group_character_generation_han_chinese_general_metal	0.0000
3k_dlc04_campaign_group_character_generation_han_chinese_general_water	3k_dlc04_campaign_group_character_generation_han_chinese_general_water	0.0000
3k_dlc04_campaign_group_character_generation_han_chinese_general_wood	3k_dlc04_campaign_group_character_generation_han_chinese_general_wood	0.0000
3k_dlc04_campaign_group_character_generation_yellow_turban_general_metal	3k_dlc04_campaign_group_character_generation_yellow_turban_general_metal	0.0000
3k_dlc04_campaign_group_character_generation_yellow_turban_general_water	3k_dlc04_campaign_group_character_generation_yellow_turban_general_water	0.0000
3k_dlc04_campaign_group_character_generation_yellow_turban_general_wood	3k_dlc04_campaign_group_character_generation_yellow_turban_general_wood	0.0000
3k_dlc04_campaign_group_cosmetic_tag_faction_name_dlc04_rebels	3k_dlc04_campaign_group_cosmetic_tag_faction_name_dlc04_rebels	3.0000
3k_dlc04_campaign_group_faction_effect_bundle_empress_he	3k_dlc04_campaign_group_faction_effect_bundle_empress_he	0.0000
3k_dlc04_campaign_group_faction_effect_bundle_liang_rebellion	3k_dlc04_campaign_group_faction_effect_bundle_liang_rebellion	0.0000
3k_dlc04_campaign_group_faction_effect_bundle_rebels	3k_dlc04_campaign_group_faction_effect_bundle_rebels	0.0000
3k_dlc04_campaign_group_member_building_garrisons_city_10_han_chinese	3k_main_campaign_group_building_garrisons_city_10	0.0000
3k_dlc04_campaign_group_member_building_garrisons_city_10_yellow_turban	3k_yellow_turban_campaign_group_building_garrisons_city_10	0.0000
3k_dlc04_campaign_group_member_building_garrisons_city_1_han_chinese	3k_main_campaign_group_building_garrisons_city_1	0.0000
