id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ganningresource		
ironic_gan_ning_robin_hood_level_0	ironic_robin_hood_level_0	0.0000
ironic_gan_ning_robin_hood_level_1	ironic_robin_hood_level_1	1.0000
ironic_gan_ning_robin_hood_level_2	ironic_robin_hood_level_2	2.0000
ironic_gan_ning_robin_hood_level_3	ironic_robin_hood_level_3	3.0000
ironic_gan_ning_robin_hood_level_4	ironic_robin_hood_level_4	4.0000
ironic_gan_ning_robin_hood_resource_207	ironic_robin_hood_resource_207	0.0000
ironic_gan_ning_robin_hood_crushing_defeat	ironic_robin_hood_defeat	0.0000
ironic_gan_ning_robin_hood_valiant_defeat	ironic_robin_hood_defeat	0.0000
ironic_gan_ning_robin_hood_close_defeat	ironic_robin_hood_defeat	0.0000
ironic_gan_ning_robin_hood_decisive_defeat	ironic_robin_hood_defeat	0.0000
ironic_gan_ning_robin_hood_barbarian_post_battle	ironic_robin_hood_barbarian_post_battle	0.0000
ironic_robin_hood_victory_pyrrhic_victory	ironic_robin_hood_victory	0.0000
ironic_robin_hood_victory_heroic_victory	ironic_robin_hood_victory	0.0000
ironic_robin_hood_victory_close_victory	ironic_robin_hood_victory	0.0000
ironic_robin_hood_victory_decisive_victory	ironic_robin_hood_victory	0.0000
3k_main_group_settlement_actions_default_minor_gan_ning	3k_main_group_settlement_actions_default_minor_gan_ning	6.0000
3k_main_group_settlement_actions_default_major_gan_ning	3k_main_group_settlement_actions_default_major_gan_ning	6.0000
