id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/gongsundu_resource		
ironic_gongsun_du_liaodong_korea_relations_level_0	ironic_liaodong_korea_relations_level_0	0.0000
ironic_gongsun_du_liaodong_korea_relations_level_1	ironic_liaodong_korea_relations_level_1	1.0000
ironic_gongsun_du_liaodong_korea_relations_level_2	ironic_liaodong_korea_relations_level_2	2.0000
ironic_gongsun_du_liaodong_korea_relations_level_3	ironic_liaodong_korea_relations_level_3	3.0000
ironic_gongsun_du_liaodong_korea_relations_level_4	ironic_liaodong_korea_relations_level_4	4.0000
ironic_gongsun_du_liaodong_korea_relations_resource_207	ironic_liaodong_korea_relations_resource_207	0.0000
ironic_gongsun_du_liaodong_han_relations_level_0	ironic_liaodong_han_relations_level_0	0.0000
ironic_gongsun_du_liaodong_han_relations_level_1	ironic_liaodong_han_relations_level_1	1.0000
ironic_gongsun_du_liaodong_han_relations_level_2	ironic_liaodong_han_relations_level_2	2.0000
ironic_gongsun_du_liaodong_han_relations_level_3	ironic_liaodong_han_relations_level_3	3.0000
ironic_gongsun_du_liaodong_han_relations_level_4	ironic_liaodong_han_relations_level_4	4.0000
ironic_gongsun_du_liaodong_han_relations_resource_207	ironic_liaodong_han_relations_resource_207	0.0000
ironic_gongsun_du_politics_improve	ironic_gongsun_du_politics_improve	1.0000
ironic_gongsun_du_politics_reduce	ironic_gongsun_du_politics_reduce	2.0000
3k_district_government_administration_1_gongsun_du	3k_district_government_administration_1_gongsun_du	0.0000
3k_district_government_administration_2_gongsun_du	3k_district_government_administration_2_gongsun_du	0.0000
3k_district_government_administration_3_gongsun_du	3k_district_government_administration_3_gongsun_du	0.0000
3k_district_government_administration_4_gongsun_du	3k_district_government_administration_4_gongsun_du	0.0000
3k_district_government_administration_5_gongsun_du	3k_district_government_administration_5_gongsun_du	0.0000
3k_district_government_law_3_gongsun_du	3k_district_government_law_3_gongsun_du	0.0000
3k_district_government_law_4_gongsun_du	3k_district_government_law_4_gongsun_du	0.0000
3k_district_government_law_5_gongsun_du	3k_district_government_law_5_gongsun_du	0.0000
3k_district_government_law_jade_5_gongsun_du	3k_district_government_law_jade_5_gongsun_du	0.0000
