id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/han_annex		
3k_main_group_settlement_actions_integrate_major_liu_yu	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_yu	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
3k_main_group_settlement_actions_integrate_major_liu_yao	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_yao	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
3k_main_group_settlement_actions_integrate_major_liu_pan	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_pan	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
3k_main_group_settlement_actions_integrate_major_liu_biao	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_biao	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
3k_main_group_settlement_actions_integrate_major_liu_dai	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_dai	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
3k_main_group_settlement_actions_integrate_major_liu_yan	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_yan	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
3k_main_group_settlement_actions_integrate_major_liu_chong	3k_main_group_settlement_actions_integrate_major_generic	4.0000
3k_main_group_settlement_actions_integrate_minor_liu_chong	3k_main_group_settlement_actions_integrate_minor_generic	4.0000
