id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/handanresource		
ironic_handan_clan_firmness_level_0	ironic_firmness_level_0	0.0000
ironic_handan_clan_firmness_level_1	ironic_firmness_level_1	1.0000
ironic_handan_clan_firmness_level_2	ironic_firmness_level_2	2.0000
ironic_handan_clan_firmness_level_3	ironic_firmness_level_3	3.0000
ironic_handan_clan_firmness_level_4	ironic_firmness_level_4	4.0000
ironic_handan_clan_firmness_resource_207	ironic_firmness_resource_207	0.0000
ironic_handan_clan_politics_improve	ironic_handan_clan_politics_improve	1.0000
ironic_handan_clan_politics_reduce	ironic_handan_clan_politics_reduce	2.0000
3k_main_campaign_group_member_military_force_effect_allied_alliance_member_handan_clan	3k_main_campaign_group_military_force_effect_allied_handan_clan	20.0000
3k_main_campaign_group_member_military_force_effect_allied_coalition_member_handan_clan	3k_main_campaign_group_military_force_effect_allied_handan_clan	20.0000
3k_main_campaign_group_member_military_force_effect_empire_alliance_member_handan_clan	3k_main_campaign_group_military_force_effect_allied_handan_clan	20.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_handan_clan_ai_group_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_easy_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_handan_clan_ai_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_easy_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_handan_clan_human_group_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_easy_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_easy_handan_clan_human_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_easy_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_handan_clan_group_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_handan_clan	20.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_handan_clan_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_handan_clan	20.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_handan_clan_ai_group_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_normal_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_handan_clan_ai_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_normal_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_handan_clan_human_group_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_normal_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_hostile_force_in_own_territory_normal_handan_clan_human_war	3k_main_campaign_group_military_force_effect_hostile_force_in_own_territory_normal_handan_clan	21.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_easy_ai_handan_clan	3k_main_campaign_group_military_force_effect_not_own_easy_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_easy_handan_clan	3k_main_campaign_group_military_force_effect_not_own_easy_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_handan_clan	3k_main_campaign_group_military_force_effect_not_own_handan_clan	14.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_normal_ai_handan_clan	3k_main_campaign_group_military_force_effect_not_own_normal_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_with_treaties_normal_handan_clan	3k_main_campaign_group_military_force_effect_not_own_normal_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_easy_ai_handan_clan	3k_main_campaign_group_military_force_effect_not_own_easy_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_easy_handan_clan	3k_main_campaign_group_military_force_effect_not_own_easy_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_handan_clan	3k_main_campaign_group_military_force_effect_not_own_handan_clan	14.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_normal_ai_handan_clan	3k_main_campaign_group_military_force_effect_not_own_normal_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_not_own_neutral_without_treaties_normal_handan_clan	3k_main_campaign_group_military_force_effect_not_own_normal_handan_clan	15.0000
3k_main_campaign_group_member_military_force_effect_own_self_handan_clan	3k_main_campaign_group_military_force_effect_own_handan_clan	16.0000
3k_main_campaign_group_member_military_force_effect_own_vassal_handan_clan	3k_main_campaign_group_military_force_effect_allied_handan_clan	20.0000
ironic_firmness_crushing_defeat	ironic_firmness_crushing_defeat	0.0000
ironic_firmness_valiant_defeat	ironic_firmness_valiant_defeat	0.0000
ironic_firmness_close_defeat	ironic_firmness_close_defeat	0.0000
ironic_firmness_decisive_defeat	ironic_firmness_decisive_defeat	0.0000
ironic_firmness_victory_pyrrhic_victory	ironic_firmness_victory_pyrrhic_victory	0.0000
ironic_firmness_victory_heroic_victory	ironic_firmness_victory_heroic_victory	0.0000
ironic_firmness_victory_close_victory	ironic_firmness_victory_close_victory	0.0000
ironic_firmness_victory_decisive_victory	ironic_firmness_victory_decisive_victory	0.0000
