id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/huangzuresource		
ironic_huang_zu_prime_ambush_resource_207	ironic_huang_zu_prime_ambush_resource_207	0.0000
ironic_huang_zu_prime_ambush_level_0	ironic_huang_zu_prime_ambush_level_0	0.0000
ironic_huang_zu_prime_ambush_level_1	ironic_huang_zu_prime_ambush_level_1	0.0000
ironic_huang_zu_prime_ambush_level_2	ironic_huang_zu_prime_ambush_level_2	0.0000
ironic_huang_zu_prime_ambush_level_3	ironic_huang_zu_prime_ambush_level_3	0.0000
ironic_huang_zu_prime_ambush_level_4	ironic_huang_zu_prime_ambush_level_4	0.0000
ironic_huang_zu_prime_ambush_level_5	ironic_huang_zu_prime_ambush_level_5	0.0000
ironic_campaign_group_member_post_battle_effects_close_defeat_huang_zu	ironic_campaign_group_post_battle_effects_defeat_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_close_victory_huang_zu	ironic_campaign_group_post_battle_effects_victory_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_crushing_defeat_huang_zu	ironic_campaign_group_post_battle_effects_defeat_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_decisive_defeat_huang_zu	ironic_campaign_group_post_battle_effects_defeat_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_decisive_victory_huang_zu	ironic_campaign_group_post_battle_effects_victory_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_heroic_victory_huang_zu	ironic_campaign_group_post_battle_effects_victory_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_pyrrhic_victory_huang_zu	ironic_campaign_group_post_battle_effects_victory_huang_zu	0.0000
ironic_campaign_group_member_post_battle_effects_valiant_defeat_huang_zu	ironic_campaign_group_post_battle_effects_defeat_huang_zu	0.0000
3k_main_campaign_group_campaign_feature_ambush_in_default_huang_zu	3k_main_campaign_group_campaign_feature_ambush_in_default_zhang_yan	0.0000
