id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ironic_korea_salary		
ironic_campaign_group_member_character_salary_korea_prime_minister	3k_main_campaign_group_character_salary_default_minister	4.0000
ironic_campaign_group_member_character_salary_korea_general_in_chief	3k_main_campaign_group_character_salary_default_minister	4.0000
ironic_campaign_group_member_character_salary_korea_grand_tutor	3k_main_campaign_group_character_salary_default_minister	4.0000
ironic_campaign_group_member_character_salary_korea_minister_of_finance	3k_main_campaign_group_character_salary_default_minister	4.0000
ironic_campaign_group_member_character_salary_korea_minister_of_the_imperial_clan	3k_main_campaign_group_character_salary_default_minister	4.0000
ironic_campaign_group_member_character_salary_korea_grand_commandant	ironic_campaign_group_character_salary_korea_court_mid	4.0000
ironic_campaign_group_member_character_salary_korea_grand_excellency_of_works	ironic_campaign_group_character_salary_korea_court_mid	4.0000
ironic_campaign_group_member_character_salary_korea_grand_excellency_over_the_masses	ironic_campaign_group_character_salary_korea_court_mid	4.0000
ironic_campaign_group_member_character_salary_korea_minister_of_ceremonies	ironic_campaign_group_character_salary_korea_court_mid	4.0000
ironic_campaign_group_member_character_salary_korea_minister_of_the_guards	ironic_campaign_group_character_salary_korea_court_mid	4.0000
ironic_campaign_group_member_character_salary_korea_minister_coachman	3k_main_campaign_group_character_salary_default_court_noble	4.0000
ironic_campaign_group_member_character_salary_korea_minister_herald	3k_main_campaign_group_character_salary_default_court_noble	4.0000
ironic_campaign_group_member_character_salary_korea_minister_of_justice	3k_main_campaign_group_character_salary_default_court_noble	4.0000
ironic_campaign_group_member_character_salary_korea_minister_of_the_imperial_household	3k_main_campaign_group_character_salary_default_court_noble	4.0000
ironic_campaign_group_member_character_salary_korea_minister_steward	3k_main_campaign_group_character_salary_default_court_noble	4.0000
ironic_campaign_group_member_character_salary_korea_family_prime_minister	3k_main_campaign_group_character_salary_default_minister_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_general_in_chief	3k_main_campaign_group_character_salary_default_minister_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_grand_tutor	3k_main_campaign_group_character_salary_default_minister_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_of_finance	3k_main_campaign_group_character_salary_default_minister_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_of_the_imperial_clan	3k_main_campaign_group_character_salary_default_minister_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_grand_commandant	ironic_campaign_group_character_salary_korea_court_mid_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_grand_excellency_of_works	ironic_campaign_group_character_salary_korea_court_mid_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_grand_excellency_over_the_masses	ironic_campaign_group_character_salary_korea_court_mid_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_of_ceremonies	ironic_campaign_group_character_salary_korea_court_mid_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_of_the_guards	ironic_campaign_group_character_salary_korea_court_mid_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_coachman	3k_main_campaign_group_character_salary_default_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_herald	3k_main_campaign_group_character_salary_default_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_of_justice	3k_main_campaign_group_character_salary_default_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_of_the_imperial_household	3k_main_campaign_group_character_salary_default_family_member	4.0000
ironic_campaign_group_member_character_salary_korea_family_minister_steward	3k_main_campaign_group_character_salary_default_family_member	4.0000
