id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ironic_liu_pan_raider		
ironic_liu_pan_ferocity_resource_190	ironic_liu_pan_ferocity_resource_190	0.0000
ironic_liu_pan_uncle_favour_resource_190	ironic_liu_pan_uncle_favour_resource_190	0.0000
ironic_liu_pan_ferocity_level_0	ironic_liu_pan_ferocity_level_0	0.0000
ironic_liu_pan_ferocity_level_1	ironic_liu_pan_ferocity_level_1	0.0000
ironic_liu_pan_ferocity_level_2	ironic_liu_pan_ferocity_level_2	0.0000
ironic_liu_pan_ferocity_level_3	ironic_liu_pan_ferocity_level_3	0.0000
ironic_liu_pan_ferocity_level_4	ironic_liu_pan_ferocity_level_4	0.0000
ironic_liu_pan_ferocity_level_5	ironic_liu_pan_ferocity_level_5	0.0000
ironic_liu_pan_uncle_favour_level_0	ironic_liu_pan_uncle_favour_level_0	0.0000
ironic_liu_pan_uncle_favour_level_1	ironic_liu_pan_uncle_favour_level_1	0.0000
ironic_liu_pan_uncle_favour_level_2	ironic_liu_pan_uncle_favour_level_2	0.0000
ironic_liu_pan_uncle_favour_level_3	ironic_liu_pan_uncle_favour_level_3	0.0000
ironic_liu_pan_uncle_favour_level_4	ironic_liu_pan_uncle_favour_level_4	0.0000
ironic_liu_pan_pb_decisive_victory_attack_big	ironic_liu_pan_post_battle_attack_big	0.0000
ironic_liu_pan_pb_heroic_victory_attack_big	ironic_liu_pan_post_battle_attack_big	0.0000
ironic_liu_pan_pb_close_victory_attack_small	ironic_liu_pan_post_battle_attack_small	0.0000
ironic_liu_pan_pb_pyrrhic_victory_attack_small	ironic_liu_pan_post_battle_attack_small	0.0000
ironic_liu_pan_pb_decisive_victory_defence	ironic_liu_pan_post_battle_defence	0.0000
ironic_liu_pan_pb_heroic_victory_defence	ironic_liu_pan_post_battle_defence	0.0000
ironic_liu_pan_pb_close_victory_defence	ironic_liu_pan_post_battle_defence	0.0000
ironic_liu_pan_pb_pyrrhic_victory_defence	ironic_liu_pan_post_battle_defence	0.0000
ironic_liu_pan_pb_close_defeat_defeat	ironic_liu_pan_post_battle_defeat	0.0000
ironic_liu_pan_pb_crushing_defeat_defeat	ironic_liu_pan_post_battle_defeat	0.0000
ironic_liu_pan_pb_decisive_defeat_defeat	ironic_liu_pan_post_battle_defeat	0.0000
ironic_liu_pan_pb_valiant_defeat_defeat	ironic_liu_pan_post_battle_defeat	0.0000
