id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ironic_zhu_hao_ranks		
ironic_campaign_progression_group_zhu_hao_member	ironic_campaign_progression_group_zhu_hao	2.0000
ironic_campaign_progression_group_zhu_hao_ai_easy	ironic_campaign_progression_group_zhu_hao_ai	3.0000
ironic_campaign_progression_group_zhu_hao_ai_normal	ironic_campaign_progression_group_zhu_hao_ai	3.0000
ironic_campaign_progression_group_zhu_hao_ai_hard	ironic_campaign_progression_group_zhu_hao_ai	3.0000
ironic_campaign_progression_group_zhu_hao_ai_very_hard	ironic_campaign_progression_group_zhu_hao_ai	3.0000
ironic_campaign_progression_group_zhu_hao_ai_legendary	ironic_campaign_progression_group_zhu_hao_ai	3.0000
ironic_event_feed_progression_level_zhu_hao_2	ironic_event_feed_progression_level_zhu_hao_2	5.0000
ironic_event_feed_progression_level_zhu_hao_3	ironic_event_feed_progression_level_zhu_hao_3	5.0000
ironic_event_feed_progression_level_zhu_hao_4	ironic_event_feed_progression_level_zhu_hao_4	5.0000
ironic_event_feed_progression_level_zhu_hao_5	ironic_event_feed_progression_level_zhu_hao_5	5.0000
ironic_campaign_group_member_cosmetic_tag_faction_name_zhu_hao_3_rank	ironic_campaign_group_member_cosmetic_tag_faction_name_zhu_hao_3	2.0000
ironic_campaign_group_member_cosmetic_tag_faction_name_zhu_hao_4_rank	ironic_campaign_group_member_cosmetic_tag_faction_name_zhu_hao_4	2.0000
