id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/jurisdictionresource		
ironic_jin_xuan_jurisdiction_level_0	ironic_governor_jurisdiction_level_0	0.0000
ironic_jin_xuan_jurisdiction_level_1	ironic_governor_jurisdiction_level_1	1.0000
ironic_jin_xuan_jurisdiction_level_2	ironic_governor_jurisdiction_level_2	2.0000
ironic_jin_xuan_jurisdiction_level_3	ironic_governor_jurisdiction_level_3	3.0000
ironic_jin_xuan_jurisdiction_level_4	ironic_governor_jurisdiction_level_4	4.0000
ironic_jin_xuan_jurisdiction_level_5	ironic_governor_jurisdiction_level_5	5.0000
ironic_jin_xuan_jurisdiction_level_6	ironic_governor_jurisdiction_level_6	6.0000
ironic_jin_xuan_jurisdiction_resource_207	ironic_governor_jurisdiction_resource_207	0.0000
ironic_jin_xuan_jurisdiction_crushing_defeat	ironic_governor_jurisdiction_defeat	0.0000
ironic_jin_xuan_jurisdiction_valiant_defeat	ironic_governor_jurisdiction_defeat	0.0000
ironic_jin_xuan_jurisdiction_close_defeat	ironic_governor_jurisdiction_defeat	0.0000
ironic_jin_xuan_jurisdiction_decisive_defeat	ironic_governor_jurisdiction_defeat	0.0000
ironic_jin_xuan_jurisdiction_jurisdiction_post_battle	ironic_governor_jurisdiction_jurisdiction_post_battle	0.0000
