id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/liu_yao_resource		
ironic_liu_yao_war_weariness_level_0	ironic_war_weariness_level_0	0.0000
ironic_liu_yao_war_weariness_level_1	ironic_war_weariness_level_1	1.0000
ironic_liu_yao_war_weariness_level_2	ironic_war_weariness_level_2	2.0000
ironic_liu_yao_war_weariness_level_3	ironic_war_weariness_level_3	3.0000
ironic_liu_yao_war_weariness_level_4	ironic_war_weariness_level_4	4.0000
ironic_liu_yao_war_weariness_resource_207	ironic_war_weariness_resource_207	0.0000
ironic_liu_yao_politics_improve	ironic_liu_yao_politics_improve	1.0000
ironic_liu_yao_politics_reduce	ironic_liu_yao_politics_reduce	2.0000
ironic_han_liu_yao_3k_district_artisan_labour_1	ironic_han_liu_yao_3k_district_artisan_labour_1	0.0000
ironic_han_liu_yao_3k_district_artisan_labour_2	ironic_han_liu_yao_3k_district_artisan_labour_2	1.0000
ironic_han_liu_yao_3k_district_artisan_labour_3	ironic_han_liu_yao_3k_district_artisan_labour_3	2.0000
ironic_han_liu_yao_3k_district_artisan_labour_4	ironic_han_liu_yao_3k_district_artisan_labour_4	3.0000
ironic_han_liu_yao_3k_district_artisan_labour_5	ironic_han_liu_yao_3k_district_artisan_labour_5	4.0000
ironic_han_liu_yao_3k_district_artisan_mines_4	ironic_han_liu_yao_3k_district_artisan_mines_4	3.0000
ironic_han_liu_yao_3k_district_artisan_mines_5	ironic_han_liu_yao_3k_district_artisan_mines_5	4.0000
ironic_liu_yao_war_weariness_crushing_defeat	ironic_war_weariness_defeat	0.0000
ironic_liu_yao_war_weariness_valiant_defeat	ironic_war_weariness_defeat	0.0000
ironic_liu_yao_war_weariness_close_defeat	ironic_war_weariness_defeat	0.0000
ironic_liu_yao_war_weariness_decisive_defeat	ironic_war_weariness_defeat	0.0000
ironic_war_weariness_victory_pyrrhic_victory	ironic_war_weariness_victory	0.0000
ironic_war_weariness_victory_heroic_victory	ironic_war_weariness_victory	0.0000
ironic_war_weariness_victory_close_victory	ironic_war_weariness_victory	0.0000
ironic_war_weariness_victory_decisive_victory	ironic_war_weariness_victory	0.0000
ironic_war_weariness_casualities	ironic_war_weariness_casualities	0.0000
