id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/liudairesource		
ironic_liu_dai_siege_warfare_level_0	ironic_siege_warfare_level_0	0.0000
ironic_liu_dai_siege_warfare_level_1	ironic_siege_warfare_level_1	1.0000
ironic_liu_dai_siege_warfare_level_2	ironic_siege_warfare_level_2	2.0000
ironic_liu_dai_siege_warfare_level_3	ironic_siege_warfare_level_3	3.0000
ironic_liu_dai_siege_warfare_level_4	ironic_siege_warfare_level_4	4.0000
ironic_liu_dai_siege_warfare_resource_207	ironic_siege_warfare_resource_207	0.0000
ironic_liu_dai_siege_warfare_crushing_defeat	ironic_siege_warfare_defeat	0.0000
ironic_liu_dai_siege_warfare_valiant_defeat	ironic_siege_warfare_defeat	0.0000
ironic_liu_dai_siege_warfare_close_defeat	ironic_siege_warfare_defeat	0.0000
ironic_liu_dai_siege_warfare_decisive_defeat	ironic_siege_warfare_defeat	0.0000
ironic_siege_warfare_victory_pyrrhic_victory	ironic_siege_warfare_victory	0.0000
ironic_siege_warfare_victory_heroic_victory	ironic_siege_warfare_victory	0.0000
ironic_siege_warfare_victory_close_victory	ironic_siege_warfare_victory	0.0000
ironic_siege_warfare_victory_decisive_victory	ironic_siege_warfare_victory	0.0000
ironic_liu_dai_politics_improve	ironic_liu_dai_politics_improve	1.0000
ironic_liu_dai_politics_reduce	ironic_liu_dai_politics_reduce	2.0000
3k_main_group_settlement_actions_default_major_liu_dai	3k_main_group_settlement_actions_default_major_liu_dai	7.0000
3k_main_group_settlement_actions_default_minor_liu_dai	3k_main_group_settlement_actions_default_minor_liu_dai	7.0000
3k_district_residential_logistics_1_liu_dai	3k_district_residential_logistics_1_liu_dai	0.0000
3k_district_residential_logistics_2_liu_dai	3k_district_residential_logistics_2_liu_dai	0.0000
3k_district_residential_logistics_3_liu_dai	3k_district_residential_logistics_3_liu_dai	0.0000
3k_district_residential_logistics_4_liu_dai	3k_district_residential_logistics_4_liu_dai	0.0000
3k_district_residential_logistics_5_liu_dai	3k_district_residential_logistics_5_liu_dai	0.0000
3k_district_market_school_1_zhang_chao	3k_district_market_school_1_zhang_chao	0.0000
3k_district_market_school_2_zhang_chao	3k_district_market_school_2_zhang_chao	0.0000
3k_district_market_school_3_zhang_chao	3k_district_market_school_3_zhang_chao	0.0000
3k_district_market_school_4_zhang_chao	3k_district_market_school_4_zhang_chao	0.0000
3k_district_market_school_5_zhang_chao	3k_district_market_school_5_zhang_chao	0.0000
