id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/resource_hansui		
ironic_han_sui_resource_resource_207	ironic_han_sui_resource_resource_207	0.0000
ironic_han_sui_resource_level_0	ironic_han_sui_resource_level_0	0.0000
ironic_han_sui_resource_level_1	ironic_han_sui_resource_level_1	0.0000
ironic_han_sui_resource_level_2	ironic_han_sui_resource_level_2	0.0000
ironic_han_sui_resource_level_3	ironic_han_sui_resource_level_3	0.0000
ironic_han_sui_resource_level_4	ironic_han_sui_resource_level_4	0.0000
ironic_campaign_group_member_post_battle_effects_decisive_defeat_han_sui	ironic_han_sui_resource_decisive_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_crushing_defeat_han_sui	ironic_han_sui_resource_crushing_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_close_defeat_han_sui	ironic_han_sui_resource_close_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_valiant_defeat_han_sui	ironic_han_sui_resource_valiant_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_heroic_victory_han_sui	ironic_han_sui_resource_heroic_victory	0.0000
ironic_campaign_group_member_post_battle_effects_pyrrhic_victory_han_sui	ironic_han_sui_resource_pyrrhic_victory	0.0000
ironic_campaign_group_member_post_battle_effects_close_victory_han_sui	ironic_han_sui_resource_close_victory	0.0000
ironic_campaign_group_member_post_battle_effects_decisive_victory_han_sui	ironic_han_sui_resource_decisive_victory	0.0000
ironic_han_sui_campaign_group_casuality	ironic_han_sui_campaign_group_casuality	0.0000
