id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/resource_songjian		
ironic_song_jian_resource_resource_207	ironic_song_jian_resource_resource_207	0.0000
ironic_song_jian_resource_level_0	ironic_song_jian_resource_level_0	0.0000
ironic_song_jian_resource_level_1	ironic_song_jian_resource_level_1	0.0000
ironic_song_jian_resource_level_2	ironic_song_jian_resource_level_2	0.0000
ironic_song_jian_resource_level_3	ironic_song_jian_resource_level_3	0.0000
ironic_song_jian_resource_level_4	ironic_song_jian_resource_level_4	0.0000
ironic_song_jian_campaign_group_casuality	ironic_song_jian_campaign_group_casuality	0.0000
ironic_campaign_group_member_post_battle_effects_close_defeat_song_jian	ironic_song_jian_resource_close_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_close_victory_song_jian	ironic_song_jian_resource_close_victory	0.0000
ironic_campaign_group_member_post_battle_effects_crushing_defeat_song_jian	ironic_song_jian_resource_crushing_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_decisive_defeat_song_jian	ironic_song_jian_resource_decisive_defeat	0.0000
ironic_campaign_group_member_post_battle_effects_decisive_victory_song_jian	ironic_song_jian_resource_decisive_victory	0.0000
ironic_campaign_group_member_post_battle_effects_heroic_victory_song_jian	ironic_song_jian_resource_heroic_victory	0.0000
ironic_campaign_group_member_post_battle_effects_pyrrhic_victory_song_jian	ironic_song_jian_resource_pyrrhic_victory	0.0000
ironic_campaign_group_member_post_battle_effects_valiant_defeat_song_jian	ironic_song_jian_resource_valiant_defeat	0.0000
3k_dlc04_campaign_group_member_cannot_spy_liang_rebels	3k_main_campaign_group_can_spy_factions	1.0000
3k_main_campaign_group_campaign_features_governors_enabled_liang_rebels	3k_main_campaign_group_campaign_features_governors_enabled	1.0000
3k_main_campaign_group_governor_independence_trigger_default_liang_rebels	3k_main_campaign_group_governor_independence_trigger_default	1.0000
3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat_liang_rebels	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	1.0000
3k_main_campaign_group_world_leaders_can_proclaim_seat_liang_rebels	3k_main_campaign_group_world_leaders_can_proclaim_seat	1.0000
ironic_group_if_liang_rebels	3k_dlc07_campaign_group_faction_pooled_resource_imperial_favour	1.0000
ironic_group_if_liang_rebels_se	3k_dlc07_campaign_group_faction_pooled_resource_imperial_favour	1.0000
3k_main_campaign_group_governor_independence_trigger_default_song_jian	3k_main_campaign_group_governor_independence_trigger_default	0.0000
