id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/sheng_xianresource		
ironic_sheng_xian_inner_circle_level_0	ironic_inner_circle_level_0	0.0000
ironic_sheng_xian_inner_circle_level_1	ironic_inner_circle_level_1	1.0000
ironic_sheng_xian_inner_circle_resource_207	ironic_inner_circle_resource_207	0.0000
ironic_sheng_xian_politics_improve	ironic_sheng_xian_politics_improve	1.0000
ironic_inner_circle_recruitment	ironic_inner_circle_recruitment	0.0000
3k_district_market_inn_1_sheng_xian	3k_district_market_inn_1_sheng_xian	0.0000
3k_district_market_inn_2_sheng_xian	3k_district_market_inn_2_sheng_xian	0.0000
3k_district_market_inn_3_sheng_xian	3k_district_market_inn_3_sheng_xian	0.0000
3k_district_market_inn_4_sheng_xian	3k_district_market_inn_4_sheng_xian	0.0000
3k_district_market_inn_5_sheng_xian	3k_district_market_inn_5_sheng_xian	0.0000
3k_district_market_tea_3_sheng_xian	3k_district_market_tea_3_sheng_xian	0.0000
3k_district_market_tea_4_sheng_xian	3k_district_market_tea_4_sheng_xian	0.0000
3k_district_market_tea_5_sheng_xian	3k_district_market_tea_5_sheng_xian	0.0000
