id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/xiongnu_resource		
3k_main_campaign_group_member_campaign_feature_governor_enabled_xiongnu	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_member_can_spy_xiongnu	3k_main_campaign_group_can_spy_factions	0.0000
3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_separatists_3	3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_separatists_3	2.0000
3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_separatists_4	3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_separatists_4	2.0000
3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_world_leader	3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_world_leader	2.0000
3k_main_settlement_actions_major_default_xiongnu	3k_main_settlement_actions_major_default_xiongnu	9.0000
3k_main_settlement_actions_minor_default_xiongnu	3k_main_settlement_actions_minor_default_xiongnu	9.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_xiongnu	3k_main_group_settlement_actions_gift_to_mercenary_master_major_xiongnu	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_xiongnu	3k_main_group_settlement_actions_gift_to_mercenary_master_minor_xiongnu	0.0000
3k_dlc05_campaign_group_faction_bandit_public_order_effects_wuhuan	3k_dlc05_campaign_group_faction_bandit_public_order_effects	0.0000
3k_main_campaign_group_campaign_features_governors_enabled_wuhuan	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_can_spy_factions_wuhuan	3k_main_campaign_group_can_spy_factions	0.0000
3k_main_campaign_group_faction_bandits_wuhuan	3k_main_campaign_group_faction_bandits	0.0000
3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat_wuhuan	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	0.0000
3k_main_campaign_group_world_leaders_can_proclaim_seat_wuhuan	3k_main_campaign_group_world_leaders_can_proclaim_seat	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_major_wuhuan	3k_main_group_settlement_actions_gift_to_mercenary_master_major_wuhuan	0.0000
3k_main_group_settlement_actions_gift_to_mercenary_master_minor_wuhuan	3k_main_group_settlement_actions_gift_to_mercenary_master_minor_wuhuan	0.0000
3k_dlc05_campaign_group_faction_bandit_public_order_effects_xiongnu	3k_dlc05_campaign_group_faction_bandit_public_order_effects	0.0000
3k_dlc05_campaign_group_member_bandit_public_order_effects_xiongnu_separatists	3k_dlc05_campaign_group_faction_bandit_public_order_effects	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_xiongnu	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_xiongnu_separatists	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_main_campaign_group_campaign_features_governors_enabled_xiongnu	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_can_spy_factions_xiongnu	3k_main_campaign_group_can_spy_factions	0.0000
3k_main_campaign_group_faction_bandits_xiongnu	3k_main_campaign_group_faction_bandits	0.0000
3k_main_campaign_group_member_campaign_feature_governor_enabled_xiongnu_separatists	3k_main_campaign_group_campaign_features_governors_enabled	0.0000
3k_main_campaign_group_member_cannot_spy_xiongnu_separatists	3k_main_campaign_group_cannot_spy_factions	0.0000
3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_3	3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_3	2.0000
3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_4	3k_main_campaign_group_member_cosmetic_tag_faction_name_xiongnu_4	2.0000
3k_main_campaign_group_member_faction_bandits_xiongnu	3k_main_campaign_group_faction_bandits	0.0000
3k_main_campaign_group_member_faction_xiongnu_separatists_world_leaders_can_become_leader_by_capturing_seat	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	0.0000
3k_main_campaign_group_member_faction_xiongnu_separatists_world_leaders_can_proclaim_seat	3k_main_campaign_group_world_leaders_can_proclaim_seat	0.0000
3k_main_campaign_group_member_faction_xiongnu_world_leaders_can_become_leader_by_capturing_seat	3k_main_campaign_group_world_leaders_can_become_leader_by_capturing_seat	0.0000
3k_main_campaign_group_member_faction_xiongnu_world_leaders_can_proclaim_seat	3k_main_campaign_group_world_leaders_can_proclaim_seat	0.0000
3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles_wuhuan	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles_xiongnu	3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity_battles	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_wuhuan	3k_main_campaign_group_governor_independence_trigger_default	0.0000
3k_dlc05_campaign_group_member_governor_independence_trigger_wuhuan_separatists	3k_main_campaign_group_governor_independence_trigger_default	0.0000
ironic_xiongnu_pooled_resource_level_0	ironic_xiongnu_pooled_resource_level_0	1.0000
ironic_xiongnu_pooled_resource_level_1	ironic_xiongnu_pooled_resource_level_1	2.0000
ironic_xiongnu_pooled_resource_level_2	ironic_xiongnu_pooled_resource_level_2	3.0000
ironic_xiongnu_pooled_resource_level_3	ironic_xiongnu_pooled_resource_level_3	4.0000
ironic_xiongnu_pooled_resource_level_4	ironic_xiongnu_pooled_resource_level_4	5.0000
ironic_xiongnu_pooled_resource_level_5	ironic_xiongnu_pooled_resource_level_5	6.0000
ironic_xiongnu_pooled_resource_base	ironic_xiongnu_pooled_resource_base	0.0000
3k_resource_banditry_xiongnu_encampment	3k_resource_banditry_xiongnu_encampment	0.0000
