id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/zhangchaoresource		
ironic_zhang_chao_Calligraphy_level_0	ironic_Calligraphy_level_0	0.0000
ironic_zhang_chao_Calligraphy_level_1	ironic_Calligraphy_level_1	1.0000
ironic_zhang_chao_Calligraphy_level_2	ironic_Calligraphy_level_2	2.0000
ironic_zhang_chao_Calligraphy_level_3	ironic_Calligraphy_level_3	3.0000
ironic_zhang_chao_Calligraphy_level_4	ironic_Calligraphy_level_4	4.0000
ironic_zhang_chao_Calligraphy_resource_207	ironic_Calligraphy_resource_207	0.0000
ironic_zhang_chao_politics_improve	ironic_zhang_chao_politics_improve	1.0000
ironic_zhang_chao_politics_reduce	ironic_zhang_chao_politics_reduce	2.0000
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_1	3k_main_campaign_group_loyalty_effect_zhang_chao_unity_1	1.0000
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_2	3k_main_campaign_group_loyalty_effect_zhang_chao_unity_2	1.0000
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_3	3k_main_campaign_group_loyalty_effect_zhang_chao_unity_3	1.0000
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_4	3k_main_campaign_group_loyalty_effect_zhang_chao_unity_4	1.0000
