campaign_group	effect_type	effect_bundle
#campaign_group_pooled_resource_effects_tables;0;db/campaign_group_pooled_resource_effects_tables/data__		
3k_dlc04_campaign_group_pooled_resource_bureaucracy_power_level_0	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_bureaucracy_power_level_0
3k_dlc04_campaign_group_pooled_resource_bureaucracy_power_level_1	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_bureaucracy_power_level_1
3k_dlc04_campaign_group_pooled_resource_bureaucracy_power_level_2	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_bureaucracy_power_level_2
3k_dlc04_campaign_group_pooled_resource_bureaucracy_power_level_3	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_bureaucracy_power_level_3
3k_dlc04_campaign_group_pooled_resource_bureaucracy_power_level_4	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_bureaucracy_power_level_4
3k_dlc04_campaign_group_pooled_resource_bureaucracy_power_level_5	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_bureaucracy_power_level_5
3k_dlc04_campaign_group_pooled_resource_displaced_population_level_0	PERCENTAGE_OF_CAPACITY	3k_dlc04_campaign_group_pooled_resource_displaced_population_level_0
3k_dlc04_campaign_group_pooled_resource_displaced_population_level_1	PERCENTAGE_OF_CAPACITY	3k_dlc04_campaign_group_pooled_resource_displaced_population_level_1
3k_dlc04_campaign_group_pooled_resource_displaced_population_level_2	PERCENTAGE_OF_CAPACITY	3k_dlc04_campaign_group_pooled_resource_displaced_population_level_2
3k_dlc04_campaign_group_pooled_resource_displaced_population_level_3	PERCENTAGE_OF_CAPACITY	3k_dlc04_campaign_group_pooled_resource_displaced_population_level_3
3k_dlc04_campaign_group_pooled_resource_displaced_population_level_4	PERCENTAGE_OF_CAPACITY	3k_dlc04_campaign_group_pooled_resource_displaced_population_level_4
3k_dlc04_campaign_group_pooled_resource_displaced_population_level_5	PERCENTAGE_OF_CAPACITY	3k_dlc04_campaign_group_pooled_resource_displaced_population_level_5
3k_dlc04_campaign_group_pooled_resource_domain_level_1	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_domain_level_1
3k_dlc04_campaign_group_pooled_resource_domain_level_2	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_domain_level_2
3k_dlc04_campaign_group_pooled_resource_domain_level_3	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_domain_level_3
3k_dlc04_campaign_group_pooled_resource_domain_level_4	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_domain_level_4
3k_dlc04_campaign_group_pooled_resource_domain_level_5	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_domain_level_5
3k_dlc04_campaign_group_pooled_resource_domain_level_6	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_domain_level_6
3k_dlc04_campaign_group_pooled_resource_dynasty_power_level_0	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_dynasty_power_level_0
3k_dlc04_campaign_group_pooled_resource_dynasty_power_level_1	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_dynasty_power_level_1
3k_dlc04_campaign_group_pooled_resource_dynasty_power_level_2	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_dynasty_power_level_2
3k_dlc04_campaign_group_pooled_resource_dynasty_power_level_3	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_dynasty_power_level_3
3k_dlc04_campaign_group_pooled_resource_dynasty_power_level_4	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_dynasty_power_level_4
3k_dlc04_campaign_group_pooled_resource_dynasty_power_level_5	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_dynasty_power_level_5
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_zhang_bao	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_1_zhang_bao
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_zhang_jue	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_1_zhang_jue
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_zhang_liang	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_1_zhang_liang
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_zhang_bao	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_2_zhang_bao
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_zhang_jue	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_2_zhang_jue
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_zhang_liang	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_2_zhang_liang
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_zhang_bao	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_3_zhang_bao
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_zhang_jue	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_3_zhang_jue
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_zhang_liang	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_3_zhang_liang
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_zhang_bao	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_4_zhang_bao
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_zhang_jue	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_4_zhang_jue
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_zhang_liang	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_4_zhang_liang
