campaign_group	effect_type	effect_bundle
#campaign_group_pooled_resource_effects_tables;0;db/campaign_group_pooled_resource_effects_tables/doumaoresource-population		
3k_main_campaign_group_population_di_tribes_city_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_city_high
3k_main_campaign_group_population_di_tribes_city_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_city_low
3k_main_campaign_group_population_di_tribes_city_medium	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_city_medium
3k_main_campaign_group_population_di_tribes_city_super_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_city_super_high
3k_main_campaign_group_population_di_tribes_city_very_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_city_very_high
3k_main_campaign_group_population_di_tribes_city_very_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_city_very_low
3k_main_campaign_group_population_di_tribes_metropolis_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_metropolis_high
3k_main_campaign_group_population_di_tribes_metropolis_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_metropolis_low
3k_main_campaign_group_population_di_tribes_metropolis_medium	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_metropolis_medium
3k_main_campaign_group_population_di_tribes_town_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_town_high
3k_main_campaign_group_population_di_tribes_town_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_town_low
3k_main_campaign_group_population_di_tribes_town_medium	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_town_medium
3k_main_campaign_group_population_di_tribes_town_super_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_town_super_high
3k_main_campaign_group_population_di_tribes_town_very_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_town_very_high
3k_main_campaign_group_population_di_tribes_town_very_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_town_very_low
3k_main_campaign_group_population_di_tribes_village_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_village_high
3k_main_campaign_group_population_di_tribes_village_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_village_low
3k_main_campaign_group_population_di_tribes_village_medium	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_village_medium
3k_main_campaign_group_population_di_tribes_village_super_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_village_super_high
3k_main_campaign_group_population_di_tribes_village_very_high	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_village_very_high
3k_main_campaign_group_population_di_tribes_village_very_low	ABSOLUTE_VALUE	3k_main_effect_bundle_population_di_tribes_village_very_low
