campaign_group	resource	initial_amount
#campaign_group_pooled_resources_tables;0;db/campaign_group_pooled_resources_tables/initial_resources		
3k_main_campaign_group_faction_province_all	3k_main_pooled_resource_supply	10
ironic_barbarian_rage_resource_207	ironic_barbarian_rage	0
ironic_military_barbarian_resource_207	ironic_barbarian_rage	1000
ironic_cao_ren_preparation_resource_207	ironic_cao_ren_preparation	475
ironic_robin_hood_resource_207	ironic_robin_hood	150
ironic_defensive_struggle_resource	ironic_defensive_struggle	0
ironic_huang_zu_prime_ambush_resource_207	ironic_huang_zu_prime_ambush	450
ironic_governor_jurisdiction_resource_207	ironic_governor_jurisdiction	425
ironic_military_jurisdiction_resource_207	ironic_governor_jurisdiction	125
ironic_han_liu_yu_peace_resource_207	ironic_han_liu_yu_peace	55
ironic_bandit_rebellion_resource_207	ironic_bandit_rebellion	315
ironic_military_rebellion_resource_207	ironic_bandit_rebellion	125
ironic_han_sui_resource_resource_207	ironic_han_sui_resource	295
ironic_song_jian_resource_resource_207	ironic_song_jian_resource	345
ironic_wuhuan_resource_resource_207	ironic_wuhuan_resource	1750
ironic_xiahou_yuan_resource_resource_207	ironic_xiahou_yuan_resource	450
ironic_xiongnu_pooled_resource_base	ironic_xiongnu_tribute	550
ironic_zhang_lu_celestial_resource_207	ironic_zhang_lu_celestial	765
