permission	permission_group
#campaign_unit_permission_group_to_permission_junctions_tables;0;db/campaign_unit_permission_group_to_permission_junctions_tables/chibiunit_ironic	
ironic_song_jian_faction	ironic_song_jian_faction
3k_main_unit_permission_default_units_no_requirement	ironic_song_jian_faction
3k_main_unit_permission_generals	ironic_song_jian_faction
3k_main_unit_permission_special_character_permissions	ironic_song_jian_faction
3k_main_unit_permission_technologies	ironic_song_jian_faction
3k_main_unit_permission_world_leader	ironic_song_jian_faction
ironic_wuhuan_tribe_faction	ironic_wuhuan_tribe_faction
3k_dlc05_unit_permission_bandit_network	ironic_wuhuan_tribe_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_wuhuan_tribe_faction
3k_dlc05_unit_permission_generals_bandits	ironic_wuhuan_tribe_faction
3k_main_unit_permission_special_character_permissions	ironic_wuhuan_tribe_faction
3k_main_unit_permission_world_leader	ironic_wuhuan_tribe_faction
ironic_xiongnu_requirements	ironic_xiongnu_unique_units
3k_dlc05_unit_permission_bandit_network	ironic_xiongnu_unique_units
3k_dlc05_unit_permission_bandits_no_requirement	ironic_xiongnu_unique_units
3k_dlc05_unit_permission_generals_bandits	ironic_xiongnu_unique_units
3k_main_unit_permission_special_character_permissions	ironic_xiongnu_unique_units
3k_main_unit_permission_world_leader	ironic_xiongnu_unique_units
ironic_liu_yu_faction	ironic_liu_yu_faction
3k_main_unit_permission_default_units_no_requirement	ironic_liu_yu_faction
3k_main_unit_permission_generals	ironic_liu_yu_faction
3k_main_unit_permission_special_character_permissions	ironic_liu_yu_faction
3k_main_unit_permission_technologies	ironic_liu_yu_faction
3k_main_unit_permission_world_leader	ironic_liu_yu_faction
ironic_han_sui_faction	ironic_han_sui_faction
3k_main_unit_permission_default_units_no_requirement	ironic_han_sui_faction
3k_main_unit_permission_generals	ironic_han_sui_faction
3k_main_unit_permission_special_character_permissions	ironic_han_sui_faction
3k_main_unit_permission_technologies	ironic_han_sui_faction
3k_main_unit_permission_world_leader	ironic_han_sui_faction
ironic_gan_ning_faction	ironic_gan_ning_faction
3k_dlc05_unit_permission_bandit_network	ironic_gan_ning_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_gan_ning_faction
3k_dlc05_unit_permission_generals_bandits	ironic_gan_ning_faction
3k_main_unit_permission_special_character_permissions	ironic_gan_ning_faction
3k_main_unit_permission_world_leader	ironic_gan_ning_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_gan_ning_faction
ironic_gao_gan_faction	ironic_gao_gan_faction
3k_main_unit_permission_default_units_no_requirement	ironic_gao_gan_faction
3k_main_unit_permission_generals	ironic_gao_gan_faction
3k_main_unit_permission_special_character_permissions	ironic_gao_gan_faction
3k_main_unit_permission_technologies	ironic_gao_gan_faction
3k_main_unit_permission_world_leader	ironic_gao_gan_faction
ironic_han_fu_faction	ironic_han_fu_faction
3k_main_unit_permission_default_units_no_requirement	ironic_han_fu_faction
3k_main_unit_permission_generals	ironic_han_fu_faction
3k_main_unit_permission_special_character_permissions	ironic_han_fu_faction
3k_main_unit_permission_technologies	ironic_han_fu_faction
3k_main_unit_permission_world_leader	ironic_han_fu_faction
ironic_Zhang_yang_faction	ironic_Zhang_yang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_Zhang_yang_faction
3k_main_unit_permission_generals	ironic_Zhang_yang_faction
3k_main_unit_permission_special_character_permissions	ironic_Zhang_yang_faction
3k_main_unit_permission_technologies	ironic_Zhang_yang_faction
3k_main_unit_permission_world_leader	ironic_Zhang_yang_faction
ironic_wang_kuang_faction	ironic_wang_kuang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_wang_kuang_faction
3k_main_unit_permission_generals	ironic_wang_kuang_faction
3k_main_unit_permission_special_character_permissions	ironic_wang_kuang_faction
3k_main_unit_permission_technologies	ironic_wang_kuang_faction
3k_main_unit_permission_world_leader	ironic_wang_kuang_faction
ironic_chen_gui_faction	ironic_chen_gui_faction
3k_main_unit_permission_default_units_no_requirement	ironic_chen_gui_faction
3k_main_unit_permission_generals	ironic_chen_gui_faction
3k_main_unit_permission_special_character_permissions	ironic_chen_gui_faction
3k_main_unit_permission_technologies	ironic_chen_gui_faction
3k_main_unit_permission_world_leader	ironic_chen_gui_faction
ironic_yang_feng_b_faction	ironic_yang_feng_b_faction
3k_dlc05_unit_permission_bandit_network	ironic_yang_feng_b_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_yang_feng_b_faction
3k_dlc05_unit_permission_generals_bandits	ironic_yang_feng_b_faction
3k_main_unit_permission_special_character_permissions	ironic_yang_feng_b_faction
3k_main_unit_permission_world_leader	ironic_yang_feng_b_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_yang_feng_b_faction
ironic_zhang_lu_permission_unit	ironic_zhang_lu_faction
ironic_zhang_lu_permission_region	ironic_zhang_lu_faction
3k_main_unit_permission_special_character_permissions	ironic_zhang_lu_faction
3k_main_unit_permission_world_leader	ironic_zhang_lu_faction
3k_dlc05_unit_permission_bandits_building_units	3k_dlc07_unit_permission_group_generic_bandit
3k_dlc05_unit_permission_bandits_building_units	3k_main_unit_permission_group_zhang_yan
3k_dlc05_unit_permission_bandits_building_units	3k_main_unit_permission_group_zheng_jiang
3k_dlc05_unit_permission_bandits_building_units_without_yue	3k_dlc05_permission_group_faction_white_tiger_yan
ironic_korea_factions	ironic_generic_korea_faction
ironic_korea_factions	ironic_goguryeo_faction
ironic_goguryeo_unique_faction	ironic_goguryeo_faction
ironic_chen_wen_unique_faction	ironic_chen_wen_faction
3k_main_unit_permission_default_units_no_requirement	ironic_chen_wen_faction
3k_main_unit_permission_generals	ironic_chen_wen_faction
3k_main_unit_permission_special_character_permissions	ironic_chen_wen_faction
3k_main_unit_permission_technologies	ironic_chen_wen_faction
3k_main_unit_permission_world_leader	ironic_chen_wen_faction
ironic_jia_long_faction	ironic_jia_long_faction
3k_main_unit_permission_default_units_no_requirement	ironic_jia_long_faction
3k_main_unit_permission_generals	ironic_jia_long_faction
3k_main_unit_permission_special_character_permissions	ironic_jia_long_faction
3k_main_unit_permission_technologies	ironic_jia_long_faction
3k_main_unit_permission_world_leader	ironic_jia_long_faction
ironic_liu_dai_faction	ironic_liu_dai_faction
3k_main_unit_permission_default_units_no_requirement	ironic_liu_dai_faction
3k_main_unit_permission_generals	ironic_liu_dai_faction
3k_main_unit_permission_special_character_permissions	ironic_liu_dai_faction
3k_main_unit_permission_technologies	ironic_liu_dai_faction
3k_main_unit_permission_world_leader	ironic_liu_dai_faction
ironic_gongsun_du_faction	ironic_gongsun_du_faction
3k_main_unit_permission_default_units_no_requirement	ironic_gongsun_du_faction
3k_main_unit_permission_generals	ironic_gongsun_du_faction
3k_main_unit_permission_special_character_permissions	ironic_gongsun_du_faction
3k_main_unit_permission_technologies	ironic_gongsun_du_faction
3k_main_unit_permission_world_leader	ironic_gongsun_du_faction
ironic_zhang_chao_faction	ironic_zhang_chao_faction
ironic_ying_shao_faction	ironic_ying_shao_faction
ironic_lu_kang_faction	ironic_lu_kang_faction
ironic_ze_rong_faction	ironic_ze_rong_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhang_chao_faction
3k_main_unit_permission_generals	ironic_zhang_chao_faction
3k_main_unit_permission_special_character_permissions	ironic_zhang_chao_faction
3k_main_unit_permission_technologies	ironic_zhang_chao_faction
