permission	permission_group
#campaign_unit_permission_group_to_permission_junctions_tables;0;db/campaign_unit_permission_group_to_permission_junctions_tables/ironic_190e_korean_rosters	
ironic_korea_factions	ironic_gaya_faction
ironic_gaya_unique_faction	ironic_gaya_faction
ironic_korea_factions	ironic_bakaja_faction
ironic_bakaja_unique_faction	ironic_bakaja_faction
ironic_korea_factions	ironic_shitla_faction
ironic_shitla_unique_faction	ironic_shitla_faction
ironic_korea_factions	ironic_korea_ye_faction
ironic_korea_ye_unique_faction	ironic_korea_ye_faction
ironic_korea_factions	ironic_tamno_faction
ironic_tamno_unique_faction	ironic_tamno_faction
ironic_korea_factions	ironic_buyeo_faction
ironic_buyeo_unique_faction	ironic_buyeo_faction
