permission	requirement	unit	is_restriction
#campaign_unit_permission_requirements_tables;0;db/campaign_unit_permission_requirements_tables/ironic_shanyue_clone			
ironic_zu_lang_faction	ironic_unit_requirement_metal_yue_remnant_warriors_shanyue_clone_1	3k_dlc05_unit_metal_yue_remnant_warriors	false
ironic_zu_lang_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_0	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_zu_lang_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_1	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_pan_lin_faction	ironic_unit_requirement_metal_yue_remnant_warriors_shanyue_clone_1	3k_dlc05_unit_metal_yue_remnant_warriors	false
ironic_pan_lin_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_0	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_pan_lin_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_1	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_you_tu_faction	ironic_unit_requirement_metal_yue_remnant_warriors_shanyue_clone_1	3k_dlc05_unit_metal_yue_remnant_warriors	false
ironic_you_tu_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_0	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_you_tu_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_1	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_fei_zhan_faction	ironic_unit_requirement_metal_yue_remnant_warriors_shanyue_clone_1	3k_dlc05_unit_metal_yue_remnant_warriors	false
ironic_fei_zhan_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_0	3k_dlc05_unit_wood_yue_tribesmen	false
ironic_fei_zhan_faction	ironic_unit_requirement_wood_yue_tribesmen_shanyue_clone_1	3k_dlc05_unit_wood_yue_tribesmen	false
