key	building1	building2	religion	resource1	resource2	skill1	skill2	tech1	tech2	must_be_world_leader	minimum_character_rank	agent_subtype	ceo
#campaign_unit_requirements_tables;5;db/campaign_unit_requirements_tables/data__													
3k_dlc04_unit_requirement_earth_chen_peacekeepers										false	6		
3k_dlc04_unit_requirement_earth_imperial_household_cavalry								3k_main_tech_earth_tier3_mandate_of_heaven		true	0		
3k_dlc04_unit_requirement_earth_jaizi_raiders								3k_dlc04_tech_yellow_turban_units_3_4		false	0	3k_general_metal	
3k_dlc04_unit_requirement_earth_messengers_of_heaven								3k_dlc04_tech_yellow_turban_units_1_2		false	3		
3k_dlc04_unit_requirement_earth_mounted_sabre_defectors								3k_dlc04_tech_yellow_turban_units_3_1		false	0	3k_general_metal	
3k_dlc04_unit_requirement_fire_destroyer_of_traitors										false	6		
3k_dlc04_unit_requirement_fire_imperial_lancer_cavalry								3k_main_tech_fire_tier3_hierarchical_enfeoffments		true	0		
3k_dlc04_unit_requirement_fire_mounted_lancer_defectors								3k_dlc04_tech_yellow_turban_units_2_1		false	0	3k_general_water	
3k_dlc04_unit_requirement_fire_righteous_vanguards								3k_dlc04_tech_yellow_turban_units_2_4		false	0	3k_general_water	
3k_dlc04_unit_requirement_fire_tyrant_slayers								3k_dlc04_tech_yellow_turban_units_1_2		false	6		
3k_dlc04_unit_requirement_metal_bringers_of_peace								3k_dlc04_tech_yellow_turban_units_2_3		false	0	3k_general_water	
3k_dlc04_unit_requirement_metal_chosen_of_the_eight_immortals								3k_dlc04_tech_yellow_turban_units_0_2		false	6		
3k_dlc04_unit_requirement_metal_exemplars_of_the_tao								3k_dlc04_tech_yellow_turban_units_4_4		false	0	3k_general_wood	
3k_dlc04_unit_requirement_metal_huanglao_s_paragons								3k_dlc04_tech_yellow_turban_units_3_3		false	0	3k_general_metal	
3k_dlc04_unit_requirement_metal_imperial_sword_guard								3k_main_tech_metal_tier3_state_blast_furnaces		true	0		
3k_dlc04_unit_requirement_metal_qiang_warrior	3k_district_military_security_ma_teng_4									false	0		
3k_dlc04_unit_requirement_metal_qiang_warrior_2	3k_district_military_security_ma_teng_5									false	0		
3k_dlc04_unit_requirement_metal_redeemed_outlaws								3k_dlc04_tech_yellow_turban_units_0_1		false	0		
3k_dlc04_unit_requirement_metal_sabre_defectors								3k_dlc04_tech_yellow_turban_units_1_3		false	0		
3k_dlc04_unit_requirement_water_archer_defectors								3k_dlc04_tech_yellow_turban_units_4_1		false	0	3k_general_wood	
3k_dlc04_unit_requirement_water_chen_royal_guard										false	3		
3k_dlc04_unit_requirement_water_imperial_palace_cavalry								3k_main_tech_water_tier3_silk_road_expeditions		true	0		
3k_dlc04_unit_requirement_water_imperial_palace_crossbowmen								3k_main_tech_water_tier3_silk_road_expeditions		true	0		
3k_dlc04_unit_requirement_water_multiple_bolt_crossbow_yt								3k_dlc04_tech_yellow_turban_units_5_1		false	0	3k_general_fire	
3k_dlc04_unit_requirement_water_multiple_bolt_crossbow_yt_alternate								3k_dlc04_tech_yellow_turban_units_5_1		false	0	3k_general_wood	
3k_dlc04_unit_requirement_water_qiang_archers	3k_district_military_security_ma_teng_2									false	0		
3k_dlc04_unit_requirement_water_qiang_archers_2	3k_district_military_security_ma_teng_3									false	0		
3k_dlc04_unit_requirement_water_qiang_archers_3	3k_district_military_security_ma_teng_4									false	0		
3k_dlc04_unit_requirement_water_qiang_archers_4	3k_district_military_security_ma_teng_5									false	0		
3k_dlc04_unit_requirement_water_territorial_archer										false	3		
3k_dlc04_unit_requirement_water_the_land_s_chosen								3k_dlc04_tech_yellow_turban_units_4_3		false	0	3k_general_wood	
3k_dlc04_unit_requirement_water_trebuchet_yt								3k_dlc04_tech_yellow_turban_units_5_1		false	0	3k_general_fire	
3k_dlc04_unit_requirement_water_trebuchet_yt_alternate								3k_dlc04_tech_yellow_turban_units_5_1		false	0	3k_general_wood	
3k_dlc04_unit_requirement_water_yaoguai_hunters								3k_dlc04_tech_yellow_turban_units_0_2		false	6		
3k_dlc04_unit_requirement_wood_ascetics_of_the_way								3k_dlc04_tech_yellow_turban_units_3_2		false	0	3k_general_metal	
3k_dlc04_unit_requirement_wood_defenders_of_the_empire										false	3		
3k_dlc04_unit_requirement_wood_fervent_defenders								3k_dlc04_tech_yellow_turban_units_4_2		false	0	3k_general_wood	
3k_dlc04_unit_requirement_wood_gallants_of_the_people								3k_dlc04_tech_yellow_turban_units_0_2		false	3		
3k_dlc04_unit_requirement_wood_imperial_gate_guards								3k_main_tech_wood_tier3_facilitation_of_landlord_exploitation		true	0		
3k_dlc04_unit_requirement_wood_ji_defectors								3k_dlc04_tech_yellow_turban_units_1_1		false	0		
3k_dlc04_unit_requirement_wood_qiang_polearms	3k_district_military_security_ma_teng_2									false	0		
3k_dlc04_unit_requirement_wood_qiang_polearms_2	3k_district_military_security_ma_teng_3									false	0		
3k_dlc04_unit_requirement_wood_qiang_polearms_3	3k_district_military_security_ma_teng_4									false	0		
3k_dlc04_unit_requirement_wood_qiang_polearms_4	3k_district_military_security_ma_teng_5									false	0		
3k_dlc04_unit_requirement_wood_stalwart_shields								3k_dlc04_tech_yellow_turban_units_2_2		false	0	3k_general_water	
3k_dlc04_unit_requirement_wood_territorial_spearmen										false	3		
3k_dlc04_unit_requirement_wood_zealots_of_the_way								3k_dlc04_tech_yellow_turban_units_1_2		false	3		
3k_dlc05_unit_requirement_earth_bandit_network_cangwu								3k_dlc05_tech_bandit_network_jiaozhi_cangwu		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_hanzhong								3k_dlc05_tech_bandit_network_yi_hanzhong		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_hedong								3k_dlc05_tech_bandit_network_sili_hedong		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_jingzhou								3k_dlc05_tech_bandit_network_jing_jingzhou		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_langye								3k_dlc05_tech_bandit_network_xu_langye		false	0	3k_general_wood	
3k_dlc05_unit_requirement_earth_bandit_network_liang_outer								3k_dlc05_tech_bandit_network_liang_outer_west		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_lingling								3k_dlc05_tech_bandit_network_jing_lingling		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_luoyang								3k_dlc05_tech_bandit_network_sili_luoyang		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_penchang								3k_dlc05_tech_bandit_network_xu_penchang		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_pingyuan								3k_dlc05_tech_bandit_network_qing_pingyuan		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_wudu								3k_dlc05_tech_bandit_network_liang_wudu		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_bandit_network_yangzhou								3k_dlc05_tech_bandit_network_yang_yangzhou		false	0	3k_general_metal	
3k_dlc05_unit_requirement_earth_bandit_network_yizhou								3k_dlc05_tech_bandit_network_yi_yizhou		false	0	3k_general_earth	
3k_dlc05_unit_requirement_earth_handmaid_guard										false	3		
3k_dlc05_unit_requirement_fire_bandit_network_baxi								3k_dlc05_tech_bandit_network_yi_baxi		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_beihai								3k_dlc05_tech_bandit_network_qing_beihai		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_bing_outer								3k_dlc05_tech_bandit_network_bing_outer_north		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_henei								3k_dlc05_tech_bandit_network_yan_henei		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_jianan								3k_dlc05_tech_bandit_network_yang_jianan		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_jiangyang								3k_dlc05_tech_bandit_network_yi_jiangyang		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_lujiang								3k_dlc05_tech_bandit_network_yang_lujiang		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_nanyang								3k_dlc05_tech_bandit_network_jing_nanyang		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_shuofang								3k_dlc05_tech_bandit_network_bing_shoufang		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_taiyuan								3k_dlc05_tech_bandit_network_bing_taiyuan		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_wuling								3k_dlc05_tech_bandit_network_jing_wuling		false	0		
3k_dlc05_unit_requirement_fire_bandit_network_wuwei								3k_dlc05_tech_bandit_network_liang_wuwei		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_you_outer								3k_dlc05_tech_bandit_network_you_outer_north		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_bandit_network_yu								3k_dlc05_tech_bandit_network_you_yu		false	0	3k_general_fire	
3k_dlc05_unit_requirement_fire_formation_breakers										false	2		
3k_dlc05_unit_requirement_metal_bandit_network_anding								3k_dlc05_tech_bandit_network_liang_anding		false	0	3k_general_metal	
3k_dlc05_unit_requirement_metal_bandit_network_anping								3k_dlc05_tech_bandit_network_ji_anping		false	0	3k_general_metal	
3k_dlc05_unit_requirement_metal_bandit_network_dongjun								3k_dlc05_tech_bandit_network_yan_dongjun		false	0	3k_general_metal	
3k_dlc05_unit_requirement_metal_bandit_network_donglai								3k_dlc05_tech_bandit_network_qing_donglai		false	0	3k_general_metal	
3k_dlc05_unit_requirement_metal_bandit_network_fuling								3k_dlc05_tech_bandit_network_yi_fuling		false	0		
