key	building1	building2	religion	resource1	resource2	skill1	skill2	tech1	tech2	must_be_world_leader	minimum_character_rank	agent_subtype	ceo
#campaign_unit_requirements_tables;5;db/campaign_unit_requirements_tables/dead_xiongnu_ex													
dead_xiongnu_warriors										false	0		
dead_xiongnu_archer										false	0		
dead_xiongnu_heavy_spearmen										false	3		
xiongnu_fire										false	3		
xiongnu_fire_cata										false	5		
xiongnu_earth										false	3		
dead_xiongnu_spearmen										false	0		
dead_xiongnu_brute										false	6		
level_3										false	3		
level_6										false	5		
ironic_chibi_jian_qiang_rangers										false	5		
level_3_Fire										false	3	3k_general_fire	
level_3_Water										false	3	3k_general_water	
level_3_Wood										false	3	3k_general_wood	
level_3_Earth										false	3	3k_general_earth	
level_3_Metal										false	3	3k_general_metal	
