auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/data__					
1005973633	3k_dlc06_ceo_class_nanman	3k_main_effect_agent_action_enable_all	1.0000	character_to_character_own	
1010281028	3k_ytr_ceo_equipment_permissions_armour_metal	3k_dummy_effect_ceo_subcategory_armour_ytr_metal	0.0000	character_to_character_own	
1024199289	3k_main_ceo_node_wealth_06	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
1026679099	3k_ytr_ceo_node_learning_teacher_06	3k_main_effect_unit_rank_new_recruits	2.0000	character_to_character_own_retinue	
1028037593	3k_main_item_set_shadow_runner	3k_main_skill_fire_charge_bonus	50.0000	character_to_force_own	
1033792046	3k_main_item_set_earthwatcher	3k_main_effect_province_food_mod	25.0000	character_minister_to_region_factionwide	
1042829909	3k_main_item_set_tamer_of_the_earth	3k_main_effect_ai_hint_general	10.0000	character_to_character_own	
1044308999	3k_main_item_set_scholar_of_the_future	3k_main_effect_characters_experience_bonus	20.0000	character_minister_to_character_factionwide	
1045701609	3k_ytr_ceo_node_learning_teacher_02	3k_main_effect_unit_rank_new_recruits	1.0000	character_to_character_own_retinue	
1047037303	3k_mtu_item_set_changshan_zhaozilong	3k_main_effect_character_stat_mod_battle_movement_speed	25.0000	character_to_character_own	
1049947056	3k_mtu_item_set_sorrow_and_anger	3k_main_skill_unbreakable	1.0000	character_to_character_own	
1052896064	3k_main_ceo_node_wealth_04	3k_main_effect_characters_satisfaction_bonus_salary	15.0000	character_to_character_own	
1064346972	3k_main_item_set_heavenly_flight	3k_main_effect_character_stat_mod_missile_damage	25.0000	character_to_force_own	
1080694386	3k_ytr_ceo_node_learning_student_06	3k_main_effect_character_salary	-50.0000	character_to_character_own	
1082948919	3k_main_ceo_node_wealth_07	3k_main_effect_ai_hint_governor	5.0000	character_to_character_own	
1083135148	3k_ytr_ceo_node_learning_teacher_02	3k_main_character_wealth	2.0000	character_to_character_own	
1087982592	3k_main_item_set_ancient_sight	3k_main_effect_economy_gdp_mod_all	10.0000	character_minister_to_region_factionwide	
1088183405	3k_korea_ceo_node_wealth_01	3k_main_effect_salary_increase_on_character	0.0000	character_to_character_own	
1088682225	3k_main_ceo_node_potential_legendary_early_01	3k_main_effect_characters_experience_bonus	75.0000	character_to_character_own	
1095257067	3k_main_ceo_node_wealth_05	3k_main_effect_ai_hint_governor	5.0000	character_to_character_own	
1110221479	3k_ytr_ceo_node_learning_student_07	3k_ytr_dummy_effect_learning_student	1.0000	character_to_character_own	
1114084674	3k_main_item_set_bookkeeper	3k_main_effect_ai_hint_governor	20.0000	character_to_character_own	
111652810	3k_ytr_ceo_node_learning_teacher_06	3k_main_effect_character_salary	-50.0000	character_to_character_own	
1128689755	3k_main_ceo_equipment_permissions_armour_earth	3k_dummy_effect_ceo_subcategory_armour_earth	0.0000	character_to_character_own	
11311778	3k_ytr_ceo_node_learning_teacher_01	3k_main_character_wealth	2.0000	character_to_character_own	
1142588192	3k_main_item_set_expert_of_barracks	3k_main_ancillary_item_set_expert_of_barracks	-25.0000	character_to_region_own_provincewide_when_governor	
1143150707	3k_korea_ceo_node_wealth_05	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
1146982982	3k_main_ceo_node_wealth_07	3k_main_character_wealth	7.0000	character_to_character_own	
1150758675	3k_dlc04_political_support_party03_02	3k_dlc04_effect_pooled_resource_dynasty_influence_increase_from_court_positions	2.0000	character_minister_to_faction_alternative	
1169185777	3k_dlc04_political_support_party02_03	3k_dlc04_effect_pooled_resource_warlords_influence_increase_from_court_positions	3.0000	character_minister_to_faction_alternative	
1172521994	3k_dlc06_item_set_heart_of_courage_2	3k_main_effect_ai_hint_general	10.0000	character_to_character_own	
1172901023	3k_ytr_ceo_node_learning_teacher_04	3k_main_effect_character_salary	-75.0000	character_to_character_own	
1173575542	3k_ytr_ceo_node_learning_teacher_06	3k_ytr_dummy_effect_learning_teacher	1.0000	character_to_character_own	
1174162728	3k_ytr_ceo_node_learning_student_02	3k_main_effect_ai_hint_general	5.0000	character_to_character_own	
1174740451	3k_ytr_ceo_equipment_permissions_weapons_metal	3k_dummy_effect_ceo_subcategory_weapon_axe_one_handed	0.0000	character_to_character_own	
1202182180	3k_main_ceo_node_potential_legendary_early_03	3k_main_effect_characters_experience_bonus	25.0000	character_to_character_own	
1205484299	3k_main_ceo_node_potential_legendary_mid_03	3k_main_effect_characters_experience_bonus	25.0000	character_to_character_own	
1207546133	3k_ytr_ceo_equipment_permissions_weapons_metal	3k_dummy_effect_ceo_subcategory_weapon_sword_dual	0.0000	character_to_character_own	
1216623865	3k_dlc05_item_set_sun_ce_ambition_secure_heartland	3k_main_effect_province_public_order_base	2.0000	faction_to_province_own	
122415644	3k_main_item_set_peoples_justice	3k_main_ancillary_recruitment_cost_mod	-25.0000	character_to_character_own_provincewide_when_governor	
1224584246	3k_main_item_set_shadow_runner	3k_main_effect_ai_hint_general	10.0000	character_to_character_own	
1233263328	3k_main_item_set_dragons_storm	3k_main_effect_ai_hint_general	10.0000	character_to_character_own	
1240597370	3k_main_ceo_equipment_permissions_armour_fire	3k_dummy_effect_ceo_subcategory_armour_fire	0.0000	character_to_character_own	
1244569945	3k_main_item_set_military_law	3k_main_effect_unit_rank_new_recruits	3.0000	character_to_character_own_retinue	
124737295	3k_ytr_ceo_equipment_permissions_weapons_wood	3k_dummy_effect_ceo_subcategory_weapon_mace_two_handed	0.0000	character_to_character_own	
