auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;db/ceo_effect_list_to_effects_tables/ironic_titles					
2147400000	ironic_ttl_spine_attendant	3k_main_effect_characters_satisfaction_bonus_salary	20.0000	character_to_character_own	
2147400001	ironic_ttl_spine_attendant	3k_main_effect_ai_hint_governor	5.0000	character_to_character_own	
2147400002	ironic_ttl_spine_attendant	3k_main_character_wealth	2.0000	character_to_character_own	
2147400003	ironic_ttl_spine_attendant	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
2147400004	ironic_ttl_spine_attendant	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-25.0000	character_to_character_own	
2147400005	ironic_ttl_spine_blood_dragon	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
2147400006	ironic_ttl_spine_blood_dragon	3k_main_character_wealth	2.0000	character_to_character_own	
2147400007	ironic_ttl_spine_blood_dragon	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-50.0000	character_to_character_own	
2147400008	ironic_ttl_spine_blood_dragon	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
2147400009	ironic_ttl_spine_chief_of_records	3k_main_effect_salary_increase_on_character	150.0000	character_to_character_own	
2147400010	ironic_ttl_spine_chief_of_records	3k_main_character_wealth	6.0000	character_to_character_own	
2147400011	ironic_ttl_spine_chief_of_records	3k_main_effect_characters_satisfaction_bonus_salary	30.0000	character_to_character_own	
2147400012	ironic_ttl_spine_chief_of_records	3k_main_effect_ai_hint_governor	5.0000	character_to_character_own	
2147400013	ironic_ttl_spine_chief_of_records	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-50.0000	character_to_character_own	
2147400014	ironic_ttl_spine_coiled_dragon	3k_main_character_wealth	2.0000	character_to_character_own	
2147400015	ironic_ttl_spine_coiled_dragon	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
2147400016	ironic_ttl_spine_coiled_dragon	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
2147400017	ironic_ttl_spine_coiled_dragon	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-50.0000	character_to_character_own	
2147400018	ironic_ttl_spine_director_of_astronomy	3k_main_character_wealth	1.0000	character_to_character_own	
2147400019	ironic_ttl_spine_director_of_astronomy	3k_main_effect_characters_satisfaction_bonus_salary	10.0000	character_to_character_own	
2147400020	ironic_ttl_spine_director_of_astronomy	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	character_to_character_own	
2147400021	ironic_ttl_spine_director_of_astronomy	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
2147400022	ironic_ttl_spine_director_of_retainers_who_scales_the_city_wall	3k_main_character_wealth	2.0000	character_to_character_own	
2147400023	ironic_ttl_spine_director_of_retainers_who_scales_the_city_wall	3k_main_effect_characters_satisfaction_bonus_salary	15.0000	character_to_character_own	
2147400024	ironic_ttl_spine_director_of_retainers_who_scales_the_city_wall	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-25.0000	character_to_character_own	
2147400025	ironic_ttl_spine_director_of_retainers_who_scales_the_city_wall	3k_main_effect_salary_increase_on_character	150.0000	character_to_character_own	
2147400026	ironic_ttl_spine_divine_mathematician	3k_main_character_wealth	1.0000	character_to_character_own	
2147400027	ironic_ttl_spine_divine_mathematician	3k_main_effect_characters_satisfaction_bonus_salary	10.0000	character_to_character_own	
2147400028	ironic_ttl_spine_divine_mathematician	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	character_to_character_own	
2147400029	ironic_ttl_spine_divine_mathematician	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
2147400030	ironic_ttl_spine_divine_physician	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
2147400031	ironic_ttl_spine_divine_physician	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	character_to_character_own	
2147400032	ironic_ttl_spine_divine_physician	3k_main_effect_characters_satisfaction_bonus_salary	10.0000	character_to_character_own	
2147400033	ironic_ttl_spine_divine_physician	3k_main_character_wealth	1.0000	character_to_character_own	
2147400034	ironic_ttl_spine_earth_dragon	3k_main_character_wealth	2.0000	character_to_character_own	
2147400035	ironic_ttl_spine_earth_dragon	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
2147400036	ironic_ttl_spine_earth_dragon	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-50.0000	character_to_character_own	
2147400037	ironic_ttl_spine_earth_dragon	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
2147400038	ironic_ttl_spine_flying_swallow_general	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
2147400039	ironic_ttl_spine_flying_swallow_general	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	character_to_character_own	
2147400040	ironic_ttl_spine_flying_swallow_general	3k_main_effect_characters_satisfaction_bonus_salary	10.0000	character_to_character_own	
