auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/liu_bei					
701000071	ironic_ceo_ptu_gongsun_zan_s1	rew_iro_190e_charge_bonus_flat_all_militia	20.0000	faction_to_force_own_factionwide	
701000072	ironic_ceo_ptu_gongsun_zan_s2	ironic_effect_ptu_unlock_water_white_horse_raiders	1.0000	faction_to_faction_own	
701000073	ironic_ceo_ptu_gongsun_zan_s3	rew_iro_190e_speed_all_militia	15.0000	faction_to_force_own_factionwide	
701000074	ironic_ceo_ptu_gongsun_zan_s3	ironic_effect_ptu_character_joins	1.0000	faction_to_faction_own	
701000075	ironic_ceo_ptu_gongsun_zan_s4	ironic_effect_ptu_character_joins	1.0000	faction_to_faction_own	
701000076	ironic_ceo_ptu_gongsun_zan_s5	ironic_effect_ptu_unlock_fire_destroyer_of_traitors	1.0000	faction_to_faction_own	
701000077	ironic_ceo_set_ptu_gongsun_zan	ironic_effect_ptu_tiger_general_slot	1.0000	faction_to_faction_own	
701000078	ironic_ceo_ptu_kong_rong_s1	rew_iro_190e_missile_block_chance_all_militia	20.0000	faction_to_force_own_factionwide	
701000079	ironic_ceo_ptu_kong_rong_s2	rew_iro_190e_ammo_mod_all_militia	25.0000	faction_to_force_own_factionwide	
701000080	ironic_ceo_ptu_kong_rong_s3	rew_iro_190e_melee_evasion_flat_all_militia	4.0000	faction_to_force_own_factionwide	
701000081	ironic_ceo_ptu_kong_rong_s4	ironic_unit_unlock_qing_earth_bookish_cavaliers	1.0000	faction_to_faction_own	
701000082	ironic_ceo_ptu_kong_rong_s5	rew_iro_190e_melee_hit_rate_all_militia	5.0000	faction_to_force_own_factionwide	
701000083	ironic_ceo_set_ptu_kong_rong	3k_main_effect_campaign_progression_han_empire	50.0000	faction_to_faction_own	
701000084	ironic_ceo_ptu_tao_qian_s1	ironic_effect_ptu_unlock_water_territorial_archer	1.0000	faction_to_faction_own	
701000085	ironic_ceo_ptu_tao_qian_s1	ironic_effect_ptu_unlock_wood_territorial_spearmen	1.0000	faction_to_faction_own	
701000086	ironic_ceo_ptu_tao_qian_s2	rew_iro_190e_range_mod_all_militia	10.0000	faction_to_force_own_factionwide	
701000087	ironic_ceo_ptu_tao_qian_s3	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000088	ironic_ceo_ptu_tao_qian_s3	ironic_effect_ptu_unlock_metal_xu_raiders	1.0000	faction_to_faction_own	
701000089	ironic_ceo_ptu_tao_qian_s4	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000090	ironic_ceo_ptu_tao_qian_s5	rew_iro_190e_armour_flat_all_militia	6.0000	faction_to_force_own_factionwide	
701000091	ironic_ceo_set_ptu_tao_qian	3k_main_effect_economy_character_wealth_faction_background_income_mod	100.0000	faction_to_faction_own	
701000092	ironic_ceo_ptu_liu_biao_s1	rew_iro_190e_melee_damage_both_mod_all_militia	10.0000	faction_to_force_own_factionwide	
701000093	ironic_ceo_ptu_liu_biao_s2	rew_iro_190e_ranged_damage_both_mod_all_militia	10.0000	faction_to_force_own_factionwide	
701000094	ironic_ceo_ptu_liu_biao_s3	rew_iro_190e_armour_flat_all_militia	6.0000	faction_to_force_own_factionwide	
701000095	ironic_ceo_ptu_liu_biao_s3	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000096	ironic_ceo_ptu_liu_biao_s4	ironic_effect_ptu_character_joins	6.0000	faction_to_faction_own	
701000097	ironic_ceo_ptu_liu_biao_s5	ironic_effect_ptu_character_joins	1.0000	faction_to_faction_own	
701000098	ironic_ceo_ptu_liu_biao_s5	ironic_effect_ptu_unlock_wood_imperial_defenders	1.0000	faction_to_faction_own	
701000099	ironic_ceo_set_ptu_liu_biao	ironic_effect_ptu_tiger_general_slot	1.0000	faction_to_faction_own	
701000100	ironic_ceo_set_ptu_liu_biao	ironic_effect_ptu_confederation	1.0000	faction_to_faction_own	
701000101	ironic_ceo_ptu_liu_yan_s1	rew_iro_190e_melee_attack_rate_all_militia	15.0000	faction_to_force_own_factionwide	
701000102	ironic_ceo_ptu_liu_yan_s1	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000103	ironic_ceo_ptu_liu_yan_s2	rew_iro_190e_reload_mod_all_militia	15.0000	faction_to_force_own_factionwide	
701000104	ironic_ceo_ptu_liu_yan_s2	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000105	ironic_ceo_ptu_liu_yan_s3	rew_iro_190e_melee_damage_flat_all_militia	5.0000	faction_to_force_own_factionwide	
701000106	ironic_ceo_ptu_liu_yan_s3	rew_iro_190e_melee_damage_AP_flat_all_militia	5.0000	faction_to_force_own_factionwide	
701000107	ironic_ceo_ptu_liu_yan_s3	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000108	ironic_ceo_ptu_liu_yan_s4	ironic_effect_ptu_character_joins	3.0000	faction_to_faction_own	
701000109	ironic_ceo_ptu_liu_yan_s5	rew_iro_190e_melee_evasion_flat_all_militia	8.0000	faction_to_force_own_factionwide	
701000110	ironic_ceo_ptu_liu_yan_s5	ironic_effect_ptu_character_joins	4.0000	faction_to_faction_own	
701000111	ironic_ceo_set_ptu_liu_yan	ironic_effect_ptu_confederation	1.0000	faction_to_faction_own	
701000112	ironic_ceo_ptu_ma_teng_s1	rew_iro_190e_charge_bonus_mod_all_militia	40.0000	faction_to_force_own_factionwide	
701000113	ironic_ceo_ptu_ma_teng_s2	ironic_unit_unlock_fire_qiang_marauders	1.0000	faction_to_faction_own	
701000114	ironic_ceo_ptu_ma_teng_s3	rew_iro_190e_range_mod_all_militia	15.0000	faction_to_force_own_factionwide	
701000115	ironic_ceo_ptu_ma_teng_s3	ironic_effect_ptu_character_joins	2.0000	faction_to_faction_own	
701000116	ironic_ceo_ptu_ma_teng_s4	ironic_effect_ptu_character_joins	2.0000	faction_to_faction_own	
701000117	ironic_ceo_ptu_ma_teng_s5	ironic_unit_unlock_water_qiang_hunters	1.0000	faction_to_faction_own	
701000118	ironic_ceo_set_ptu_ma_teng	ironic_effect_ptu_tiger_general_slot	1.0000	faction_to_faction_own	
701000119	ironic_ceo_ptu_sun_s1	rew_iro_190e_melee_attack_rate_all_militia	10.0000	faction_to_force_own_factionwide	
701000120	ironic_ceo_ptu_sun_s2	rew_iro_190e_reload_mod_all_militia	10.0000	faction_to_force_own_factionwide	
701000121	ironic_ceo_ptu_sun_s3	ironic_effect_ptu_unlock_earth_handmaid_guard	1.0000	faction_to_faction_own	
701000122	ironic_ceo_ptu_sun_s4	rew_iro_190e_melee_damage_both_mod_all_militia	15.0000	faction_to_force_own_factionwide	
701000123	ironic_ceo_ptu_sun_s5	rew_iro_190e_ranged_damage_both_mod_all_militia	15.0000	faction_to_force_own_factionwide	
701000124	ironic_ceo_set_ptu_sun	ironic_effect_ptu_character_joins	1.0000	faction_to_faction_own	
