auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/liu_chong					
103480478	3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_unique_01	3k_main_skill_unit_experience	10.0000	faction_to_force_own_factionwide	
1040987744	3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common_01	3k_main_effect_unit_stats_morale_abs_earth_units	10.0000	faction_to_force_own_factionwide	
1105118296	3k_dlc04_ceo_factional_trophy_cabinet_ranged_common_01	3k_dlc04_effect_unit_stats_morale_abs_water_units	10.0000	faction_to_force_own_factionwide	
1130010279	3k_dlc04_ceo_factional_trophy_cabinet_heroes_unique_01	3k_main_effect_unit_stats_ranged_damage_crossbows	15.0000	faction_to_force_own_factionwide	
130620085	3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_unique_01	3k_main_effect_province_public_order_faction	5.0000	faction_to_province_own	
1702348576	3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_refined_01	3k_main_effect_unit_stats_unit_upkeep_wood_units	-10.0000	faction_to_force_own_factionwide	
1791763245	3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique_01	3k_main_effect_unit_stats_fatigue_resistance_mod_earth_units	-50.0000	faction_to_force_own_factionwide	
1822730466	3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_unique_01	3k_main_effect_unit_stats_missile_block_mod_earth_units	10.0000	faction_to_force_own_factionwide	
1977972321	3k_dlc04_ceo_factional_trophy_cabinet_siege_unique_01	3k_main_effect_unit_stats_ammo_mod_artillery_units	100.0000	faction_to_force_own_factionwide	
2051829387	3k_dlc04_ceo_factional_trophy_cabinet_ranged_refined_01	3k_dlc04_effect_unit_stats_missile_block_mod_water_units	10.0000	faction_to_force_own_factionwide	
420385376	3k_dlc04_ceo_factional_trophy_cabinet_ranged_unique_01	3k_main_effect_unit_stats_ammunition_archers	25.0000	faction_to_force_own_factionwide	
520305388	3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_refined_01	3k_main_effect_unit_stats_unit_upkeep_metal_units	-10.0000	faction_to_force_own_factionwide	
54300465	3k_dlc04_ceo_factional_trophy_cabinet_people_unique_01	3k_main_effect_province_population_attraction_faction	20.0000	faction_to_region_own	
635023444	3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_common_01	3k_dlc04_effect_unit_stats_morale_abs_crossbow_units	10.0000	faction_to_force_own_factionwide	
715094033	3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_common_01	3k_dlc04_effect_unit_stats_morale_abs_wood_units	10.0000	faction_to_force_own_factionwide	
762453166	3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_refined_01	3k_dlc04_effect_unit_stats_unit_upkeep_crossbow_units	-15.0000	faction_to_force_own_factionwide	
86030471	3k_dlc04_ceo_factional_trophy_cabinet_siege_common_01	3k_main_effect_force_army_reload_artillery_units	25.0000	faction_to_force_own_factionwide	
907726916	3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined_01	3k_main_effect_unit_stats_unit_upkeep_earth_units	-10.0000	faction_to_force_own_factionwide	
911977854	3k_dlc04_ceo_factional_trophy_cabinet_siege_refined_01	3k_dlc04_effect_unit_stats_ranged_damage_artillery	25.0000	faction_to_force_own_factionwide	
956581089	3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common_01	3k_dlc04_effect_unit_stats_morale_abs_metal_units	10.0000	faction_to_force_own_factionwide	
