auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/liu_yu					
1063243901	3k_main_ceo_liu_yu_han_capital_changan	3k_main_effect_economy_gdp_mod_commerce	25.0000	faction_to_region_own_unseen	
1088205681	3k_main_ceo_liu_yu_han_capital_penchang	3k_main_effect_characters_satisfaction_bonus_faction	5.0000	faction_to_character_own_factionwide_all_characters_unseen	
1114536537	3k_main_ceo_set_liu_yu_di_regions	3k_ironic_effect_campaign_movement_in_own_regions	25.0000	faction_to_force_own_factionwide	
1129359249	3k_main_ceo_liu_yu_han_character_xianyu_yin	3k_main_effect_unit_stats_armour_mod_wood_units	10.0000	faction_to_army_own_unseen	
1319837579	3k_main_ceo_set_liu_yu_xiliang_regions	3k_main_effect_character_stat_mod_charge_speed	15.0000	faction_to_force_own_factionwide	
1365460715	3k_main_ceo_set_liu_yu_xianbei_regions	3k_main_effect_unit_stats_ammo_mod_water_units	25.0000	faction_to_force_own_factionwide	
1398669605	3k_main_ceo_liu_yu_han_character_wei_you	3k_main_skill_ammo	25.0000	faction_to_army_own_unseen	
1543369835	3k_main_ceo_set_liu_yu_wuhuan_characters	3k_main_effect_faction_trait_tigers_fury_sun_jian	15.0000	faction_to_army_own_unseen	
1564276001	3k_main_ceo_set_liu_yu_qiang_regions	ironic_unit_increase_ranged_cavalry_base_damage	15.0000	faction_to_force_own_factionwide	
1591173744	3k_main_ceo_liu_yu_han_character_xianyu_fu	3k_main_ancillary_fatigue_resistance	1.0000	faction_to_army_own_unseen	
1712731104	3k_main_ceo_liu_yu_han_character_tian_chou	3k_main_effect_unit_stats_morale_own_forces_when_defending	6.0000	faction_to_army_own_unseen	
1717308666	3k_main_ceo_liu_yu_han_capital_luoyang	3k_main_effect_economy_gdp_mod_peasantry	50.0000	faction_to_region_own_unseen	
1727700314	3k_main_ceo_liu_yu_han_character_liu_yu	3k_main_effect_characters_satisfaction_bonus_faction	5.0000	faction_to_character_own_factionwide_all_characters_unseen	
1795919592	3k_main_ceo_liu_yu_han_character_yan_rou	3k_main_effect_province_public_order_from_characters	4.0000	faction_to_province_own	
1812310757	3k_main_ceo_liu_yu_han_character_liu_he	3k_main_effect_province_public_order_faction	4.0000	faction_to_province_own	
1850238866	3k_main_ceo_set_liu_yu_xianbei_characters	3k_dlc07_effect_unit_stat_mod_missile_range	15.0000	faction_to_force_own_factionwide	
2033333076	3k_main_ceo_liu_yu_han_capital_yingchuan	3k_main_effect_economy_trade_power	25.0000	faction_to_faction_own_unseen	
207454336	3k_main_ceo_set_liu_yu_xiongnu_regions	3k_main_effect_all_cavalry_stat_mod_mass	15.0000	faction_to_army_own_unseen	
2125808415	3k_main_ceo_liu_yu_han_character_liu_xie	3k_main_effect_campaign_progression_han_empire	50.0000	faction_to_faction_own_unseen	
341228262	3k_main_ceo_set_liu_yu_xiongnu_characters	3k_main_effect_force_army_campaign_recruitment_cost_cavalry	-15.0000	faction_to_army_own_unseen	
406490235	3k_main_ceo_set_liu_yu_qiang_characters	3k_dlc07_effect_unit_stats_fatigue_resistance_mod_cavalry	-25.0000	faction_to_force_own_factionwide	
422388134	3k_main_ceo_set_liu_yu_wuhuan_regions	3k_main_effect_unit_stats_ranged_damage_water_units	15.0000	faction_to_army_own_unseen	
478763658	3k_main_ceo_set_liu_yu_ancient_capital	3k_main_effect_campaign_progression_han_empire	50.0000	faction_to_faction_own_unseen	
480254121	3k_main_ceo_set_liu_yu_xiliang_characters	3k_main_skill_cause_fear	5.0000	faction_to_force_own_factionwide	
739491416	3k_main_ceo_liu_yu_han_capital_weijun	3k_main_effect_province_public_order_faction	4.0000	faction_to_province_own	
759558124	3k_main_ceo_set_liu_yu_han_emperors	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	faction_to_character_own_factionwide_all_characters	
763672469	3k_main_ceo_set_liu_yu_backbone	3k_main_effect_character_salary	-15.0000	faction_to_character_own_factionwide_all_characters_unseen	
967691615	3k_main_ceo_set_liu_yu_di_characters	3k_main_ancillary_charge_negate	1.0000	faction_to_force_own_factionwide	
705000000	3k_main_ceo_liu_yu_tribal_region_canluan	ironic_liu_yu_unlock_xiliang_cavalry	1.0000	faction_to_faction_own	
705000001	3k_main_ceo_liu_yu_tribal_region_daijun_horse	ironic_liu_yu_unlock_xianbei_horse_archers	1.0000	faction_to_faction_own	
705000002	3k_main_ceo_liu_yu_tribal_region_guangyuan_iron	ironic_liu_yu_unlock_wuhuan_raiders	1.0000	faction_to_faction_own	
705000003	3k_main_ceo_liu_yu_tribal_region_hanchang	ironic_liu_yu_unlock_di_cataphracts	1.0000	faction_to_faction_own	
705000004	3k_main_ceo_liu_yu_tribal_region_jincheng	ironic_liu_yu_unlock_qiang_hunters	1.0000	faction_to_faction_own	
705000005	3k_main_ceo_liu_yu_tribal_region_liaodong_xuantu	ironic_liu_yu_unlock_xianbei_riders	1.0000	faction_to_faction_own	
705000006	3k_main_ceo_liu_yu_tribal_region_liaoxi_capital	ironic_liu_yu_unlock_wuhuan_defenders	1.0000	faction_to_faction_own	
705000007	3k_main_ceo_liu_yu_tribal_region_liaoxi_tool	ironic_liu_yu_unlock_wuhuan_horse_archers	1.0000	faction_to_faction_own	
705000008	3k_main_ceo_liu_yu_tribal_region_nanzheng	ironic_liu_yu_unlock_di_raiders	1.0000	faction_to_faction_own	
705000009	3k_main_ceo_liu_yu_tribal_region_sanshui	ironic_liu_yu_unlock_xiliang_commander	1.0000	faction_to_faction_own	
705000010	3k_main_ceo_liu_yu_tribal_region_shanggui	ironic_liu_yu_unlock_qiang_raiders	1.0000	faction_to_faction_own	
705000011	3k_main_ceo_liu_yu_tribal_region_sheyan	ironic_liu_yu_unlock_heavy_xiliang_cavalry	1.0000	faction_to_faction_own	
705000012	3k_main_ceo_liu_yu_tribal_region_shuofang_captial	ironic_liu_yu_unlock_xiongnu_cataphracts	1.0000	faction_to_faction_own	
705000013	3k_main_ceo_liu_yu_tribal_region_shuofang_horse_tamer	ironic_liu_yu_unlock_xiongnu_cavalry	1.0000	faction_to_faction_own	
705000014	3k_main_ceo_liu_yu_tribal_region_tianshui	ironic_liu_yu_unlock_qiang_marauders	1.0000	faction_to_faction_own	
705000015	3k_main_ceo_liu_yu_tribal_region_wuyuan_capital	ironic_liu_yu_unlock_xianbei_headhunters	1.0000	faction_to_faction_own	
705000016	3k_main_ceo_liu_yu_tribal_region_wuyuan_farm	ironic_liu_yu_unlock_xianbei_swordguard	1.0000	faction_to_faction_own	
705000017	3k_main_ceo_liu_yu_tribal_region_xiabian	ironic_liu_yu_unlock_di_marauders	1.0000	faction_to_faction_own	
705000018	3k_main_ceo_liu_yu_tribal_region_xihe_capital	ironic_liu_yu_unlock_xiongnu_rangers	1.0000	faction_to_faction_own	
705000019	3k_main_ceo_liu_yu_tribal_region_xihe_fishing_port	ironic_liu_yu_unlock_xiongnu_noble_cavalry	1.0000	faction_to_faction_own	
705000020	3k_main_ceo_liu_yu_tribal_region_yinping	ironic_liu_yu_unlock_di_horse_archers	1.0000	faction_to_faction_own	
705000021	3k_main_ceo_liu_yu_tribal_region_youbeiping_capital	ironic_liu_yu_unlock_wuhuan_lancers	1.0000	faction_to_faction_own	
705000022	3k_main_ceo_liu_yu_tribal_region_youbeiping_trade_port	ironic_liu_yu_wuhuan_upkeep	-10.0000	faction_to_force_own_factionwide	
705000023	3k_main_ceo_liu_yu_tribal_region_hyunto_resource	ironic_liu_yu_xianbei_replenish	10.0000	faction_to_force_own_factionwide	
705000024	3k_main_ceo_liu_yu_tribal_region_shuofang_horses	ironic_liu_yu_xiongnu_cost	-15.0000	faction_to_character_own_factionwide	
705000025	3k_main_ceo_liu_yu_tribal_region_zitong	ironic_liu_yu_di_replenish	10.0000	faction_to_force_own_factionwide	
705000026	3k_main_ceo_liu_yu_tribal_region_zhanyin	ironic_liu_yu_qiang_upkeep	-10.0000	faction_to_force_own_factionwide	
705000027	3k_main_ceo_liu_yu_tribal_region_guzang	ironic_liu_yu_qiang_replenish	10.0000	faction_to_force_own_factionwide	
705000028	3k_main_ceo_liu_yu_tribal_region_lingzhou	ironic_liu_yu_xiliang_cost	-15.0000	faction_to_character_own_factionwide	
705000029	3k_main_ceo_liu_yu_tribal_region_xiutu	ironic_liu_yu_xiliang_upkeep	-10.0000	faction_to_force_own_factionwide	
705000030	3k_main_ceo_liu_yu_tribal_character_recruit_tadun	ironic_liu_yu_wuhuan_melee	10.0000	faction_to_force_own_factionwide	
705000031	3k_main_ceo_liu_yu_tribal_character_recruit_tadun	ironic_liu_yu_wuhuan_morale	8.0000	faction_to_force_own_factionwide	
705000032	3k_main_ceo_liu_yu_tribal_character_recruit_qiulijiu	ironic_liu_yu_wuhuan_speed	10.0000	faction_to_force_own_factionwide	
705000033	3k_main_ceo_liu_yu_tribal_character_recruit_nanlou	ironic_liu_yu_wuhuan_charge	10.0000	faction_to_force_own_factionwide	
705000034	3k_main_ceo_liu_yu_tribal_character_recruit_supuyuan	ironic_liu_yu_wuhuan_armour	10.0000	faction_to_force_own_factionwide	
705000035	3k_main_ceo_liu_yu_tribal_character_recruit_wuyan	ironic_liu_yu_wuhuan_missile	10.0000	faction_to_force_own_factionwide	
705000036	3k_main_ceo_liu_yu_tribal_character_kuitou	ironic_liu_yu_xianbei_melee	10.0000	faction_to_force_own_factionwide	
705000037	3k_main_ceo_liu_yu_tribal_character_kuitou	ironic_liu_yu_xianbei_morale	8.0000	faction_to_force_own_factionwide	
705000038	3k_main_ceo_liu_yu_tribal_character_tuoba_liwei	ironic_liu_yu_xianbei_speed	10.0000	faction_to_force_own_factionwide	
705000039	3k_main_ceo_liu_yu_tribal_character_tuoba_jiefan	ironic_liu_yu_xianbei_charge	10.0000	faction_to_force_own_factionwide	
705000040	3k_main_ceo_liu_yu_tribal_character_qianman	ironic_liu_yu_xianbei_armour	10.0000	faction_to_force_own_factionwide	
705000041	3k_main_ceo_liu_yu_tribal_character_tufa_pigu	ironic_liu_yu_xianbei_evasion	8.0000	faction_to_force_own_factionwide	
705000042	3k_main_ceo_liu_yu_tribal_character_yufuluo	ironic_liu_yu_xiongnu_melee	10.0000	faction_to_force_own_factionwide	
705000043	3k_main_ceo_liu_yu_tribal_character_yufuluo	ironic_liu_yu_xiongnu_morale	8.0000	faction_to_force_own_factionwide	
705000044	3k_main_ceo_liu_yu_tribal_character_huchuquan	ironic_liu_yu_xiongnu_charge	10.0000	faction_to_force_own_factionwide	
705000045	3k_main_ceo_liu_yu_tribal_character_qubei	ironic_liu_yu_xiongnu_speed	10.0000	faction_to_force_own_factionwide	
705000046	3k_main_ceo_liu_yu_tribal_character_liu_bao	ironic_liu_yu_xiongnu_armour	10.0000	faction_to_force_own_factionwide	
705000047	3k_main_ceo_liu_yu_tribal_character_agui	ironic_liu_yu_di_missile	10.0000	faction_to_force_own_factionwide	
705000048	3k_main_ceo_liu_yu_tribal_character_dou_mao	ironic_liu_yu_di_armour	10.0000	faction_to_force_own_factionwide	
705000049	3k_main_ceo_liu_yu_tribal_character_qiang_duan	ironic_liu_yu_di_morale	8.0000	faction_to_force_own_factionwide	
705000050	3k_main_ceo_liu_yu_tribal_character_yang_qianwan	ironic_liu_yu_di_charge	10.0000	faction_to_force_own_factionwide	
705000051	3k_main_ceo_liu_yu_tribal_character_ma_teng	ironic_liu_yu_qiang_melee	10.0000	faction_to_force_own_factionwide	
705000052	3k_main_ceo_liu_yu_tribal_character_ma_teng	ironic_liu_yu_qiang_morale	8.0000	faction_to_force_own_factionwide	
705000053	3k_main_ceo_liu_yu_tribal_character_ma_chao	ironic_liu_yu_qiang_charge	15.0000	faction_to_force_own_factionwide	
705000054	3k_main_ceo_liu_yu_tribal_character_han_sui	ironic_liu_yu_qiang_speed	10.0000	faction_to_force_own_factionwide	
705000055	3k_main_ceo_liu_yu_tribal_character_song_jian	ironic_liu_yu_qiang_missile	10.0000	faction_to_force_own_factionwide	
705000056	3k_main_ceo_liu_yu_tribal_character_li_jue	ironic_liu_yu_xiliang_melee	10.0000	faction_to_force_own_factionwide	
705000057	3k_main_ceo_liu_yu_tribal_character_li_jue	ironic_liu_yu_xiliang_morale	8.0000	faction_to_force_own_factionwide	
705000058	3k_main_ceo_liu_yu_tribal_character_guo_si	ironic_liu_yu_xiliang_charge	10.0000	faction_to_force_own_factionwide	
705000059	3k_main_ceo_liu_yu_tribal_character_zhang_ji	ironic_liu_yu_xiliang_armour	10.0000	faction_to_force_own_factionwide	
705000060	3k_main_ceo_liu_yu_tribal_character_fan_chou	ironic_liu_yu_xiliang_evasion	8.0000	faction_to_force_own_factionwide	
