auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/lu_bu					
989847872	3k_dlc05_item_set_factional_lu_bu_bandits_and_rogues	3k_main_skill_guerrilla_deployment	1.0000	faction_to_force_own_factionwide	
92410455	3k_dlc05_item_set_factional_lu_bu_bruisers_and_brawlers	3k_main_effect_character_num_lives	1.0000	faction_to_character_own_factionwide	
1414576307	3k_dlc05_item_set_factional_lu_bu_cousins_in_arms	3k_main_effect_campaign_progression_han_empire	15.0000	faction_to_faction_own_unseen	
1878467672	3k_dlc05_item_set_factional_lu_bu_father_figures	3k_main_effect_characters_satisfaction_bonus_faction	5.0000	faction_to_character_own_factionwide_all_characters	
1845906208	3k_dlc05_item_set_factional_lu_bu_five_elites	3k_main_skill_cause_fear	1.0000	faction_to_force_own_factionwide	
448560352	3k_dlc05_item_set_factional_lu_bu_great_strategists	3k_main_skill_night_battles	1.0000	faction_to_character_own_factionwide	
958993512	3k_dlc05_item_set_factional_lu_bu_northern_defenders	3k_main_effect_force_army_campaign_recruitment_cost_cavalry	-15.0000	faction_to_character_own_factionwide	
1137663732	3k_dlc05_item_set_factional_lu_bu_scholars	3k_main_effect_economy_gdp_mod_commerce	15.0000	faction_to_region_own_unseen	
1801183763	3k_dlc05_item_set_factional_lu_bu_setting_suns	3k_main_effect_force_all_campaign_movement_range	10.0000	faction_to_force_own	
1759528869	3k_dlc05_item_set_factional_lu_bu_sworn_brothers	3k_main_effect_attribute_immune_to_psychology	1.0000	faction_to_character_own_factionwide	
982053502	3k_dlc05_item_set_factional_lu_bu_three_kingdoms	3k_main_effect_campaign_progression_han_empire	50.0000	faction_to_faction_own_unseen	
2120137699	3k_dlc05_item_set_factional_lu_bu_tiger_generals	3k_main_effect_unit_attribute_disciplined	1.0000	faction_to_force_own_factionwide	
104025274	3k_dlc05_item_set_factional_lu_bu_traitors_of_chang'an	3k_main_faction_diplomacy_mod	15.0000	faction_to_faction_own_unseen	
1064369918	3k_dlc05_item_set_factional_lu_bu_warriors_of_the_south	3k_main_skill_ignore_forest_penalties	1.0000	faction_to_force_own_factionwide	
154720854	3k_dlc05_item_set_factional_lu_bu_yellow_turbans	3k_main_effect_campaign_progression_han_empire	15.0000	faction_to_faction_own_unseen	
1378696290	3k_dlc05_item_set_factional_lu_bu_yuan_clan	3k_main_effect_campaign_progression_han_empire	25.0000	faction_to_faction_own_unseen	
1378696291	3k_dlc05_item_set_factional_lu_bu_northern_tribes	ironic_disable_northern_courage	1.0000	faction_to_force_own_factionwide	
1378696292	3k_dlc05_item_set_factional_lu_bu_nanman	ironic_effect_flame_resistance	50.0000	faction_to_faction_leader	
1378696293	3k_dlc05_item_set_factional_lu_bu_hebei	3k_main_effect_force_military_supplies_from_faction	10.0000	faction_to_force_own_factionwide	
1378696294	3k_dlc05_item_set_factional_lu_bu_southern_warriors_early	3k_main_effect_character_salary	-25.0000	faction_to_character_own_factionwide_all_characters	
1378696295	3k_dlc05_item_set_factional_lu_bu_southern_warriors_late	3k_main_effect_character_salary	-25.0000	faction_to_character_own_factionwide_all_characters	
802239409	3k_dlc05_ceo_factional_warrior_defeated_gongsun_du_02	3k_dlc06_effect_province_building_construction_cost_mod_metal_structured	-10.0000	faction_to_province_own	
1651924067	3k_dlc05_ceo_node_factional_warrior_defeated_cao_cao_02	3k_main_faction_diplomacy_mod	10.0000	faction_to_faction_own_unseen	
943524046	3k_dlc05_ceo_node_factional_warrior_defeated_cao_cao_02	3k_main_effect_campaign_progression_han_empire	25.0000	faction_to_faction_own_unseen	
