auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/titles					
1002101773	3k_main_ancillary_title_court_physician	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
1002612052	3k_main_ancillary_title_iron_general	3k_main_effect_character_job_satisfaction_ignored	-999.0000	character_to_character_own	
101663543	3k_main_ancillary_title_yellow_dragon	3k_main_character_wealth	2.0000	character_to_character_own	
1016916749	3k_main_ancillary_title_blood_dragon	3k_main_effect_character_attribute_instinct_mod	20.0000	character_to_character_own	
1077500313	3k_main_ancillary_title_coiled_dragon	3k_main_effect_character_attribute_resolve_mod	20.0000	character_to_character_own	
1079230516	3k_main_ancillary_title_master_of_the_hunt	3k_main_effect_character_stat_mod_ammunition	10.0000	character_to_military_force_retinue_own	
1080082344	3k_main_ancillary_title_divine_mathematician	3k_main_character_wealth	1.0000	character_to_character_own	
1094537828	3k_main_ancillary_title_general_whom_expands_the_centre	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-50.0000	character_to_character_own	
1109323991	3k_main_ancillary_title_general_of_a_hundred_victories	3k_main_ancillary_fatigue_immune	1.0000	character_to_character_own	
1120165461	3k_main_ancillary_title_pacifier_of_the_han	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
1123624223	3k_main_ancillary_title_master_of_the_hunt	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
1123728995	3k_main_ancillary_title_yellow_dragon	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
1127234823	3k_main_ancillary_title_master_of_writing	3k_main_character_wealth	1.0000	character_to_character_own	
1132782769	3k_main_ancillary_title_flying_swallow_general	3k_main_effect_salary_increase_on_character	100.0000	character_to_character_own	
1137124058	3k_main_ancillary_title_blood_dragon	3k_main_effect_character_stat_mod_ap_damage_melee	10.0000	character_to_character_own	
1139603672	3k_main_ancillary_title_protector_of_righteousness	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
1154586225	3k_main_ancillary_title_director_of_astronomy	3k_main_character_wealth	1.0000	character_to_character_own	
1156960388	3k_main_ancillary_title_general_of_chariots_and_cavalry	3k_main_character_wealth	1.0000	character_to_character_own	
1157506448	3k_main_ancillary_title_general_who_stands_his_ground	3k_main_effect_unit_stats_armour_mod_wood_units	10.0000	character_to_force_own	
116130304	3k_main_ancillary_title_court_physician	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	character_to_character_own	
1189299865	3k_main_ancillary_title_court_physician	3k_main_effect_character_attribute_resolve_mod	10.0000	character_to_character_own	
1194097702	3k_main_ancillary_title_steward_of_the_changle_palace	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced	-15.0000	character_to_character_own	
1206308984	3k_main_ancillary_title_general_whom_expands_the_centre	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
1212142379	3k_main_ancillary_title_director_of_retainers_who_scales_the_city_wall	3k_main_effect_enable_projectile_fire_artillery	1.0000	character_to_force_own	
1220293660	3k_main_ancillary_title_general_who_stands_his_ground	3k_main_effect_character_attribute_resolve_mod	10.0000	character_to_character_own	
1221836126	3k_main_ancillary_title_steward_of_the_changle_palace	3k_main_effect_characters_satisfaction_bonus_salary	10.0000	character_to_character_own	
1222746511	3k_main_ancillary_title_court_physician	3k_main_effect_province_public_order_from_administrators	4.0000	character_to_province_own_when_governor	
1224925735	3k_main_ancillary_title_general_of_the_guards	3k_main_effect_salary_increase_on_character	150.0000	character_to_character_own	
1231916530	3k_main_ancillary_title_general_of_heavenly_vision	3k_main_effect_characters_satisfaction_bonus_salary	15.0000	character_to_character_own	
1245524782	3k_main_ancillary_title_general_who_supports_the_han	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
1248251004	3k_main_ancillary_title_guardian_of_three_mountains	3k_main_character_wealth	3.0000	character_to_character_own	
1252117797	3k_main_ancillary_title_general_who_pacifies_the_south	3k_main_effect_force_military_supplies_from_characters	20.0000	character_to_force_own_when_commanding	
1254477645	3k_main_ancillary_title_flying_swallow_general	3k_main_effect_skill_ambush_defence_chance	10.0000	character_to_force_own	
1257803767	3k_main_ancillary_title_general_of_heavenly_vision	3k_main_effect_salary_increase_on_character	150.0000	character_to_character_own	
1267787163	3k_main_ancillary_title_coiled_dragon	3k_main_character_wealth	2.0000	character_to_character_own	
1273065936	3k_dlc05_ceo_node_wealth_03	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
1276944001	3k_main_ancillary_title_lord_of_thunder	3k_main_effect_salary_increase_on_character	250.0000	character_to_character_own	
1279175098	3k_main_ancillary_title_pacifier_of_the_han	3k_main_effect_character_attribute_authority_mod	10.0000	character_to_character_own	
1328614178	3k_main_ancillary_title_master_of_the_hunt	3k_main_effect_character_attribute_instinct_mod	30.0000	character_to_character_own	
1333908160	3k_main_ancillary_title_general_who_supports_the_han	3k_main_effect_characters_satisfaction_bonus_salary	25.0000	character_to_character_own	
1337311925	3k_main_ancillary_title_general_of_a_hundred_victories	3k_main_effect_characters_satisfaction_bonus_salary	15.0000	character_to_character_own	
1341238744	3k_main_ancillary_title_general_of_a_hundred_victories	3k_main_effect_unit_stats_morale_abs	-8.0000	character_to_force_enemy_regionwide	
1349838462	3k_main_ancillary_title_general_who_pacifies_the_south	3k_main_effect_character_attribute_instinct_mod	15.0000	character_to_character_own	
1353684578	3k_main_ancillary_title_general_who_stands_his_ground	3k_main_character_wealth	2.0000	character_to_character_own	
1355123164	3k_main_ancillary_title_general_of_the_guards	3k_main_character_wealth	2.0000	character_to_character_own	
1356599776	3k_main_ancillary_title_director_of_astronomy	3k_main_effect_characters_satisfaction_bonus_salary	10.0000	character_to_character_own	
1359852865	3k_main_ancillary_title_director_of_retainers_who_scales_the_city_wall	3k_main_character_wealth	2.0000	character_to_character_own	
