auto_id	effect_list	effect	value	effect_scope	optional_only_in_game_mode
#ceo_effect_list_to_effects_tables;0;ceo_db/ceo_effect_list_to_effects_tables/weapons					
1002306034	3k_mtu_ancillary_weapon_diplomat	3k_main_skill_defence	8.0000	character_to_character_own	
1014594156	3k_main_ancillary_weapon_sword_and_shield_unique	3k_dummy_effect_ceo_subcategory_weapon_sword_one_handed	0.0000	character_to_character_own	
1019291177	3k_mtu_ancillary_weapon_shengxie	3k_main_effect_character_stat_mod_armour	15.0000	character_to_character_own	
1019419	3k_dlc07_ancillary_weapon_defence_of_levity	3k_main_effect_ai_hint_general	25.0000	character_to_character_own	
102308285	3k_mtu_ancillary_weapon_hidden_flow	3k_main_skill_ability_recharge	-15.0000	character_to_character_own	
1037307503	3k_main_ancillary_weapon_dual_swords_exceptional	3k_dummy_effect_ceo_subcategory_weapon_sword_dual	0.0000	character_to_character_own	
1038549738	3k_dlc06_ancillary_weapon_2h_ball_mace_king_shamoke_unique	3k_dummy_effect_ceo_subcategory_weapon_mace_two_handed	0.0000	character_to_character_own	
1042562714	3k_mtu_ancillary_weapon_point_piercer	3k_main_effect_character_attribute_instinct_mod	12.0000	character_to_character_own	
1049278977	3k_dlc04_ancillary_weapon_staff_zhang_jue_unique	3k_main_effect_ai_hint_general	50.0000	character_to_character_own	
10561935	3k_main_ancillary_weapon_two_handed_axe_common	3k_main_effect_character_attribute_resolve_mod	9.0000	character_to_character_own	
1058438270	3k_dlc07_ancillary_weapon_fear_and_discipline	3k_main_effect_ai_hint_general	5.0000	character_to_character_own	
1059254592	3k_main_threshold_ancillary_weapon_sword_and_shield_refined	3k_dummy_effect_ceo_subcategory_weapon_sword_one_handed	0.0000	character_to_character_own	
1064544812	3k_mtu_ancillary_weapon_sharp_light	3k_dlc05_effect_unbreakable_when_attacking	1.0000	character_to_character_own	
106494114	3k_main_ancillary_weapon_axes_of_the_bandit_queen	3k_dummy_effect_ceo_subcategory_weapon_axe_dual	0.0000	character_to_character_own	
